frame_idx,t_lsl,t_epoch,ma_mau,lan_lap
0,6745767.301547,1773286498.376081,0,0
1,6745767.3325,1773286498.391756,0,0
2,6745767.349004,1773286498.411189,0,0
3,6745767.36595,1773286498.42502,0,0
4,6745767.381929,1773286498.440983,0,0
5,6745767.398013,1773286498.457093,0,0
6,6745767.413326,1773286498.472402,0,0
7,6745767.429303,1773286498.488342,0,0
8,6745767.444876,1773286498.503884,0,0
9,6745767.461435,1773286498.520426,0,0
10,6745767.477768,1773286498.53687,0,0
11,6745767.493116,1773286498.552243,0,0
12,6745767.509137,1773286498.568129,0,0
13,6745767.524501,1773286498.583604,0,0
14,6745767.540433,1773286498.599577,0,0
15,6745767.556532,1773286498.615669,0,0
16,6745767.572133,1773286498.631319,0,0
17,6745767.587773,1773286498.646969,0,0
18,6745767.603385,1773286498.662554,0,0
19,6745767.635577,1773286498.694614,0,0
20,6745767.651186,1773286498.71178,0,0
21,6745767.684262,1773286498.743367,0,0
22,6745767.700059,1773286498.759173,0,0
23,6745767.715755,1773286498.774789,0,0
24,6745767.746988,1773286498.812103,0,0
25,6745767.76365,1773286498.822683,0,0
26,6745767.77999,1773286498.839069,0,0
27,6745767.795746,1773286498.854761,0,0
28,6745767.811398,1773286498.870392,0,0
29,6745767.827004,1773286498.885997,0,0
30,6745767.843527,1773286498.902593,0,0
31,6745767.860054,1773286498.919151,0,0
32,6745767.876488,1773286498.935601,0,0
33,6745767.892001,1773286498.951026,0,0
34,6745767.907773,1773286498.966853,0,0
35,6745767.923151,1773286498.982216,0,0
36,6745767.939045,1773286498.998101,0,0
37,6745767.954697,1773286499.013803,0,0
38,6745767.971143,1773286499.030249,0,0
39,6745767.986743,1773286499.045862,0,0
40,6745768.002061,1773286499.061035,0,0
41,6745768.01804,1773286499.077108,0,0
42,6745768.049244,1773286499.108244,0,0
43,6745768.065968,1773286499.125077,0,0
44,6745768.082047,1773286499.141026,0,0
45,6745768.09797,1773286499.157147,0,0
46,6745768.114592,1773286499.173514,0,0
47,6745768.130898,1773286499.18997,0,0
48,6745768.146494,1773286499.205584,0,0
49,6745768.162208,1773286499.221342,0,0
50,6745768.178655,1773286499.237787,0,0
51,6745768.194152,1773286499.253207,0,0
52,6745768.209999,1773286499.269045,0,0
53,6745768.225669,1773286499.284639,0,0
54,6745768.241179,1773286499.300287,0,0
55,6745768.257544,1773286499.316587,0,0
56,6745768.27366,1773286499.33278,0,0
57,6745768.289581,1773286499.348641,0,0
58,6745768.305247,1773286499.364273,0,0
59,6745768.320896,1773286499.379894,0,0
60,6745768.336293,1773286499.395375,0,0
61,6745768.352066,1773286499.415098,0,0
62,6745768.368813,1773286499.427864,0,0
63,6745768.384902,1773286499.444038,0,0
64,6745768.400739,1773286499.459737,0,0
65,6745768.416734,1773286499.475868,0,0
66,6745768.432396,1773286499.491543,0,0
67,6745768.448085,1773286499.507183,0,0
68,6745768.464646,1773286499.523201,0,0
69,6745768.479626,1773286499.538835,0,0
70,6745768.511435,1773286499.570483,0,0
71,6745768.526987,1773286499.58611,0,0
72,6745768.5428,1773286499.601732,0,0
73,6745768.557992,1773286499.617047,0,0
74,6745768.590656,1773286499.649163,0,0
75,6745768.606351,1773286499.66548,0,0
76,6745768.622066,1773286499.681152,0,0
77,6745768.638153,1773286499.69728,0,0
78,6745768.653877,1773286499.716944,0,0
79,6745768.670667,1773286499.729571,0,0
80,6745768.686897,1773286499.746004,0,0
81,6745768.703285,1773286499.76234,0,0
82,6745768.719492,1773286499.778473,0,0
83,6745768.735195,1773286499.79424,0,0
84,6745768.751092,1773286499.810026,0,0
85,6745768.767458,1773286499.826424,0,0
86,6745768.782968,1773286499.84206,0,0
87,6745768.799276,1773286499.858277,0,0
88,6745768.816303,1773286499.874389,0,0
89,6745768.83183,1773286499.890857,0,0
90,6745768.848071,1773286499.90718,0,0
91,6745768.86498,1773286499.923994,0,0
92,6745768.881449,1773286499.940424,0,0
93,6745768.89705,1773286499.956256,0,0
94,6745768.912876,1773286499.971889,0,0
95,6745768.92923,1773286499.988327,0,0
96,6745768.945171,1773286500.003922,0,0
97,6745768.960932,1773286500.020039,0,0
98,6745768.977384,1773286500.036486,0,0
99,6745768.993681,1773286500.052814,0,0
100,6745769.010197,1773286500.069067,0,0
101,6745769.025865,1773286500.084856,0,0
102,6745769.04179,1773286500.100819,0,0
103,6745769.058195,1773286500.118761,0,0
104,6745769.075012,1773286500.134019,0,0
105,6745769.091299,1773286500.150448,0,0
106,6745769.107091,1773286500.166093,0,0
107,6745769.12349,1773286500.182605,0,0
108,6745769.140026,1773286500.19905,0,0
109,6745769.155578,1773286500.218708,0,0
110,6745769.17209,1773286500.231139,0,0
111,6745769.188511,1773286500.247576,0,0
112,6745769.203926,1773286500.262938,0,0
113,6745769.219725,1773286500.27882,0,0
114,6745769.235386,1773286500.294442,0,0
115,6745769.250944,1773286500.310072,0,0
116,6745769.26786,1773286500.326882,0,0
117,6745769.284034,1773286500.343068,0,0
118,6745769.31548,1773286500.374555,0,0
119,6745769.331237,1773286500.390209,0,0
120,6745769.346724,1773286500.405829,0,0
121,6745769.362658,1773286500.421708,0,0
122,6745769.379052,1773286500.438154,0,0
123,6745769.394839,1773286500.45407,0,0
124,6745769.411418,1773286500.470519,0,0
125,6745769.427094,1773286500.486148,0,0
126,6745769.443598,1773286500.502646,0,0
127,6745769.459971,1773286500.520097,0,0
128,6745769.476828,1773286500.535916,0,0
129,6745769.493127,1773286500.552166,0,0
130,6745769.508923,1773286500.567998,0,0
131,6745769.524419,1773286500.583407,0,0
132,6745769.54013,1773286500.599235,0,0
133,6745769.555913,1773286500.614846,0,0
134,6745769.572084,1773286500.631179,0,0
135,6745769.588589,1773286500.647607,0,0
136,6745769.604831,1773286500.663963,0,0
137,6745769.621308,1773286500.680396,0,0
138,6745769.653659,1773286500.712646,0,0
139,6745769.669474,1773286500.728709,0,0
140,6745769.686088,1773286500.745145,0,0
141,6745769.701678,1773286500.760796,0,0
142,6745769.717417,1773286500.776392,0,0
143,6745769.733768,1773286500.792768,0,0
144,6745769.750227,1773286500.809198,0,0
145,6745769.766651,1773286500.825701,0,0
146,6745769.782333,1773286500.841334,0,0
147,6745769.798707,1773286500.857773,0,0
148,6745769.814053,1773286500.873103,0,0
149,6745769.830037,1773286500.889025,0,0
150,6745769.845486,1773286500.904553,0,0
151,6745769.861303,1773286500.920802,0,0
152,6745769.878037,1773286500.937129,0,0
