subject_id,epoch_ix,condition,condition_label,repeat,jar,jar_group,jar_numeric
P028,0,762,MedHigh/762,1,3.0,Vua_phai,1
P028,1,762,MedHigh/762,2,3.0,Vua_phai,1
P028,2,762,MedHigh/762,3,3.0,Vua_phai,1
P028,3,762,MedHigh/762,4,3.0,Vua_phai,1
P028,4,762,MedHigh/762,5,3.0,Vua_phai,1
P028,5,893,High/893,1,3.0,Vua_phai,1
P028,6,893,High/893,2,3.0,Vua_phai,1
P028,7,893,High/893,3,3.0,Vua_phai,1
P028,8,893,High/893,4,3.0,Vua_phai,1
P028,9,893,High/893,5,3.0,Vua_phai,1
P028,10,189,Medium/189,1,2.0,Khong_du,0
P028,11,189,Medium/189,2,2.0,Khong_du,0
P028,12,189,Medium/189,3,2.0,Khong_du,0
P028,13,189,Medium/189,4,2.0,Khong_du,0
P028,14,189,Medium/189,5,2.0,Khong_du,0
P028,15,605,Water/605,1,1.0,Khong_du,0
P028,16,605,Water/605,2,1.0,Khong_du,0
P028,17,605,Water/605,3,1.0,Khong_du,0
P028,18,605,Water/605,4,1.0,Khong_du,0
P028,19,605,Water/605,5,1.0,Khong_du,0
P028,20,453,MedLow/453,1,3.0,Vua_phai,1
P028,21,453,MedLow/453,2,3.0,Vua_phai,1
P028,22,453,MedLow/453,3,3.0,Vua_phai,1
P028,23,453,MedLow/453,4,3.0,Vua_phai,1
P028,24,453,MedLow/453,5,3.0,Vua_phai,1
P028,25,258,Low/258,1,1.0,Khong_du,0
P028,26,258,Low/258,2,1.0,Khong_du,0
P028,27,258,Low/258,3,1.0,Khong_du,0
P028,28,258,Low/258,4,1.0,Khong_du,0
P028,29,258,Low/258,5,1.0,Khong_du,0
