subject_id,epoch_ix,condition,condition_label,repeat,jar,jar_group,jar_numeric
P001,0,258,Low/258,1,1.0,Khong_du,0
P001,1,258,Low/258,2,1.0,Khong_du,0
P001,2,258,Low/258,3,1.0,Khong_du,0
P001,3,258,Low/258,4,1.0,Khong_du,0
P001,4,258,Low/258,5,1.0,Khong_du,0
P001,5,453,MedLow/453,1,2.0,Khong_du,0
P001,6,453,MedLow/453,2,2.0,Khong_du,0
P001,7,453,MedLow/453,3,2.0,Khong_du,0
P001,8,453,MedLow/453,4,2.0,Khong_du,0
P001,9,453,MedLow/453,5,2.0,Khong_du,0
P001,10,605,Water/605,1,1.0,Khong_du,0
P001,11,605,Water/605,2,1.0,Khong_du,0
P001,12,605,Water/605,3,1.0,Khong_du,0
P001,13,605,Water/605,4,1.0,Khong_du,0
P001,14,605,Water/605,5,1.0,Khong_du,0
P001,15,189,Medium/189,1,3.0,Vua_phai,1
P001,16,189,Medium/189,2,3.0,Vua_phai,1
P001,17,189,Medium/189,3,3.0,Vua_phai,1
P001,18,189,Medium/189,4,3.0,Vua_phai,1
P001,19,189,Medium/189,5,3.0,Vua_phai,1
P001,20,893,High/893,1,4.0,Qua_nhieu,2
P001,21,893,High/893,2,4.0,Qua_nhieu,2
P001,22,893,High/893,3,4.0,Qua_nhieu,2
P001,23,893,High/893,4,4.0,Qua_nhieu,2
P001,24,893,High/893,5,4.0,Qua_nhieu,2
P001,25,762,MedHigh/762,1,3.0,Vua_phai,1
P001,26,762,MedHigh/762,2,3.0,Vua_phai,1
P001,27,762,MedHigh/762,3,3.0,Vua_phai,1
P001,28,762,MedHigh/762,4,3.0,Vua_phai,1
P001,29,762,MedHigh/762,5,3.0,Vua_phai,1
P002,0,453,MedLow/453,1,2.0,Khong_du,0
P002,1,453,MedLow/453,2,2.0,Khong_du,0
P002,2,453,MedLow/453,3,2.0,Khong_du,0
P002,3,453,MedLow/453,4,2.0,Khong_du,0
P002,4,453,MedLow/453,5,2.0,Khong_du,0
P002,5,189,Medium/189,1,4.0,Qua_nhieu,2
P002,6,189,Medium/189,2,4.0,Qua_nhieu,2
P002,7,189,Medium/189,3,4.0,Qua_nhieu,2
P002,8,189,Medium/189,4,4.0,Qua_nhieu,2
P002,9,189,Medium/189,5,4.0,Qua_nhieu,2
P002,10,258,Low/258,1,1.0,Khong_du,0
P002,11,258,Low/258,2,1.0,Khong_du,0
P002,12,258,Low/258,3,1.0,Khong_du,0
P002,13,258,Low/258,4,1.0,Khong_du,0
P002,14,258,Low/258,5,1.0,Khong_du,0
P002,15,762,MedHigh/762,1,4.0,Qua_nhieu,2
P002,16,762,MedHigh/762,2,4.0,Qua_nhieu,2
P002,17,762,MedHigh/762,3,4.0,Qua_nhieu,2
P002,18,762,MedHigh/762,4,4.0,Qua_nhieu,2
P002,19,762,MedHigh/762,5,4.0,Qua_nhieu,2
P002,20,605,Water/605,1,1.0,Khong_du,0
P002,21,605,Water/605,2,1.0,Khong_du,0
P002,22,605,Water/605,3,1.0,Khong_du,0
P002,23,605,Water/605,4,1.0,Khong_du,0
P002,24,605,Water/605,5,1.0,Khong_du,0
P002,25,893,High/893,1,3.0,Vua_phai,1
P002,26,893,High/893,2,3.0,Vua_phai,1
P002,27,893,High/893,3,3.0,Vua_phai,1
P002,28,893,High/893,4,3.0,Vua_phai,1
P002,29,893,High/893,5,3.0,Vua_phai,1
P003,0,189,Medium/189,1,3.0,Vua_phai,1
P003,1,189,Medium/189,2,3.0,Vua_phai,1
P003,2,189,Medium/189,3,3.0,Vua_phai,1
P003,3,189,Medium/189,4,3.0,Vua_phai,1
P003,4,189,Medium/189,5,3.0,Vua_phai,1
P003,5,762,MedHigh/762,1,3.0,Vua_phai,1
P003,6,762,MedHigh/762,2,3.0,Vua_phai,1
P003,7,762,MedHigh/762,3,3.0,Vua_phai,1
P003,8,762,MedHigh/762,4,3.0,Vua_phai,1
P003,9,762,MedHigh/762,5,3.0,Vua_phai,1
P003,10,453,MedLow/453,1,2.0,Khong_du,0
P003,11,453,MedLow/453,2,2.0,Khong_du,0
P003,12,453,MedLow/453,3,2.0,Khong_du,0
P003,13,453,MedLow/453,4,2.0,Khong_du,0
P003,14,453,MedLow/453,5,2.0,Khong_du,0
P003,15,893,High/893,1,4.0,Qua_nhieu,2
P003,16,893,High/893,2,4.0,Qua_nhieu,2
P003,17,893,High/893,3,4.0,Qua_nhieu,2
P003,18,893,High/893,4,4.0,Qua_nhieu,2
P003,19,893,High/893,5,4.0,Qua_nhieu,2
P003,20,258,Low/258,1,1.0,Khong_du,0
P003,21,258,Low/258,2,1.0,Khong_du,0
P003,22,258,Low/258,3,1.0,Khong_du,0
