subject_id,trial_ix,condition,repeat,trigger_sample,offset_rms,offset_woody,offset_final,new_onset,offset_sec
P001,0,258,1,1700,28,0,28,1728,0.28
P001,1,258,2,13500,0,121,99,13599,0.99
P001,2,258,3,23200,0,69,77,23277,0.77
P001,3,258,4,32400,0,177,0,32400,0.0
P001,4,258,5,41300,0,6,20,41320,0.2
P001,5,453,1,58100,37,195,58,58158,0.58
P001,6,453,2,71200,0,18,100,71300,1.0
P001,7,453,3,79800,35,192,35,79835,0.35
P001,8,453,4,88900,20,38,95,88995,0.95
P001,9,453,5,98800,39,0,89,98889,0.89
P001,10,605,1,110500,131,1,131,110631,1.31
P001,11,605,2,122500,0,0,0,122500,0.0
P001,12,605,3,131200,0,92,60,131260,0.6
P001,13,605,4,140100,0,159,97,140197,0.97
P001,14,605,5,151000,34,36,34,151034,0.34
P001,15,189,1,166000,0,194,98,166098,0.98
P001,16,189,2,178600,33,1,33,178633,0.33
P001,17,189,3,189100,0,15,1,189101,0.01
P001,18,189,4,198800,82,114,82,198882,0.82
P001,19,189,5,207300,153,0,207,207507,2.07
P001,20,893,1,219500,59,0,65,219565,0.65
P001,21,893,2,230500,0,74,0,230500,0.0
P001,22,893,3,247100,0,123,0,247100,0.0
P001,23,893,4,262300,131,8,131,262431,1.31
P001,24,893,5,271200,82,199,82,271282,0.82
P001,25,762,1,283900,0,177,29,283929,0.29
P001,26,762,2,296500,63,163,63,296563,0.63
P001,27,762,3,305000,126,88,152,305152,1.52
P001,28,762,4,313700,0,123,75,313775,0.75
P001,29,762,5,323700,0,0,42,323742,0.42
P002,0,453,1,2800,0,81,0,2800,0.0
P002,1,453,2,15100,0,0,0,15100,0.0
P002,2,453,3,25000,49,59,49,25049,0.49
P002,3,453,4,34100,127,12,200,34300,2.0
P002,4,453,5,44200,60,195,106,44306,1.06
P002,5,189,1,60100,0,95,58,60158,0.58
P002,6,189,2,72400,138,6,138,72538,1.38
P002,7,189,3,83400,57,0,156,83556,1.56
P002,8,189,4,92800,54,137,54,92854,0.54
P002,9,189,5,101600,0,30,1,101601,0.01
P002,10,258,1,111600,0,31,13,111613,0.13
P002,11,258,2,123600,89,0,188,123788,1.88
P002,12,258,3,131600,0,20,6,131606,0.06
P002,13,258,4,140600,92,0,141,140741,1.41
P002,14,258,5,147700,58,80,58,147758,0.58
P002,15,762,1,158300,40,170,140,158440,1.4
P002,16,762,2,170400,74,200,79,170479,0.79
P002,17,762,3,178900,0,26,20,178920,0.2
P002,18,762,4,188500,0,0,0,188500,0.0
P002,19,762,5,199600,0,31,0,199600,0.0
P002,20,605,1,210100,30,200,30,210130,0.3
P002,21,605,2,222800,103,151,104,222904,1.04
P002,22,605,3,230900,0,97,97,230997,0.97
P002,23,605,4,239200,0,174,100,239300,1.0
P002,24,605,5,248100,36,0,136,248236,1.36
P002,25,893,1,260000,28,194,28,260028,0.28
P002,26,893,2,272300,0,0,76,272376,0.76
P002,27,893,3,281700,0,105,98,281798,0.98
P002,28,893,4,293200,0,156,0,293200,0.0
P002,29,893,5,302400,51,0,151,302551,1.51
P003,0,189,1,7100,94,25,94,7194,0.94
P003,1,189,2,18700,19,0,19,18719,0.19
P003,2,189,3,35300,57,98,57,35357,0.57
P003,3,189,4,46300,23,200,69,46369,0.69
P003,4,189,5,54900,26,0,39,54939,0.39
P003,5,762,1,69100,187,183,187,69287,1.87
P003,6,762,2,82700,35,0,60,82760,0.6
P003,7,762,3,92000,130,107,157,92157,1.57
P003,8,762,4,102000,78,169,173,102173,1.73
P003,9,762,5,110500,0,70,82,110582,0.82
P003,10,453,1,121200,110,199,140,121340,1.4
P003,11,453,2,133400,29,10,129,133529,1.29
P003,12,453,3,140800,0,38,0,140800,0.0
P003,13,453,4,147800,0,99,55,147855,0.55
P003,14,453,5,154100,0,34,0,154100,0.0
P003,15,893,1,168700,55,196,154,168854,1.54
P003,16,893,2,181900,0,103,1,181901,0.01
P003,17,893,3,189700,187,89,187,189887,1.87
P003,18,893,4,197600,84,0,84,197684,0.84
P003,19,893,5,206100,0,0,0,206100,0.0
P003,20,258,1,217400,155,50,155,217555,1.55
P003,21,258,2,227100,38,151,85,227185,0.85
P003,22,258,3,236100,34,0,133,236233,1.33
P003,23,258,4,246000,0,21,74,246074,0.74
P003,24,258,5,256200,34,89,134,256334,1.34
P003,25,605,1,269200,90,167,90,269290,0.9
P003,26,605,2,281000,52,0,110,281110,1.1
P003,27,605,3,290100,164,32,172,290272,1.72
P003,28,605,4,301800,0,41,0,301800,0.0
P003,29,605,5,309700,21,110,21,309721,0.21
P004,0,762,1,2500,67,100,138,2638,1.38
P004,1,762,2,13200,0,0,0,13200,0.0
P004,2,762,3,22100,166,200,238,22338,2.38
P004,3,762,4,32600,114,21,115,32715,1.15
P004,4,762,5,40500,20,0,20,40520,0.2
P004,5,893,1,48500,51,97,51,48551,0.51
P004,6,893,2,60100,0,199,0,60100,0.0
P004,7,893,3,67600,39,137,103,67703,1.03
P004,8,893,4,75600,34,54,54,75654,0.54
P004,9,893,5,84100,0,90,56,84156,0.56
P004,10,189,1,97400,58,136,158,97558,1.58
P004,11,189,2,106600,30,193,30,106630,0.3
P004,12,189,3,114300,0,145,0,114300,0.0
P004,13,189,4,126000,111,35,111,126111,1.11
P004,14,189,5,133700,51,1,75,133775,0.75
P004,15,605,1,145800,0,0,0,145800,0.0
P004,16,605,2,158100,0,173,99,158199,0.99
P004,17,605,3,165800,0,0,20,165820,0.2
P004,18,605,4,173400,52,51,53,173453,0.53
P004,19,605,5,179600,0,37,1,179601,0.01
P004,20,453,1,192700,180,179,180,192880,1.8
P004,21,453,2,204200,21,0,21,204221,0.21
P004,22,453,3,215300,31,46,31,215331,0.31
P004,23,453,4,230400,0,31,38,230438,0.38
P004,24,453,5,243300,0,133,100,243400,1.0
P004,25,258,1,255400,25,5,89,255489,0.89
P004,26,258,2,266900,39,0,60,266960,0.6
P004,27,258,3,274900,29,179,29,274929,0.29
P004,28,258,4,282900,28,156,128,283028,1.28
P004,29,258,5,291800,0,0,0,291800,0.0
P005,0,893,1,1900,0,72,0,1900,0.0
P005,1,893,2,14300,45,199,46,14346,0.46
P005,2,893,3,23300,37,99,137,23437,1.37
P005,3,893,4,32700,72,0,72,32772,0.72
P005,4,893,5,42800,34,0,64,42864,0.64
P005,5,605,1,52400,0,200,99,52499,0.99
P005,6,605,2,65800,0,50,0,65800,0.0
P005,7,605,3,75100,65,0,65,75165,0.65
P005,8,605,4,84200,116,0,207,84407,2.07
P005,9,605,5,95400,0,0,0,95400,0.0
P005,10,762,1,112600,135,39,135,112735,1.35
P005,11,762,2,125800,21,0,21,125821,0.21
P005,12,762,3,137500,37,137,37,137537,0.37
P005,13,762,4,145700,0,0,0,145700,0.0
P005,14,762,5,154900,0,199,41,154941,0.41
P005,15,258,1,166000,0,48,0,166000,0.0
P005,16,258,2,182300,24,145,24,182324,0.24
P005,17,258,3,189900,26,0,26,189926,0.26
P005,18,258,4,198500,28,14,42,198542,0.42
P005,19,258,5,209100,119,189,119,209219,1.19
P005,20,189,1,219400,43,0,91,219491,0.91
P005,21,189,2,231300,67,0,107,231407,1.07
P005,22,189,3,238800,74,11,74,238874,0.74
P005,23,189,4,249100,31,120,31,249131,0.31
P005,24,189,5,262800,84,30,84,262884,0.84
P005,25,453,1,279000,0,143,97,279097,0.97
P005,26,453,2,291400,0,0,0,291400,0.0
P005,27,453,3,302300,0,56,78,302378,0.78
P005,28,453,4,315700,28,0,28,315728,0.28
P005,29,453,5,326700,22,8,22,326722,0.22
P006,0,605,1,1100,0,0,98,1198,0.98
P006,1,605,2,16700,125,0,187,16887,1.87
P006,2,605,3,25100,0,35,0,25100,0.0
P006,3,605,4,32700,55,106,55,32755,0.55
P006,4,605,5,42100,88,0,88,42188,0.88
P006,5,258,1,55000,0,33,0,55000,0.0
P006,6,258,2,65300,0,14,7,65307,0.07
P006,7,258,3,72500,172,22,269,72769,2.69
P006,8,258,4,80700,0,73,56,80756,0.56
P006,9,258,5,90900,0,63,56,90956,0.56
P006,10,893,1,103800,149,194,249,104049,2.49
P006,11,893,2,120200,0,23,0,120200,0.0
P006,12,893,3,129400,49,0,49,129449,0.49
