fold,test_subject,LogisticRegression_acc,SVM (RBF)_acc,RandomForest_acc
1,P001,0.5,0.5,0.5
2,P002,0.6,0.5,0.4
3,P003,0.7,0.5,0.4
4,P004,0.2,0.2,0.4
5,P005,0.2,0.2,0.2
6,P006,0.375,0.625,0.25
7,P007,0.4,0.8,0.6
8,P009,0.2,0.0,0.4
9,P010,0.7,0.5,0.5
10,P011,0.7,0.6,0.3
11,P013,0.42857142857142855,0.5714285714285714,0.5714285714285714
12,P014,0.6,0.5,0.3
13,P015,0.8,0.0,0.2
14,P017,0.375,0.625,0.75
15,P018,0.375,0.75,0.75
16,P019,0.3333333333333333,0.7777777777777778,0.5555555555555556
17,P020,0.4444444444444444,0.4444444444444444,0.2222222222222222
18,P021,0.5,0.3,0.7
19,P023,0.3,0.5,0.3
20,P024,0.3,0.4,0.3
21,P025,0.4,0.7,0.4
22,P026,0.5,0.4,0.3
23,P027,0.5,0.3,0.4
24,P029,0.5,0.75,0.5
25,P030,0.2,0.8,0.6
