fold,test_subject,LogisticRegression_acc,SVM (RBF)_acc,RandomForest_acc
1,P001,0.5,0.6,0.5
2,P002,0.6,0.28,0.4
3,P003,0.4,0.4,0.44
4,P004,0.625,0.2916666666666667,0.5416666666666666
5,P005,0.4,0.2,0.28
6,P006,0.23809523809523808,0.38095238095238093,0.2857142857142857
7,P007,0.4,0.36,0.48
8,P008,0.5,0.3,0.5
9,P009,0.4166666666666667,0.4166666666666667,0.4166666666666667
10,P010,0.5833333333333334,0.16666666666666666,0.4166666666666667
11,P011,1.0,0.21052631578947367,0.631578947368421
12,P013,0.37037037037037035,0.48148148148148145,0.2962962962962963
13,P014,0.375,0.2916666666666667,0.20833333333333334
14,P015,0.6666666666666666,0.13333333333333333,0.3333333333333333
15,P016,0.5,0.5,0.5
16,P017,0.7222222222222222,0.2222222222222222,0.4444444444444444
17,P018,0.34782608695652173,0.5217391304347826,0.43478260869565216
18,P019,0.37037037037037035,0.4444444444444444,0.2962962962962963
19,P020,0.21052631578947367,0.47368421052631576,0.3157894736842105
20,P021,0.4,0.48,0.56
21,P023,0.5,0.43333333333333335,0.3333333333333333
22,P024,0.3333333333333333,0.4,0.4
23,P025,0.7368421052631579,0.2631578947368421,0.5263157894736842
24,P026,0.6,0.44,0.44
25,P027,0.3333333333333333,0.2,0.4
26,P028,0.5555555555555556,0.1111111111111111,0.4444444444444444
27,P029,0.3076923076923077,0.3076923076923077,0.3076923076923077
28,P030,0.5833333333333334,0.375,0.375
