fold,test_subject,LogisticRegression_acc,SVM (RBF)_acc,RandomForest_acc
1,P001,0.5,0.3,0.1
2,P002,0.52,0.32,0.44
3,P003,0.4,0.2,0.36
4,P004,0.5833333333333334,0.375,0.5833333333333334
5,P005,0.36,0.28,0.32
6,P006,0.23809523809523808,0.38095238095238093,0.42857142857142855
7,P007,0.44,0.28,0.36
8,P008,0.5,0.3,0.6
9,P009,0.4166666666666667,0.375,0.4166666666666667
10,P010,0.625,0.3333333333333333,0.375
11,P011,0.9473684210526315,0.15789473684210525,0.631578947368421
12,P013,0.37037037037037035,0.37037037037037035,0.2962962962962963
13,P014,0.3333333333333333,0.125,0.3333333333333333
14,P015,0.6666666666666666,0.4,0.5333333333333333
15,P016,0.5,0.4,0.5
16,P017,0.7222222222222222,0.3333333333333333,0.4444444444444444
17,P018,0.391304347826087,0.4782608695652174,0.30434782608695654
18,P019,0.37037037037037035,0.25925925925925924,0.2222222222222222
19,P020,0.2631578947368421,0.21052631578947367,0.15789473684210525
20,P021,0.4,0.4,0.44
21,P023,0.4,0.3,0.4666666666666667
22,P024,0.3333333333333333,0.6,0.2
23,P025,0.6842105263157895,0.10526315789473684,0.5789473684210527
24,P026,0.6,0.24,0.28
25,P027,0.3333333333333333,0.26666666666666666,0.13333333333333333
26,P028,0.4444444444444444,0.3333333333333333,0.3333333333333333
27,P029,0.3076923076923077,0.38461538461538464,0.23076923076923078
28,P030,0.5833333333333334,0.375,0.5
