model,pos_weight,acc,bacc,f1,rec_vua,rec_oth,oracle_bacc,oracle_thr
EEGNet,1.5,0.49404761904761907,0.6176686217008798,0.493443858113199,0.8772727272727273,0.3580645161290323,0.6176686217008798,0.5
EEGNet,2.0,0.4642857142857143,0.6209677419354839,0.46368981407913556,0.95,0.29193548387096774,0.6209677419354839,0.5
EEGNet,3.0,0.4083333333333333,0.577199413489736,0.4045450720356691,0.9318181818181818,0.22258064516129034,0.577199413489736,0.5
EEGNet,4.0,0.3869047619047619,0.5670821114369502,0.37962395976590346,0.9454545454545454,0.18870967741935485,0.5670821114369502,0.5
ShallowConvNet,1.5,0.638095238095238,0.6404692082111437,0.6023024594453166,0.6454545454545455,0.635483870967742,0.6433284457478006,0.51
ShallowConvNet,2.0,0.611904761904762,0.6227272727272728,0.5804504366477707,0.6454545454545455,0.6,0.6227272727272728,0.5
ShallowConvNet,3.0,0.6392857142857142,0.673533724340176,0.615481652588912,0.7454545454545455,0.6016129032258064,0.673533724340176,0.5
ShallowConvNet,4.0,0.5857142857142857,0.6328445747800586,0.5680212797399143,0.7318181818181818,0.5338709677419354,0.6328445747800586,0.5
DeepConvNet,1.5,0.6035714285714285,0.6244134897360705,0.5763301026458921,0.6681818181818182,0.5806451612903226,0.6244134897360705,0.5
DeepConvNet,2.0,0.5654761904761905,0.6220674486803519,0.5513601863625788,0.740909090909091,0.5032258064516129,0.6220674486803519,0.5
DeepConvNet,3.0,0.569047619047619,0.6655425219941349,0.5633443617314585,0.8681818181818182,0.4629032258064516,0.6655425219941349,0.5
DeepConvNet,4.0,0.4988095238095238,0.6282258064516129,0.49843349109522306,0.9,0.3564516129032258,0.6282258064516129,0.5
