subject_id,condition,jar_group,jar_numeric,bp_delta_Fp1,bp_delta_Fp2,bp_delta_F3,bp_delta_F4,bp_delta_C3,bp_delta_C4,bp_delta_P3,bp_delta_P4,bp_delta_O1,bp_delta_O2,bp_delta_F7,bp_delta_F8,bp_delta_T7,bp_delta_T8,bp_delta_P7,bp_delta_P8,bp_theta_Fp1,bp_theta_Fp2,bp_theta_F3,bp_theta_F4,bp_theta_C3,bp_theta_C4,bp_theta_P3,bp_theta_P4,bp_theta_O1,bp_theta_O2,bp_theta_F7,bp_theta_F8,bp_theta_T7,bp_theta_T8,bp_theta_P7,bp_theta_P8,bp_alpha_Fp1,bp_alpha_Fp2,bp_alpha_F3,bp_alpha_F4,bp_alpha_C3,bp_alpha_C4,bp_alpha_P3,bp_alpha_P4,bp_alpha_O1,bp_alpha_O2,bp_alpha_F7,bp_alpha_F8,bp_alpha_T7,bp_alpha_T8,bp_alpha_P7,bp_alpha_P8,bp_beta_Fp1,bp_beta_Fp2,bp_beta_F3,bp_beta_F4,bp_beta_C3,bp_beta_C4,bp_beta_P3,bp_beta_P4,bp_beta_O1,bp_beta_O2,bp_beta_F7,bp_beta_F8,bp_beta_T7,bp_beta_T8,bp_beta_P7,bp_beta_P8,bp_gamma_Fp1,bp_gamma_Fp2,bp_gamma_F3,bp_gamma_F4,bp_gamma_C3,bp_gamma_C4,bp_gamma_P3,bp_gamma_P4,bp_gamma_O1,bp_gamma_O2,bp_gamma_F7,bp_gamma_F8,bp_gamma_T7,bp_gamma_T8,bp_gamma_P7,bp_gamma_P8
P001,258,Khong_du,0,5.359451592928903e-12,3.437171957033341e-12,1.2793819700933863e-11,4.806486557613797e-12,1.1333459557188832e-10,5.6282278384105894e-12,2.757007442762407e-10,1.4553890748169802e-12,4.1944386059668335e-10,3.9919685723824164e-12,2.8056380164815017e-10,7.1427778756344475e-12,4.060321254333433e-10,4.255154536420536e-12,1.027332750274192e-09,1.0488656362923069e-12,1.2995906304322595e-12,1.0172501135478692e-12,2.3895001809294996e-12,3.14559279529683e-12,1.220895144818011e-10,3.2960329389287583e-12,9.332553962464365e-11,1.907896742784485e-12,2.8879126434614644e-10,3.306400604697688e-12,1.653687380257021e-10,2.493454650040021e-12,2.3303835903371463e-10,2.0352581561056226e-12,1.8459257920090322e-10,2.03838824566687e-12,2.4995216560537423e-12,1.066401707552766e-12,3.129095091860246e-12,2.830244315440281e-12,2.8991082615331114e-10,4.744210442281153e-12,1.8012848480590667e-10,1.4332166145669718e-12,8.953865210582682e-11,5.223630700905169e-12,1.6461004940853446e-10,5.7248218042358365e-12,6.044771773077774e-11,4.775549509795565e-12,1.1629925426177672e-10,9.165034329118106e-13,1.627507750548224e-12,4.742532563852635e-13,2.7207525190429974e-12,1.8057334275445665e-12,5.5430648051425045e-11,1.699833456124594e-12,6.383645682090454e-11,1.508968401305161e-12,1.5248992502082994e-10,2.383014620761512e-12,4.903991892353251e-11,1.3907367216629817e-12,1.2740049520401704e-10,2.0816383165328187e-12,4.61055582477157e-11,6.159643726534366e-13,2.2423963948384513e-12,7.029528133959661e-13,3.603432846053618e-12,1.6457818103915715e-12,1.4726258478102358e-10,2.001339702355038e-12,1.7324941900224856e-10,1.4598919595594392e-12,1.275079023679424e-10,2.392771232984019e-12,1.252632273076592e-10,2.5819612015334732e-12,9.72275848156166e-11,2.5488938129923056e-12,1.2832912286687133e-10,1.6965102993869606e-12
P001,258,Khong_du,0,1.2557359555389761e-11,3.0646672477322748e-12,1.577543405715073e-11,4.500103458392768e-12,3.5145516257783115e-11,6.778501275577278e-12,6.88498414530026e-11,2.912393406207469e-12,5.541648472738519e-11,3.870225317760982e-12,1.5541921358776122e-10,4.137901265208862e-12,5.356557994610434e-11,4.195373163861507e-12,2.73996817634518e-10,5.6834906187317065e-12,5.315378382611966e-12,3.044072948348387e-12,4.247251963849321e-12,6.607570081445452e-12,9.357022242779919e-11,3.283744247764553e-12,1.0092946060404381e-10,1.3301013753014832e-12,1.2732729739113328e-10,7.628774211616484e-12,1.4312960671827605e-10,2.2816117942050273e-12,1.6546853025259114e-10,6.2688708711593195e-12,2.2205003478993927e-10,3.3483976898192885e-12,1.3800861197351247e-12,7.121467197466552e-13,1.924787871900473e-12,4.054508264796348e-12,9.709333241193837e-11,1.3116234771086451e-12,2.690624893045686e-11,1.580423240226701e-12,2.972540655686019e-11,1.2916174458036274e-12,6.86074548537294e-11,7.00844649034197e-12,7.256104343426175e-11,3.713726637032276e-12,8.91086041115642e-11,1.1628486042410691e-12,1.4260785329638097e-12,3.9002953311402757e-13,1.8089132959919615e-12,1.4775635618332192e-12,4.014415793378702e-11,1.0360091337021824e-12,1.8343737915772383e-11,7.784875989655072e-13,1.4894585857996777e-11,1.184681390407348e-12,4.1765915694432066e-11,1.3542719934259685e-12,1.9298172298685722e-11,1.022957001924281e-12,3.494204731325325e-11,8.447274947899897e-13,1.5689806868860115e-12,8.56937010907819e-13,1.7309024279210896e-12,3.113428064529313e-12,4.316801821970423e-11,2.2591507732082102e-12,5.725487300373008e-11,1.6159577439492825e-12,4.204092796522124e-11,3.0437703610474477e-12,5.175561977392119e-11,4.471139527452135e-12,5.949305663626156e-11,2.9976545232822137e-12,4.743301204939684e-11,1.0873516740302674e-12
P001,258,Khong_du,0,7.498390223560343e-12,1.4495220469942296e-11,4.224914914344479e-12,3.3262657706302944e-11,1.519889660889307e-10,1.6020399653774722e-11,5.141200918765249e-11,6.826135751156276e-12,2.4247855957974905e-10,3.7072851261639075e-11,9.187470078102797e-10,2.503124623604574e-11,4.865979445866961e-10,1.2928889053747223e-11,5.810740811822015e-10,3.97509756984216e-12,4.76515688080598e-12,2.8252042912849343e-12,7.38133614812071e-12,1.0610302773751157e-11,1.696145364314807e-10,8.848724196586795e-12,2.293476353482982e-10,7.02243391757286e-12,2.462359883131796e-10,7.08155149082517e-12,2.2350595558770775e-10,5.160119178619384e-12,1.231140010373305e-10,5.858855258978678e-12,2.4822570332835186e-10,1.4389666834266494e-12,1.2468281224327424e-12,4.700425737570674e-13,2.5699069482932862e-12,2.183060735411043e-12,1.326042799778885e-10,3.4287692485458044e-13,8.472510063583964e-11,3.04787670049113e-13,2.0516644587096795e-10,2.3235151700981384e-12,6.442685724338795e-11,2.529313692473095e-12,9.924554558860475e-11,1.8091203755083864e-12,9.497094772201333e-11,3.27508634188666e-13,1.4592591858538931e-12,4.0259125696143235e-13,2.026404711214898e-12,7.582782197250396e-13,9.560964383900914e-11,7.956428649631941e-13,6.48325430777366e-11,7.923394200066549e-13,5.194942612786495e-11,1.1585220224998587e-12,5.6910783026990555e-11,1.1120924926570498e-12,5.1192342865837627e-11,1.7399414058446914e-12,1.1249986138478311e-10,8.054659578864628e-13,2.1587304085776887e-12,1.0942112596495707e-12,2.3293644189996494e-12,2.5504912246333626e-12,6.991769243554734e-11,1.540583334828064e-12,1.0944334404213524e-10,1.3636231355472778e-12,1.275738823158053e-10,2.441652280714358e-12,1.0508196835468871e-10,3.2911255438519193e-12,1.1660367424174173e-10,3.3719198431060097e-12,1.3436830433348177e-10,1.3980298233515257e-12
P001,258,Khong_du,0,2.1166056108519237e-11,6.422250653514349e-12,1.3427842208980557e-11,3.0933780954855435e-12,1.0603920232016855e-10,6.8727363815218676e-12,3.5137913838343387e-10,6.493110241598543e-13,6.999429433527563e-10,2.271621818589483e-11,1.5345333588369798e-10,4.353080736160761e-12,3.234959231187054e-10,2.5895113067981317e-11,3.310332263194896e-10,1.2571880550025176e-11,5.850357086434351e-12,1.620553112531457e-12,5.094956620251604e-12,2.7150217710451018e-12,1.0596209308494429e-10,1.4467731744542316e-12,1.0253793555300945e-10,2.7389267282384513e-12,1.9234756464973202e-10,5.132550091497584e-12,1.0900507732005685e-10,4.3049208098875656e-12,1.6774557157877494e-10,6.08764949205044e-12,5.826558257718291e-11,2.6935759001357578e-12,3.3811080023625623e-12,2.5630705881305227e-12,3.627809592348077e-12,2.1714142873097723e-12,7.101386371508065e-11,5.278267121754335e-12,1.1210839657282668e-10,2.7163404694458812e-12,1.1607105202797594e-10,6.655078391556992e-12,2.3873604149341766e-10,7.299735985725878e-12,1.4447009446782178e-10,8.04838388717934e-12,5.2127506638481644e-11,2.035275317175165e-12,1.7755296050723844e-12,6.737312731057532e-13,2.4880602119038386e-12,1.0620612417634916e-12,6.339871152551116e-11,1.0058835138416086e-12,3.044552193631241e-11,9.349681507255656e-13,3.133132914693585e-11,1.1411945383903653e-12,4.109641061999204e-11,2.195205682359618e-12,5.585563529181406e-11,1.0822845883575754e-12,2.361123886392279e-11,8.972682915745139e-13,1.894428520528903e-12,1.4125685072443035e-12,2.8673303890495576e-12,2.7485581740071643e-12,1.3559029113836818e-10,1.998720139462069e-12,1.545950948281904e-10,3.10800347212417e-12,1.0214452134190844e-10,3.4177366385363907e-12,2.233456762075346e-10,4.777518647163427e-12,8.050152778148229e-11,3.146047716573069e-12,7.771305610464251e-11,6.466374491328766e-13
P001,258,Khong_du,0,1.098068969579454e-11,6.065552313756366e-12,8.186227945626672e-12,8.375090142515602e-12,2.173810319867573e-10,1.101486383476878e-11,1.568854019172008e-10,2.4534719688733042e-12,5.366731601682737e-10,2.254057496702368e-11,3.88335394080059e-10,1.5251031563014965e-11,3.759275078831906e-10,2.3682876109126486e-11,6.091240481171327e-10,6.576251180285797e-12,2.917558796046321e-12,1.2383514443461796e-12,3.675483059821086e-12,2.021965299386587e-12,1.8608514057335392e-10,3.4318342709977447e-12,2.3458337465428707e-10,3.4692868841243917e-12,1.5045807351908498e-10,7.504116549016065e-12,3.1173324302555984e-10,1.2267414888182824e-11,1.6945135161443879e-10,7.65546976796719e-12,6.161252694251937e-11,1.538189189890932e-12,4.240793090756888e-12,7.593761353210088e-13,5.488583345597169e-12,8.654736204189784e-13,2.7028160560738225e-11,1.666200283185619e-12,9.235955195464728e-11,1.2215123457884536e-12,1.822083513032149e-10,3.710356955945066e-12,8.192655887996475e-11,4.186894671983241e-12,5.1051350485126674e-11,2.4349896627912594e-12,8.476781979981165e-11,1.3185096736358768e-12,1.4835887656133501e-12,4.4337696458051054e-13,2.2636619687068733e-12,9.087942928878763e-13,5.346209275935481e-11,1.1013237097692429e-12,3.47050599858821e-11,6.218248738798404e-13,3.5413900599616634e-11,6.197204255386017e-13,1.9244156833115638e-11,1.302402348788656e-12,5.039849648829835e-11,6.996972623692114e-13,6.980770300073972e-11,7.782529092160471e-13,1.988154731099778e-12,9.098028257978143e-13,2.9006817446477185e-12,2.3093446981561957e-12,1.211230965298201e-10,1.9391415731206738e-12,1.4117936590083824e-10,1.2961872853282119e-12,1.0950510768051547e-10,1.7708345832154523e-12,6.66726333292503e-11,2.330847905644649e-12,7.558516578689365e-11,1.831079616503082e-12,5.6045807203932694e-11,7.081324462952241e-13
P001,453,Khong_du,0,6.686687102723083e-12,6.150058128399577e-12,9.262914505974935e-12,1.4400150783397414e-11,1.257967438840673e-10,6.813804548657368e-12,2.022009707980723e-11,4.49888569173843e-12,2.5050505411935523e-10,6.040286399699682e-12,4.0398474541047223e-10,5.0576901954396605e-12,4.46712581556943e-10,1.1148243530395707e-11,2.3116817175087798e-10,3.1417088443101874e-12,1.5762317954065335e-11,3.8713369980234485e-12,2.0533643506510156e-11,1.2906098623775071e-11,2.253187473550572e-10,5.797718387424848e-12,2.3974741206520396e-10,2.3556269353040156e-12,3.635690432973924e-10,1.1534277142697002e-11,1.8324651542699474e-10,1.1851298219024612e-11,9.032826154372845e-11,7.367036904861087e-12,2.167657603186803e-10,7.381668302278865e-12,4.8415909831345066e-12,2.4882153974530538e-12,4.850576268359654e-12,2.42667397605935e-12,6.299039205026522e-11,2.476513441952957e-12,7.724599001993702e-11,3.6068344281172253e-12,2.549577728959104e-10,5.628775520155417e-12,1.367488692846132e-10,4.056627197039729e-12,1.7744810554699704e-10,5.970284940023567e-12,3.170181832010115e-11,2.2221422815886343e-12,8.052844706812887e-12,2.4884372868687532e-12,9.673322037904562e-12,5.871173799721988e-12,8.803770819796258e-11,3.6774905984085896e-12,1.202155578336321e-10,1.9083964454890705e-12,9.252397401986779e-11,4.967299927816594e-12,1.0993036825625826e-10,3.760427354553864e-12,7.837092056916053e-11,3.859462870098557e-12,7.698008823278918e-11,4.165329623736166e-12,5.512687434310386e-12,2.7331196944289816e-12,6.621887288889963e-12,4.230910089096639e-12,1.9699390113508563e-10,3.6190086649636375e-12,1.0016977101090152e-10,2.2293416837168338e-12,1.182742536554715e-10,5.698454046806992e-12,1.5505106279696743e-10,4.5220612367789034e-12,2.1143348445596486e-10,7.593759826053783e-12,9.815954519921743e-11,2.577959165883877e-12
P001,453,Khong_du,0,8.06794266063067e-12,3.710977512705493e-12,1.6759117533781533e-11,1.5412103634539798e-12,5.361643126551924e-11,3.9519418536556444e-12,9.387749746510286e-11,2.3727809655353482e-12,1.3462439745331327e-10,2.7958628156841386e-12,1.5550829034629086e-10,4.0514299102396985e-12,2.81292186918863e-10,3.843506033531073e-12,9.888432932232625e-10,1.8996226421274687e-12,2.8618169938700214e-11,1.1444802625048966e-11,3.570575424744421e-11,1.1216956048887494e-11,3.392766020832717e-10,1.6634396115275153e-11,2.460399414684567e-10,9.187607590038848e-12,1.5892955698251496e-10,1.6751147583613546e-11,5.864691158612779e-10,2.43217319990705e-11,3.184361911564304e-10,2.2127019092193936e-11,2.6262134972912217e-10,8.917245921377177e-12,8.787857017484546e-12,6.554844726847905e-12,6.794401965513991e-12,7.602648700796134e-12,2.419953337631903e-10,1.4680476569369772e-11,1.043048663222026e-10,7.258332714647846e-12,4.013798508856343e-10,1.2461391001263061e-11,2.583438927397264e-10,8.517251828958102e-12,3.573908077693466e-10,6.612845650397247e-12,4.11236722703321e-10,4.979830441111831e-12,4.694407376835968e-12,2.5653051394295423e-12,4.533394359971755e-12,2.9258242384674683e-12,1.0906431728141068e-10,2.523690468238729e-12,6.133357651268873e-11,2.384315815173808e-12,1.2545367453615842e-10,5.488907162776746e-12,1.2824854683113425e-10,6.183599697501048e-12,7.964360130434872e-11,3.665712149778295e-12,6.531313721180836e-11,2.273340226173702e-12,5.456997237209204e-12,2.5700300988802323e-12,6.259812717666689e-12,4.914509076637292e-12,1.4638109862624571e-10,4.1839775000574865e-12,8.735400455271172e-11,1.8277291406749218e-12,2.7536526618852206e-10,6.15253220818914e-12,1.0550340349021138e-10,4.440861005319243e-12,1.676457190408374e-10,5.829219770500748e-12,1.1637197399777819e-10,1.4524688061191105e-12
P001,453,Khong_du,0,6.820634106953683e-12,2.8680484887071477e-12,7.886556690530883e-12,2.419488145337998e-12,3.545323982542692e-10,3.620486165787735e-12,1.775371174082235e-11,2.7993465608414078e-12,1.9584248650273325e-10,4.75679608488512e-12,1.3434392863906575e-10,3.4206150209807197e-12,3.3926976125127505e-10,5.8473706508550724e-12,3.8754935267049814e-10,4.056914122330243e-12,7.580926721647593e-12,2.685381289040086e-12,1.0766725189472505e-11,4.812431519666618e-12,2.3536810823276635e-10,1.596336582184272e-12,1.295788495570495e-10,1.2331976235536491e-12,7.763884582014686e-11,9.346512748177305e-12,1.80942656711091e-10,3.4795694303306135e-12,1.6222664765973113e-10,1.1335496138848133e-11,2.1373796946393558e-10,5.2353867949106e-12,3.060728687394177e-12,2.791948018871644e-12,3.5769046916225176e-12,7.629519990677147e-12,6.62221116206431e-11,2.619869122046692e-12,4.9679451022987475e-11,1.7878738157562657e-12,1.3115486102417688e-10,4.9134429121558385e-12,1.4659220089010818e-10,4.141442892085046e-12,9.340574307097764e-11,5.760110983831592e-12,8.166044515399829e-11,2.3729978548828694e-12,5.711950782714795e-12,1.2202022282197487e-12,7.495599050829561e-12,4.166576500378431e-12,8.808269440655745e-11,4.265659812883926e-12,8.375982205487502e-11,2.5374779180926002e-12,1.8409935688621265e-10,5.510254015406009e-12,1.0786957877023895e-10,5.6580008132526685e-12,1.6020871717848992e-10,4.25893282178478e-12,8.360403316182535e-11,2.7819456087242797e-12,6.73932138707342e-12,2.5068304708644035e-12,8.797384347103175e-12,4.027043602594201e-12,9.163011772033931e-11,4.43686676898307e-12,1.1156539386856702e-10,1.903886316138582e-12,1.6246785284940945e-10,6.715405111013044e-12,1.5578329752485818e-10,5.206504704750507e-12,1.3869387435219434e-10,3.950675604020536e-12,7.344033596013117e-11,2.6161773223311756e-12
P001,453,Khong_du,0,3.415783766923168e-11,8.4669153219474e-12,4.7911339639021545e-11,1.4428115452697853e-11,8.617141076062482e-10,8.753563515183444e-12,2.574598714836583e-10,9.383842966990609e-12,2.7043066162541513e-10,1.9552839664797698e-11,6.073656969446576e-10,1.7475547573491274e-11,8.706359613070798e-11,1.5814945576462944e-11,3.64227562070827e-10,1.1381123165055572e-11,1.3983695655488077e-11,4.440112802811313e-12,1.5439872620585703e-11,5.088992148648301e-12,3.648157662986408e-10,5.7318380690772726e-12,2.6799286288124946e-10,1.6733053481831693e-12,1.730677450195091e-10,1.268490547741308e-11,2.1104722758102598e-10,1.0142990615216069e-11,1.0461556848029699e-10,7.220566117041784e-12,1.4040578016711148e-10,8.047776570110714e-12,1.4550536982248845e-11,4.863084735024517e-12,2.0021639531224655e-11,7.032905313524572e-12,8.541222423287693e-11,8.472433672803019e-12,1.527112158541168e-10,6.2858855116105694e-12,2.069977583613452e-10,6.622208382572123e-12,3.1628530980732647e-10,1.133417041818481e-11,1.3108402565720822e-10,8.974482390810566e-12,1.8647968487896898e-10,6.530541933059072e-12,4.145923009922383e-12,1.4414390419039328e-12,5.099585402501508e-12,2.7658101675168056e-12,1.2786431704260961e-10,1.2797044263570252e-12,7.147422961111479e-11,2.2833200373093264e-12,1.6582824097694404e-10,3.8481153552033555e-12,9.790184202193494e-11,3.6906615416126055e-12,1.104373210500753e-10,3.1281852588334637e-12,1.2464771891844996e-10,2.221520476011784e-12,5.492215128786856e-12,2.0869368227333856e-12,8.056961371715273e-12,3.1542237460802807e-12,8.031687693955529e-11,3.298036222804808e-12,9.453749038892788e-11,3.0321684681016206e-12,1.417509309931415e-10,3.5917742379346945e-12,1.7469269592698316e-10,4.947065786967297e-12,2.088162472734079e-10,4.1963633840456134e-12,1.19026307476634e-10,2.6183221455251e-12
P001,453,Khong_du,0,2.139044953284797e-11,5.655985437206645e-12,3.71859100435773e-11,4.128674444267992e-12,7.716811924634696e-10,1.0396939965909653e-11,1.773200723202879e-10,3.2371758129164787e-12,3.0023263141846186e-10,7.94942923765517e-12,2.275126067041358e-10,4.443327163505868e-12,2.9482427441843236e-10,2.4520083345921516e-12,1.5538989924157136e-09,4.205283860599539e-12,1.3791602650882546e-11,6.179456658397289e-12,1.441581212400577e-11,1.5400278133801875e-11,4.434286704570092e-11,4.971741726814705e-12,2.8609152050050656e-10,1.874163329742506e-12,2.626135134679695e-10,1.803087525926082e-11,2.7570888680284414e-10,7.473442543976075e-12,4.214473340244815e-10,2.4267191955079674e-11,1.7159247247591005e-10,5.863502431856755e-12,4.2194528212393205e-12,1.721317430074397e-12,4.745604221349676e-12,2.0893766655164965e-12,1.5209519775545975e-10,5.261336045923941e-12,5.330674790428223e-11,3.500926226883501e-12,5.7263280191816054e-11,2.449787300196447e-12,1.192177647181233e-10,1.8189443281196458e-12,6.939070958194656e-11,3.068250142969694e-12,1.7389379850711053e-10,1.875998199900507e-12,4.576345135812768e-12,1.076584653538964e-12,6.522887573986693e-12,2.1307876067556764e-12,5.68230636743156e-11,1.5557874180629232e-12,4.4903821294912794e-11,1.8321729178982577e-12,4.831350488900373e-11,2.0268679124396762e-12,9.068293082975702e-11,2.5393197098463937e-12,5.614115103281942e-11,2.9566298921435387e-12,1.1959419596616024e-10,2.6538208173824325e-12,4.4154594386335476e-12,2.105567389577779e-12,6.1584296565132115e-12,3.1142919453294834e-12,9.440828741824324e-11,3.800902813563073e-12,1.0900844211188583e-10,2.9292802484677125e-12,9.859102833225493e-11,4.094041602319965e-12,1.2749818461753568e-10,3.274370306380756e-12,1.8334730623296025e-10,6.556737109876153e-12,1.3980903410168467e-10,2.9861236048093285e-12
