subject_id,condition,condition_label,P1_mean_amp,P1_peak_amp,P1_peak_lat,N1_mean_amp,N1_peak_amp,N1_peak_lat,P2_mean_amp,P2_peak_amp,P2_peak_lat,N400_mean_amp,N400_peak_amp,N400_peak_lat,jar_group
P001,605,Water/605,3.842237803399127e-06,1.352547465387488e-05,0.09,-4.618837993804317e-06,-2.1142360841963635e-05,0.17,1.3791518659736276e-05,2.7055014740540173e-05,0.27,-1.1632084841442023e-06,-1.640743838038361e-05,0.37,Khong_du
P001,258,Low/258,-1.696481165690703e-05,-1.4835434564020032e-05,0.1,1.4267498639169476e-05,2.0586655068655083e-06,0.19,-1.5776675894202822e-05,-5.2389152557452695e-06,0.25,-2.353903288981056e-05,-3.716736374978306e-05,0.46,Khong_du
P001,453,MedLow/453,9.048621916057136e-06,2.6081841650693604e-05,0.1,-1.2864012376535458e-05,-2.9663775171684397e-05,0.16,9.30618509220092e-06,2.1820776848358036e-05,0.31,1.5238274047859142e-05,-1.919238599157325e-06,0.55,Khong_du
P001,189,Medium/189,9.444654966931207e-06,1.95957656075052e-05,0.12,-3.802314139787135e-06,-2.639385115088544e-05,0.23,5.553959829971934e-06,2.410464598079365e-05,0.23,1.1818872879036548e-06,-1.0382625898882244e-05,0.4,Vua_phai
P001,762,MedHigh/762,-3.289397150345914e-06,5.4032964442285445e-06,0.09,5.208661840780141e-06,-8.686533828949904e-06,0.19,-4.7444632221308546e-06,-1.0411796068865439e-06,0.3,-9.646243212839656e-06,-1.7882493682463974e-05,0.48,Vua_phai
P001,893,High/893,7.987534065583595e-06,2.2681876211549933e-05,0.1,-5.884264310942266e-06,-1.9715825976618363e-05,0.18,8.555309960091612e-07,1.4733374860043113e-05,0.34,2.3651417167234815e-06,-7.579858938318769e-06,0.35,Qua_nhieu
P002,605,Water/605,-2.18207961028481e-06,1.3925344478593614e-05,0.15,2.628557999286649e-06,-9.056575757426798e-06,0.19,5.051027019282043e-06,1.672827134484578e-05,0.3,3.646542272372515e-06,-2.7938192185198816e-06,0.37,Khong_du
P002,258,Low/258,-1.176322576839084e-05,-4.847749801228928e-06,0.1,-1.092880178790974e-06,-9.884226847134412e-06,0.22,1.1238391693906957e-06,1.2545689855869572e-05,0.31,-2.0915741809327895e-06,-9.890914619366716e-06,0.39,Khong_du
P002,453,MedLow/453,1.4502167179638749e-06,1.2212190858917893e-05,0.11,-1.953365463174867e-06,-1.1018880783808528e-05,0.15,-2.2311016286776697e-06,9.480580240506241e-06,0.24,-5.1119825748570746e-06,-1.7890249472429785e-05,0.55,Khong_du
P002,189,Medium/189,6.517559540952789e-07,9.404213551533758e-06,0.14,-2.8293610274555578e-06,-1.777840411705256e-05,0.19,2.6371700663219144e-06,1.3226843128677503e-05,0.25,4.1191425069425375e-06,-3.5781180419765708e-06,0.52,Qua_nhieu
P002,762,MedHigh/762,-1.6226398608003886e-06,2.4003746588618924e-05,0.13,2.878143599425377e-06,-1.4192994740369613e-05,0.19,6.981310179281324e-06,1.6064755538991448e-05,0.29,-4.843441146321643e-06,-1.5541897528237315e-05,0.41,Qua_nhieu
P002,893,High/893,-1.1575391402780206e-05,-6.480570209532744e-06,0.13,-7.534013345665935e-06,-2.3504705330879007e-05,0.22,-4.065008482493445e-06,4.258147782820746e-07,0.23,-1.975354007198252e-06,-1.1746940875430786e-05,0.4,Vua_phai
P003,605,Water/605,-9.681661372594268e-06,7.839818863430985e-07,0.1,3.941890443312248e-06,-1.944985483817163e-05,0.19,-2.4206063948366386e-05,-3.0197564683476227e-06,0.26,-1.4565430598077726e-05,-2.644251332147481e-05,0.41,Khong_du
P003,258,Low/258,5.83002168700172e-06,1.8253452807925896e-05,0.12,3.96415866803905e-06,-9.177121205539153e-06,0.22,-1.0702080522516047e-05,1.2618931634733599e-05,0.3,-7.659645231650016e-06,-2.1765361687660822e-05,0.4,Khong_du
P003,453,MedLow/453,6.092047461184587e-06,1.0538596171727477e-05,0.1,5.368029054993299e-06,-1.7452240263082787e-05,0.22,3.578650575290199e-05,5.349464789219382e-05,0.28,8.328517469049218e-07,-1.4548080523013594e-05,0.54,Khong_du
P003,189,Medium/189,5.190013966175196e-06,3.388193073305956e-05,0.1,-4.319152372741801e-06,-2.253645400287496e-05,0.16,1.5637025309062507e-05,3.373328317479718e-05,0.25,1.0011866031886838e-05,-7.019654534209014e-06,0.44,Vua_phai
P003,762,MedHigh/762,-2.0639721710814986e-06,5.745413170643588e-06,0.11,1.4450255048101019e-05,-6.701313679968734e-06,0.2,-3.306571668231911e-07,1.8389627041415227e-05,0.32,-2.726115289825819e-07,-1.2280448951666282e-05,0.5,Vua_phai
P003,893,High/893,2.7067336930031162e-06,2.0271739856525528e-05,0.15,-3.5774173431429344e-06,-1.9701115115822175e-05,0.15,6.291997213408579e-06,2.2924047061678718e-05,0.28,-6.728403801713872e-06,-1.8932678155654988e-05,0.42,Qua_nhieu
P004,605,Water/605,-7.207660842504079e-06,5.757902272307547e-07,0.14,-1.0857381657170988e-06,-1.4867021501174805e-05,0.23,-1.0019567247901213e-05,5.9133850413672915e-06,0.3,-1.05672769824387e-05,-2.7022199258415943e-05,0.41,Khong_du
P004,258,Low/258,9.766935556854147e-06,2.0962474860652946e-05,0.09,-7.663630802570962e-06,-1.783915085411536e-05,0.14,9.353364534420579e-06,2.6397082137918915e-05,0.25,5.5502266662353614e-06,-9.186109552198711e-06,0.5,Khong_du
P004,453,MedLow/453,-6.311567133719466e-06,5.2162786914777836e-06,0.15,-8.551243451907193e-06,-2.9145507880912188e-05,0.17,-4.719725431101552e-06,1.1073070032807663e-05,0.26,-4.486621226137217e-06,-2.8137158043743205e-05,0.38,Khong_du
P004,189,Medium/189,-6.930666069138169e-06,4.232011190197226e-06,0.15,-1.7969623078234973e-05,-3.8864224097778785e-05,0.18,-1.460473794375835e-05,1.4231110708351483e-05,0.26,-7.074011533988613e-06,-2.0996150234016874e-05,0.45,Khong_du
P004,762,MedHigh/762,6.226128641222723e-08,2.2792547788696993e-05,0.09,-1.1888409035391719e-05,-3.611005899983866e-05,0.24,-1.886526302279197e-05,1.4147891249649547e-05,0.24,-7.773329700810905e-06,-2.5692373412766756e-05,0.38,Vua_phai
P004,893,High/893,6.280666918964277e-06,2.0190246686979663e-05,0.09,1.1425744676849738e-06,-8.95848598503335e-06,0.18,-1.7997620225593476e-05,-9.437154997726793e-06,0.32,5.186769258437431e-06,-8.564459562876435e-06,0.36,Qua_nhieu
P005,605,Water/605,-3.5531244611927297e-06,6.948911202009356e-06,0.1,-4.7777701891763256e-06,-2.0922023963976244e-05,0.18,-5.842363062942451e-06,7.4959981475331006e-06,0.29,1.9849028538893824e-06,-1.0731470410973998e-05,0.46,Khong_du
P005,258,Low/258,1.3827352203423158e-05,2.6589244271235657e-05,0.1,-2.4780763174641673e-06,-3.134187527393806e-05,0.24,1.927272246243698e-05,3.2423342395304645e-05,0.28,1.7908407181203382e-05,5.7964025396965255e-06,0.43,Khong_du
P005,453,MedLow/453,7.502800894241902e-06,1.917136744395975e-05,0.12,-1.865463141838704e-05,-3.9167500767689495e-05,0.22,-3.774886998870059e-06,8.549738799956685e-06,0.32,6.08416063056461e-06,-3.638723622619483e-06,0.42,Khong_du
P005,189,Medium/189,1.0775070183147563e-06,5.971517357039603e-06,0.11,8.184387381569214e-06,-1.0379771038060425e-05,0.14,-4.680189766977845e-06,1.889324658179703e-05,0.33,5.775269116090008e-06,-4.984450574359774e-06,0.43,Vua_phai
P005,762,MedHigh/762,-1.2817580402010464e-06,8.699804357092945e-06,0.1,1.247034606266921e-05,-3.4676674886213733e-06,0.19,2.2129189284433214e-06,1.2774477363564074e-05,0.26,7.359918709921446e-06,-5.940279671238595e-06,0.51,Vua_phai
P005,893,High/893,2.4281344615977622e-06,2.361626978881759e-05,0.09,-1.495220514429589e-05,-3.7421973320306276e-05,0.22,6.484090694742079e-06,2.1346308653846793e-05,0.3,9.437792057491873e-06,-5.482197311816134e-06,0.55,Vua_phai
P006,605,Water/605,-7.092226903284071e-07,6.016775853368017e-06,0.13,-1.5114756904986074e-06,-9.817874800432947e-06,0.19,-2.395962825583699e-06,1.18263500098692e-05,0.3,-7.553557923850507e-06,-2.1850755926304072e-05,0.48,Khong_du
P006,258,Low/258,-5.328267785717092e-06,-1.8271045831852462e-06,0.12,7.847469419336955e-07,-1.4862174783303317e-05,0.2,-3.882154209373827e-06,1.9848919237119844e-06,0.32,-1.5370555163466786e-06,-1.3313102508997568e-05,0.37,Vua_phai
