condition,condition_label,component,measure,mean,sem,n_subjects
605,Water/605,P1,mean_amp,2.2608877336367508e-06,2.1797442721265177e-06,28
605,Water/605,P1,peak_amp,1.2363764093922945e-05,2.300314855934549e-06,28
605,Water/605,P1,peak_lat,0.11714285714285713,0.0039793495672132305,28
605,Water/605,N1,mean_amp,-3.4953234062924336e-07,1.0347837409842827e-06,28
605,Water/605,N1,peak_amp,-1.4787227115531908e-05,1.6286790181060393e-06,28
605,Water/605,N1,peak_lat,0.1867857142857143,0.005195988772094093,28
605,Water/605,P2,mean_amp,1.2170781999461512e-06,2.2723449943932856e-06,28
605,Water/605,P2,peak_amp,1.7989909887743722e-05,2.4700173138850733e-06,28
605,Water/605,P2,peak_lat,0.28964285714285715,0.004838178820675342,28
605,Water/605,N400,mean_amp,1.9145788435183302e-06,1.7802919361249362e-06,28
605,Water/605,N400,peak_amp,-1.1636454332392395e-05,1.9030619475858683e-06,28
605,Water/605,N400,peak_lat,0.45785714285714285,0.012110133310504305,28
258,Low/258,P1,mean_amp,-1.7667772192954637e-06,1.832151531987203e-06,28
258,Low/258,P1,peak_amp,8.918576323333061e-06,2.0757631857596148e-06,28
258,Low/258,P1,peak_lat,0.11642857142857142,0.0037166252298311414,28
258,Low/258,N1,mean_amp,8.723578793429769e-07,1.6719190300400594e-06,28
258,Low/258,N1,peak_amp,-1.2926239304846714e-05,1.7895591920291347e-06,28
258,Low/258,N1,peak_lat,0.18642857142857144,0.006631141173112478,28
258,Low/258,P2,mean_amp,-1.647528815253747e-06,1.757693297493352e-06,28
258,Low/258,P2,peak_amp,1.3837527408374787e-05,1.8634650760103818e-06,28
258,Low/258,P2,peak_lat,0.2992857142857143,0.006685065314679194,28
258,Low/258,N400,mean_amp,-1.818397537575328e-06,1.5508249778975999e-06,28
258,Low/258,N400,peak_amp,-1.4861251718758058e-05,1.7761105923368882e-06,28
258,Low/258,N400,peak_lat,0.4714285714285715,0.011194696941273305,28
453,MedLow/453,P1,mean_amp,3.1668024435471223e-06,1.7859085794906098e-06,28
453,MedLow/453,P1,peak_amp,1.369641944570153e-05,1.8761026118368323e-06,28
453,MedLow/453,P1,peak_lat,0.125,0.0041943524640393045,28
453,MedLow/453,N1,mean_amp,-4.231974793808113e-06,1.7256790489847197e-06,28
453,MedLow/453,N1,peak_amp,-2.0931498157139573e-05,2.1714214387108344e-06,28
453,MedLow/453,N1,peak_lat,0.18500000000000003,0.005646087749788067,28
453,MedLow/453,P2,mean_amp,2.967911541170659e-07,2.445660487328483e-06,28
453,MedLow/453,P2,peak_amp,1.6399358493186207e-05,2.6780774498893377e-06,28
453,MedLow/453,P2,peak_lat,0.28250000000000003,0.0062493385893414985,28
453,MedLow/453,N400,mean_amp,-4.0119035127972396e-07,1.4449982608057653e-06,28
453,MedLow/453,N400,peak_amp,-1.4164240496541308e-05,1.6730215331240348e-06,28
453,MedLow/453,N400,peak_lat,0.45678571428571424,0.012672654927741524,28
189,Medium/189,P1,mean_amp,7.813051500420082e-07,1.6673086769477863e-06,28
189,Medium/189,P1,peak_amp,1.2649079464160145e-05,2.2096285451071777e-06,28
189,Medium/189,P1,peak_lat,0.1157142857142857,0.004096345365258393,28
189,Medium/189,N1,mean_amp,-4.503819503817125e-07,1.4034334935417623e-06,28
189,Medium/189,N1,peak_amp,-1.6299146742326797e-05,1.6914727387469586e-06,28
189,Medium/189,N1,peak_lat,0.18892857142857142,0.006114846312627954,28
