subject_id,condition,condition_label,n_trials,avg_snr,mean_trial_snr,mean_baseline_noise_V,signal_rms_V,noise_floor_V,signal_to_noise_floor_ratio,n_components_detected,morphology_score,quality_score,has_real_pattern,quality_label,P1_detected,P1_peak_amp_V,P1_peak_lat_s,P1_mean_amp_V,N1_detected,N1_peak_amp_V,N1_peak_lat_s,N1_mean_amp_V,P2_detected,P2_peak_amp_V,P2_peak_lat_s,P2_mean_amp_V,N400_detected,N400_peak_amp_V,N400_peak_lat_s,N400_mean_amp_V,jar_group
P001,605,Water/605,5,0.6521361638795343,1.3212003574333449,4.202047068289396e-05,2.4477933464150428e-05,5.7046541338761546e-05,0.4290870732862178,4,0.8333333333333334,0.6448595441530942,True,GOOD,True,2.381884224362807e-05,0.11,5.442066746651012e-06,True,-2.3098316870573398e-05,0.2,-1.335869973476375e-06,True,1.563489627187664e-05,0.29,6.351281850833438e-06,True,-3.95207589842054e-06,0.38,4.311174169150231e-06,Khong_du
P001,258,Low/258,5,0.4807010907474115,1.4175800636855382,4.702964351730483e-05,2.991008365670489e-05,6.012249629555715e-05,0.4974857249717215,2,0.5,0.37736985360183006,False,BAD,False,-1.5264290297523074e-06,0.12,-9.750706435949855e-06,False,-4.420180346187406e-06,0.23,9.694081179648348e-06,True,5.976365862636612e-06,0.3,-7.154165561911003e-06,True,-2.843932698889754e-05,0.45,-1.2605344621855843e-05,Khong_du
P001,453,MedLow/453,5,0.8782476182008141,1.7338648585667733,3.739997601904865e-05,3.0412067419241772e-05,5.4784201918471624e-05,0.555124768715262,3,0.3333333333333333,0.46065499250371245,False,BAD,True,6.8274571674464825e-06,0.14,-6.715512536865325e-06,True,-1.075269449870575e-05,0.15,1.949759957075127e-06,True,1.1424742757526473e-05,0.24,1.7175450250688913e-06,False,-3.29787483982121e-06,0.51,5.923424677351228e-06,Khong_du
P001,189,Medium/189,5,1.0380972452930708,1.3839457095241336,4.379709305161978e-05,2.6639103969933117e-05,5.684070781513844e-05,0.4686624251156545,2,0.16666666666666666,0.3383244523247633,False,BAD,False,2.0985525793548735e-06,0.12,-7.468768419422694e-06,False,-4.825071214398236e-06,0.21,7.680980783287726e-06,True,8.439309513619265e-06,0.32,-2.0016052227780698e-06,True,-5.348275417797292e-06,0.49,8.338908075587361e-06,Vua_phai
P001,762,MedHigh/762,5,0.4971673514924285,2.059001276133239,3.314143236454564e-05,2.102284017363687e-05,5.1820426756161085e-05,0.40568635747750575,2,0.5,0.371857089435182,False,BAD,False,5.997126379497786e-07,0.09,-1.121633650953413e-05,False,-5.2174173447383515e-06,0.19,4.75891213608551e-06,True,7.354289519412305e-06,0.29,-3.2842005713116754e-06,True,-1.633226225976614e-05,0.55,-4.9667775588967095e-06,Vua_phai
P001,893,High/893,5,0.7732934351228986,1.7267910633146273,3.3107753650040385e-05,2.4784765976404963e-05,4.886993970833429e-05,0.5071576949823444,3,0.6666666666666666,0.5316446133839173,True,GOOD,True,1.082443354221141e-05,0.11,5.953133346484459e-06,True,-1.616839961684491e-05,0.18,-4.21907506242421e-06,True,1.6260075571494778e-05,0.33,6.038378512967641e-06,False,4.7632979279417986e-07,0.37,7.0560259941156724e-06,Qua_nhieu
P002,605,Water/605,5,0.44326800662588833,2.1647626351279308,3.199871112110332e-05,1.9220334223111025e-05,4.955185685330004e-05,0.3878832286752337,4,0.6666666666666666,0.5826969093694665,True,GOOD,True,4.8880985779931055e-06,0.13,-1.1569116701082293e-06,True,-6.516337083439794e-06,0.19,3.951421887229209e-06,True,1.4299063934686272e-05,0.25,6.7289016787123255e-06,True,-5.253715672400478e-06,0.45,1.4542624438176757e-06,Khong_du
P002,258,Low/258,5,1.5353062353148514,1.6027180707679392,4.217620614773092e-05,3.373324583376755e-05,5.623723061497638e-05,0.5998383182258649,4,0.8333333333333334,0.7312633934765109,True,GOOD,True,1.6743071159908138e-05,0.11,8.974258681528266e-06,True,-3.160339816190572e-05,0.21,-1.525179547605469e-05,True,1.6848680036218867e-05,0.23,6.83288376618608e-06,True,-9.168553655551175e-06,0.5,2.285783274285926e-06,Khong_du
P002,453,MedLow/453,5,0.5112458871581933,1.3879665026538466,4.6423024066772886e-05,2.5649174749430564e-05,6.0000414850604e-05,0.42748329012882424,4,0.5,0.5496650706895113,True,GOOD,True,2.0195575575598924e-05,0.11,4.995917316006983e-06,True,-1.6283846667874966e-05,0.18,5.834014981008874e-06,True,1.3787530087938646e-05,0.33,-1.4567915566993528e-06,True,-1.2229004397568133e-05,0.55,-4.293049263000039e-06,Khong_du
P002,189,Medium/189,5,0.5373975851766583,1.9605885737509836,3.512404422254439e-05,2.6273112606219106e-05,6.268217488469151e-05,0.4191480696793058,2,0.5,0.37621923732400275,False,BAD,True,1.1003897907357897e-05,0.11,1.3139914379678431e-06,False,-2.1292184896992692e-06,0.24,6.281263529734298e-06,True,9.570226751520751e-06,0.24,2.9277256880861233e-06,False,-3.668599371546103e-07,0.38,5.5426957092979336e-06,Qua_nhieu
