subject_id,epoch_ix,condition,condition_label,repeat,baseline_rms_V,snr_0_1s,poststimulus_rms_V
P001,0,258,Low/258,1,4.5562524067323434e-05,1.4575576312776912,6.641000465460074e-05
P001,1,258,Low/258,2,3.637876465784911e-05,1.845529832931874,6.713809546126821e-05
P001,2,258,Low/258,3,5.978510740078649e-05,0.8744157432057968,5.2277039120497106e-05
P001,3,258,Low/258,4,5.045641349167428e-05,1.361407861808197,6.869175800621057e-05
P001,4,258,Low/258,5,4.2965407968890894e-05,1.5489892492041315,6.65529550314815e-05
P001,5,453,MedLow/453,1,3.992693847212296e-05,1.4690889958955908,5.865622594919616e-05
P001,6,453,MedLow/453,2,2.1436024532559818e-05,2.3927734389381916,5.1291550137936603e-05
P001,7,453,MedLow/453,3,4.553885393123398e-05,1.4964539144096298,6.814679622312344e-05
P001,8,453,MedLow/453,4,3.988545892206215e-05,1.8624696229422817,7.428545563945295e-05
P001,9,453,MedLow/453,5,4.0212604237264296e-05,1.4485383206481737,5.824949821073647e-05
P001,10,605,Water/605,1,1.9629420255034658e-05,1.450321204780948,2.8468964433433403e-05
P001,11,605,Water/605,2,3.5149193539480806e-05,1.761500084661613,6.191530739558284e-05
P001,12,605,Water/605,3,5.622563480097749e-05,1.0140586554573012,5.701609162851249e-05
P001,13,605,Water/605,4,5.0923320778440845e-05,1.1411631389257277,5.811181658404729e-05
P001,14,605,Water/605,5,4.8174784040536e-05,1.238958703341134,5.968656796860164e-05
P001,15,189,Medium/189,1,5.477904472805458e-05,1.0965965592035136,6.007051196524001e-05
P001,16,189,Medium/189,2,4.388522812416998e-05,1.3725310228109502,6.023383704355892e-05
P001,17,189,Medium/189,3,4.6335187768756865e-05,1.142089920042763,5.291895089398593e-05
P001,18,189,Medium/189,4,3.204242859130196e-05,1.8891671276217714,6.053350278385565e-05
P001,19,189,Medium/189,5,4.1943576045815535e-05,1.4193439179416698,5.9532359557352186e-05
P001,20,893,High/893,1,1.9482931701664476e-05,1.338853170742471,2.6084784884132486e-05
P001,21,893,High/893,2,7.807093861926644e-06,3.7417521627738175,2.921221034284221e-05
P001,22,893,High/893,3,4.796993333953926e-05,1.44698280329248,6.941166861739993e-05
P001,23,893,High/893,4,5.2936333991059625e-05,0.7693121756418606,4.0724566273166255e-05
P001,24,893,High/893,5,3.734247535601192e-05,1.3370550041225064,4.992894354107711e-05
P001,25,762,MedHigh/762,1,5.285028631725846e-05,0.9521944210161472,5.0323747780399524e-05
P001,26,762,MedHigh/762,2,1.3935235084167957e-05,4.135059367737498,5.762302437641295e-05
P001,27,762,MedHigh/762,3,3.773617253558677e-05,1.711022374257371,6.456743552722547e-05
P001,28,762,MedHigh/762,4,2.2661170566121383e-05,2.2875144830614476,5.183775587312844e-05
P001,29,762,MedHigh/762,5,3.852429731959365e-05,1.2092157345937293,4.6584186483019666e-05
P002,0,453,MedLow/453,1,4.091532888739024e-05,1.3596515621219487,5.563059083647346e-05
P002,1,453,MedLow/453,2,4.9552567378046105e-05,1.270723374774234,6.296760564735835e-05
P002,2,453,MedLow/453,3,5.253501772817753e-05,1.1769573235264004,6.183147385676783e-05
P002,3,453,MedLow/453,4,6.106745898304436e-05,1.0366525759492535,6.330573866144834e-05
P002,4,453,MedLow/453,5,2.804474735720621e-05,2.095847676897396,5.877751859777502e-05
P002,5,189,Medium/189,1,4.8656549981838476e-05,1.3032004546242466,6.340923805677927e-05
P002,6,189,Medium/189,2,1.9866059507227487e-05,3.113331922535612,6.184963723884344e-05
P002,7,189,Medium/189,3,5.1340507119020475e-05,1.1432869587623815,5.869693224542333e-05
P002,8,189,Medium/189,4,2.6894844794375202e-05,1.93925073375147,5.215584750162401e-05
P002,9,189,Medium/189,5,2.8862259710260312e-05,2.3038727990812093,6.649497506648624e-05
P002,10,258,Low/258,1,4.545481978958563e-05,1.1722945676789451,5.328643831415665e-05
P002,11,258,Low/258,2,2.7804583496408492e-05,2.765529849410007,7.689440560973055e-05
P002,12,258,Low/258,3,4.984961638211928e-05,1.1490625526997291,5.7280327451140205e-05
P002,13,258,Low/258,4,4.404591603147482e-05,1.4058277958061138,6.192097304878941e-05
P002,14,258,Low/258,5,4.372609503906638e-05,1.5208755882449005,6.650195051419252e-05
P002,15,762,MedHigh/762,1,3.403040558344087e-05,2.1884795001050086,7.447484499961935e-05
P002,16,762,MedHigh/762,2,3.979539382845409e-05,1.6002647899547409,6.36831675460573e-05
P002,17,762,MedHigh/762,3,5.283503797829936e-05,1.3243268400587072,6.997085889018294e-05
P002,18,762,MedHigh/762,4,8.122784140306394e-06,6.991127301792895,5.678741796986637e-05
P002,19,762,MedHigh/762,5,4.069652192563207e-05,1.7717960561624222,7.210593704736245e-05
P002,20,605,Water/605,1,4.557542999896926e-05,1.217386886745898,5.548293083855078e-05
P002,21,605,Water/605,2,4.220392505965081e-05,1.0796127827188744,4.556389697530844e-05
P002,22,605,Water/605,3,2.60479405809867e-05,2.257009450139229,5.879044804795209e-05
P002,23,605,Water/605,4,3.8153017809954255e-05,1.0398628377878443,3.96739053700292e-05
P002,24,605,Water/605,5,8.013242155955579e-06,5.229941218247808,4.1908785443233015e-05
P002,25,893,High/893,1,2.712724621691046e-05,2.8925749923049726,7.846759401713484e-05
