jar_group,component,measure,mean,sem,n
Khong_du,P1,mean_amp,1.4146527534381786e-06,1.1113062454107e-06,83
Khong_du,P1,peak_amp,1.2449480835055048e-05,1.2043901855734495e-06,83
Khong_du,P1,peak_lat,0.1193975903614458,0.002321179728768542,83
Khong_du,N1,mean_amp,-5.729067093203083e-07,8.771141206038625e-07,83
Khong_du,N1,peak_amp,-1.507892617880773e-05,1.1191317339001642e-06,83
Khong_du,N1,peak_lat,0.18614457831325298,0.0033188449591834515,83
Khong_du,P2,mean_amp,5.16536675613504e-07,1.2594423404362946e-06,83
Khong_du,P2,peak_amp,1.758754339235631e-05,1.4107499022173733e-06,83
Khong_du,P2,peak_lat,0.2950602409638554,0.0034853013803541333,83
Khong_du,N400,mean_amp,5.260238413400294e-07,9.148404561563155e-07,83
Khong_du,N400,peak_amp,-1.293012926510022e-05,9.989056527208532e-07,83
Khong_du,N400,peak_lat,0.46831325301204824,0.0067767802839547465,83
Vua_phai,P1,mean_amp,7.964650333361751e-07,1.4514547337403822e-06,44
Vua_phai,P1,peak_amp,1.2137859169504172e-05,1.7521961687520895e-06,44
Vua_phai,P1,peak_lat,0.11636363636363636,0.0031704720687263433,44
Vua_phai,N1,mean_amp,-1.5820115204127646e-06,1.4365591111724794e-06,44
Vua_phai,N1,peak_amp,-1.8595406965118205e-05,1.5266388717134057e-06,44
Vua_phai,N1,peak_lat,0.20090909090909087,0.004950261934024564,44
Vua_phai,P2,mean_amp,2.6232330517327558e-06,1.3766169833913315e-06,44
Vua_phai,P2,peak_amp,1.7494468573076016e-05,1.4346054372018396e-06,44
Vua_phai,P2,peak_lat,0.27090909090909093,0.0058506625075986475,44
Vua_phai,N400,mean_amp,6.040439132306142e-07,1.014933099693501e-06,44
Vua_phai,N400,peak_amp,-1.2233783621523105e-05,1.104417657170581e-06,44
Vua_phai,N400,peak_lat,0.4413636363636364,0.008463270407631823,44
Qua_nhieu,P1,mean_amp,1.6813682351324524e-06,1.656315940737924e-06,41
Qua_nhieu,P1,peak_amp,1.214768051056003e-05,1.977810903172221e-06,41
Qua_nhieu,P1,peak_lat,0.1173170731707317,0.003422030317393292,41
Qua_nhieu,N1,mean_amp,-8.939796926256616e-08,1.3581677867403701e-06,41
Qua_nhieu,N1,peak_amp,-1.4139592920191089e-05,1.334772788920276e-06,41
Qua_nhieu,N1,peak_lat,0.19121951219512195,0.005074987948456428,41
Qua_nhieu,P2,mean_amp,1.9867140349752325e-06,1.727768090021251e-06,41
Qua_nhieu,P2,peak_amp,1.7926741696702334e-05,1.9248546931032536e-06,41
Qua_nhieu,P2,peak_lat,0.29195121951219516,0.006030608028592729,41
Qua_nhieu,N400,mean_amp,1.394245750494587e-07,1.164949347700687e-06,41
Qua_nhieu,N400,peak_amp,-1.2448493648318654e-05,1.5845796123558057e-06,41
Qua_nhieu,N400,peak_lat,0.4539024390243902,0.011097560975609759,41
