subject_id,condition,condition_label,P1_mean_amp,P1_peak_amp,P1_peak_lat,N1_mean_amp,N1_peak_amp,N1_peak_lat,P2_mean_amp,P2_peak_amp,P2_peak_lat,N400_mean_amp,N400_peak_amp,N400_peak_lat,jar_group
P001,605,Water/605,3.842237803399127e-06,1.352547465387488e-05,0.09,-4.618837993804317e-06,-2.1142360841963635e-05,0.17,1.3791518659736276e-05,2.7055014740540173e-05,0.27,-1.1632084841442023e-06,-1.640743838038361e-05,0.37,Khong_du
P001,893,High/893,7.987534065583595e-06,2.2681876211549933e-05,0.1,-5.884264310942266e-06,-1.9715825976618363e-05,0.18,8.555309960091612e-07,1.4733374860043113e-05,0.34,2.3651417167234815e-06,-7.579858938318769e-06,0.35,Qua_nhieu
P002,605,Water/605,-2.18207961028481e-06,1.3925344478593614e-05,0.15,2.628557999286649e-06,-9.056575757426798e-06,0.19,5.051027019282043e-06,1.672827134484578e-05,0.3,3.646542272372515e-06,-2.7938192185198816e-06,0.37,Khong_du
P002,258,Low/258,-1.176322576839084e-05,-4.847749801228928e-06,0.1,-1.092880178790974e-06,-9.884226847134412e-06,0.22,1.1238391693906957e-06,1.2545689855869572e-05,0.31,-2.0915741809327895e-06,-9.890914619366716e-06,0.39,Khong_du
P002,453,MedLow/453,1.4502167179638749e-06,1.2212190858917893e-05,0.11,-1.953365463174867e-06,-1.1018880783808528e-05,0.15,-2.2311016286776697e-06,9.480580240506241e-06,0.24,-5.1119825748570746e-06,-1.7890249472429785e-05,0.55,Khong_du
P002,762,MedHigh/762,-1.6226398608003886e-06,2.4003746588618924e-05,0.13,2.878143599425377e-06,-1.4192994740369613e-05,0.19,6.981310179281324e-06,1.6064755538991448e-05,0.29,-4.843441146321643e-06,-1.5541897528237315e-05,0.41,Qua_nhieu
P002,893,High/893,-1.1575391402780206e-05,-6.480570209532744e-06,0.13,-7.534013345665935e-06,-2.3504705330879007e-05,0.22,-4.065008482493445e-06,4.258147782820746e-07,0.23,-1.975354007198252e-06,-1.1746940875430786e-05,0.4,Vua_phai
P003,605,Water/605,-9.681661372594268e-06,7.839818863430985e-07,0.1,3.941890443312248e-06,-1.944985483817163e-05,0.19,-2.4206063948366386e-05,-3.0197564683476227e-06,0.26,-1.4565430598077726e-05,-2.644251332147481e-05,0.41,Khong_du
P003,453,MedLow/453,6.092047461184587e-06,1.0538596171727477e-05,0.1,5.368029054993299e-06,-1.7452240263082787e-05,0.22,3.578650575290199e-05,5.349464789219382e-05,0.28,8.328517469049218e-07,-1.4548080523013594e-05,0.54,Khong_du
P003,189,Medium/189,5.190013966175196e-06,3.388193073305956e-05,0.1,-4.319152372741801e-06,-2.253645400287496e-05,0.16,1.5637025309062507e-05,3.373328317479718e-05,0.25,1.0011866031886838e-05,-7.019654534209014e-06,0.44,Vua_phai
P003,762,MedHigh/762,-2.0639721710814986e-06,5.745413170643588e-06,0.11,1.4450255048101019e-05,-6.701313679968734e-06,0.2,-3.306571668231911e-07,1.8389627041415227e-05,0.32,-2.726115289825819e-07,-1.2280448951666282e-05,0.5,Vua_phai
P003,893,High/893,2.7067336930031162e-06,2.0271739856525528e-05,0.15,-3.5774173431429344e-06,-1.9701115115822175e-05,0.15,6.291997213408579e-06,2.2924047061678718e-05,0.28,-6.728403801713872e-06,-1.8932678155654988e-05,0.42,Qua_nhieu
P004,258,Low/258,9.766935556854147e-06,2.0962474860652946e-05,0.09,-7.663630802570962e-06,-1.783915085411536e-05,0.14,9.353364534420579e-06,2.6397082137918915e-05,0.25,5.5502266662353614e-06,-9.186109552198711e-06,0.5,Khong_du
P004,453,MedLow/453,-6.311567133719466e-06,5.2162786914777836e-06,0.15,-8.551243451907193e-06,-2.9145507880912188e-05,0.17,-4.719725431101552e-06,1.1073070032807663e-05,0.26,-4.486621226137217e-06,-2.8137158043743205e-05,0.38,Khong_du
P004,189,Medium/189,-6.930666069138169e-06,4.232011190197226e-06,0.15,-1.7969623078234973e-05,-3.8864224097778785e-05,0.18,-1.460473794375835e-05,1.4231110708351483e-05,0.26,-7.074011533988613e-06,-2.0996150234016874e-05,0.45,Khong_du
