condition,condition_label,component,measure,mean,sem,n_subjects
605,Water/605,P1,mean_amp,4.156143553047235e-06,2.7624712541092354e-06,21
605,Water/605,P1,peak_amp,1.4264826939287402e-05,2.933278461918416e-06,21
605,Water/605,P1,peak_lat,0.1157142857142857,0.004449260429256411,21
605,Water/605,N1,mean_amp,-6.031928185519044e-07,1.3073372824896038e-06,21
605,Water/605,N1,peak_amp,-1.5880873360727163e-05,1.9413840376669522e-06,21
605,Water/605,N1,peak_lat,0.18000000000000002,0.005520524474738834,21
605,Water/605,P2,mean_amp,2.7892310192741912e-06,2.8343836912533367e-06,21
605,Water/605,P2,peak_amp,1.9936312091152682e-05,3.031688429951967e-06,21
605,Water/605,P2,peak_lat,0.28904761904761905,0.006283188525731711,21
605,Water/605,N400,mean_amp,2.778404299580793e-06,2.239565961691125e-06,21
605,Water/605,N400,peak_amp,-1.1471471340180579e-05,2.2745215433161236e-06,21
605,Water/605,N400,peak_lat,0.4442857142857143,0.013497291237440917,21
258,Low/258,P1,mean_amp,-1.2128745299224594e-06,2.184072049295676e-06,18
258,Low/258,P1,peak_amp,1.0229529919146705e-05,2.649790156891871e-06,18
258,Low/258,P1,peak_lat,0.11333333333333334,0.004782867026529596,18
258,Low/258,N1,mean_amp,4.4646752820410406e-07,1.6411214080895708e-06,18
258,Low/258,N1,peak_amp,-1.3636531050348959e-05,1.8889560199694424e-06,18
258,Low/258,N1,peak_lat,0.18055555555555558,0.008649765655604621,18
258,Low/258,P2,mean_amp,2.0507708174031375e-06,1.645622389567629e-06,18
258,Low/258,P2,peak_amp,1.5866854079968658e-05,1.8155583868241828e-06,18
258,Low/258,P2,peak_lat,0.29833333333333334,0.008333333333333333,18
258,Low/258,N400,mean_amp,4.828567251868378e-07,1.5819893753977628e-06,18
258,Low/258,N400,peak_amp,-1.246495995874757e-05,1.7982907533141309e-06,18
258,Low/258,N400,peak_lat,0.4683333333333333,0.015826882070655343,18
453,MedLow/453,P1,mean_amp,3.2010058055252774e-06,1.7713378318472064e-06,19
453,MedLow/453,P1,peak_amp,1.3421673045621e-05,1.6455821683242024e-06,19
453,MedLow/453,P1,peak_lat,0.12526315789473683,0.005586555553716019,19
453,MedLow/453,N1,mean_amp,-5.3668614999545236e-06,1.9168276820878084e-06,19
453,MedLow/453,N1,peak_amp,-2.1769865088647054e-05,2.6122563124842503e-06,19
453,MedLow/453,N1,peak_lat,0.18421052631578946,0.006320660889351516,19
453,MedLow/453,P2,mean_amp,2.923006965318495e-06,3.2153079975124503e-06,19
453,MedLow/453,P2,peak_amp,1.8543121938974812e-05,3.6044380363374402e-06,19
453,MedLow/453,P2,peak_lat,0.27736842105263165,0.006960292780658726,19
453,MedLow/453,N400,mean_amp,-9.259545671594303e-07,1.604592908841211e-06,19
453,MedLow/453,N400,peak_amp,-1.4987562679286816e-05,2.024844309674487e-06,19
453,MedLow/453,N400,peak_lat,0.4557894736842105,0.015242979200172495,19
189,Medium/189,P1,mean_amp,3.687740379060233e-07,2.446331145024994e-06,17
189,Medium/189,P1,peak_amp,1.316620045323154e-05,3.473571530624485e-06,17
189,Medium/189,P1,peak_lat,0.1211764705882353,0.005615259732951994,17
189,Medium/189,N1,mean_amp,-5.570828511411197e-07,2.184873502650644e-06,17
189,Medium/189,N1,peak_amp,-1.7360624075609742e-05,2.5387779427145023e-06,17
189,Medium/189,N1,peak_lat,0.17941176470588235,0.008156132131683556,17
189,Medium/189,P2,mean_amp,3.7197437928497517e-06,2.6212322004525057e-06,17
189,Medium/189,P2,peak_amp,2.1350118007453202e-05,2.7477855921827863e-06,17
189,Medium/189,P2,peak_lat,0.2994117647058823,0.009134235384276199,17
189,Medium/189,N400,mean_amp,3.6316862505198688e-06,1.7934445859020555e-06,17
189,Medium/189,N400,peak_amp,-9.730440126678192e-06,1.877036888509649e-06,17
189,Medium/189,N400,peak_lat,0.47941176470588237,0.014102320111455123,17
762,MedHigh/762,P1,mean_amp,4.680905540043847e-07,1.8968008431859485e-06,21
762,MedHigh/762,P1,peak_amp,1.2032185673066783e-05,2.3916657923126016e-06,21
762,MedHigh/762,P1,peak_lat,0.11190476190476191,0.004343525428949098,21
762,MedHigh/762,N1,mean_amp,1.7483374028149922e-06,2.1551567036801483e-06,21
762,MedHigh/762,N1,peak_amp,-1.2674619122945852e-05,2.135665403690544e-06,21
762,MedHigh/762,N1,peak_lat,0.20523809523809527,0.006605158432152268,21
762,MedHigh/762,P2,mean_amp,1.3189631366835629e-06,1.9779491411407023e-06,21
762,MedHigh/762,P2,peak_amp,1.818274569595517e-05,1.9203592623468025e-06,21
762,MedHigh/762,P2,peak_lat,0.27428571428571435,0.008932856114779132,21
762,MedHigh/762,N400,mean_amp,1.8299368442877662e-07,1.3773883390815702e-06,21
762,MedHigh/762,N400,peak_amp,-1.1781719905488085e-05,1.6946903123087165e-06,21
762,MedHigh/762,N400,peak_lat,0.4457142857142857,0.01574455958299835,21
893,High/893,P1,mean_amp,5.645014680172598e-06,2.1301327641772124e-06,23
893,High/893,P1,peak_amp,1.6556820495862335e-05,2.69105041892187e-06,23
893,High/893,P1,peak_lat,0.11956521739130431,0.004807695612514894,23
893,High/893,N1,mean_amp,-1.2821099927098507e-06,2.016173232205673e-06,23
893,High/893,N1,peak_amp,-1.6392684926267888e-05,1.9517674869167883e-06,23
893,High/893,N1,peak_lat,0.20260869565217396,0.006689540868945464,23
893,High/893,P2,mean_amp,5.033335747181186e-06,2.1106241999715404e-06,23
893,High/893,P2,peak_amp,2.1292981284453663e-05,2.7528198052747206e-06,23
893,High/893,P2,peak_lat,0.28956521739130436,0.008744919719303397,23
893,High/893,N400,mean_amp,1.9868299108029284e-06,1.2535398629178526e-06,23
893,High/893,N400,peak_amp,-1.0362513945801207e-05,1.2208565409386374e-06,23
893,High/893,N400,peak_lat,0.4491304347826088,0.012666488784730362,23
