subject_id,epoch_ix,condition,condition_label,repeat,jar,jar_group,jar_numeric
P001,10,605,Water/605,1,1.0,Khong_du,0
P001,11,605,Water/605,2,1.0,Khong_du,0
P001,12,605,Water/605,3,1.0,Khong_du,0
P001,13,605,Water/605,4,1.0,Khong_du,0
P001,14,605,Water/605,5,1.0,Khong_du,0
P001,20,893,High/893,1,4.0,Qua_nhieu,2
P001,21,893,High/893,2,4.0,Qua_nhieu,2
P001,22,893,High/893,3,4.0,Qua_nhieu,2
P001,23,893,High/893,4,4.0,Qua_nhieu,2
P001,24,893,High/893,5,4.0,Qua_nhieu,2
P002,0,453,MedLow/453,1,2.0,Khong_du,0
P002,1,453,MedLow/453,2,2.0,Khong_du,0
P002,2,453,MedLow/453,3,2.0,Khong_du,0
P002,3,453,MedLow/453,4,2.0,Khong_du,0
P002,4,453,MedLow/453,5,2.0,Khong_du,0
P002,10,258,Low/258,1,1.0,Khong_du,0
P002,11,258,Low/258,2,1.0,Khong_du,0
P002,12,258,Low/258,3,1.0,Khong_du,0
P002,13,258,Low/258,4,1.0,Khong_du,0
P002,14,258,Low/258,5,1.0,Khong_du,0
P002,15,762,MedHigh/762,1,4.0,Qua_nhieu,2
P002,16,762,MedHigh/762,2,4.0,Qua_nhieu,2
P002,17,762,MedHigh/762,3,4.0,Qua_nhieu,2
P002,18,762,MedHigh/762,4,4.0,Qua_nhieu,2
P002,19,762,MedHigh/762,5,4.0,Qua_nhieu,2
P002,20,605,Water/605,1,1.0,Khong_du,0
P002,21,605,Water/605,2,1.0,Khong_du,0
P002,22,605,Water/605,3,1.0,Khong_du,0
P002,23,605,Water/605,4,1.0,Khong_du,0
P002,24,605,Water/605,5,1.0,Khong_du,0
P003,0,189,Medium/189,1,3.0,Vua_phai,1
P003,1,189,Medium/189,2,3.0,Vua_phai,1
P003,2,189,Medium/189,3,3.0,Vua_phai,1
P003,3,189,Medium/189,4,3.0,Vua_phai,1
P003,4,189,Medium/189,5,3.0,Vua_phai,1
P003,10,453,MedLow/453,1,2.0,Khong_du,0
P003,11,453,MedLow/453,2,2.0,Khong_du,0
P003,12,453,MedLow/453,3,2.0,Khong_du,0
P003,13,453,MedLow/453,4,2.0,Khong_du,0
P003,14,453,MedLow/453,5,2.0,Khong_du,0
P003,15,893,High/893,1,4.0,Qua_nhieu,2
P003,16,893,High/893,2,4.0,Qua_nhieu,2
P003,17,893,High/893,3,4.0,Qua_nhieu,2
P003,18,893,High/893,4,4.0,Qua_nhieu,2
P003,19,893,High/893,5,4.0,Qua_nhieu,2
P004,10,189,Medium/189,1,2.0,Khong_du,0
P004,11,189,Medium/189,2,2.0,Khong_du,0
P004,12,189,Medium/189,3,2.0,Khong_du,0
P004,13,189,Medium/189,4,2.0,Khong_du,0
P004,14,189,Medium/189,5,2.0,Khong_du,0
P004,20,453,MedLow/453,1,2.0,Khong_du,0
P004,21,453,MedLow/453,2,2.0,Khong_du,0
P004,22,453,MedLow/453,3,2.0,Khong_du,0
P004,23,453,MedLow/453,4,2.0,Khong_du,0
P004,24,453,MedLow/453,5,2.0,Khong_du,0
P004,25,258,Low/258,1,1.0,Khong_du,0
P004,26,258,Low/258,2,1.0,Khong_du,0
P004,27,258,Low/258,3,1.0,Khong_du,0
P004,28,258,Low/258,4,1.0,Khong_du,0
P004,29,258,Low/258,5,1.0,Khong_du,0
P005,0,893,High/893,1,3.0,Vua_phai,1
P005,1,893,High/893,2,3.0,Vua_phai,1
P005,2,893,High/893,3,3.0,Vua_phai,1
P005,3,893,High/893,4,3.0,Vua_phai,1
P005,4,893,High/893,5,3.0,Vua_phai,1
P005,15,258,Low/258,1,1.0,Khong_du,0
P005,16,258,Low/258,2,1.0,Khong_du,0
P005,17,258,Low/258,3,1.0,Khong_du,0
P005,18,258,Low/258,4,1.0,Khong_du,0
P005,19,258,Low/258,5,1.0,Khong_du,0
P005,20,189,Medium/189,1,3.0,Vua_phai,1
P005,21,189,Medium/189,2,3.0,Vua_phai,1
P005,22,189,Medium/189,3,3.0,Vua_phai,1
P005,23,189,Medium/189,4,3.0,Vua_phai,1
P005,24,189,Medium/189,5,3.0,Vua_phai,1
P006,0,605,Water/605,1,2.0,Khong_du,0
P006,1,605,Water/605,2,2.0,Khong_du,0
P006,2,605,Water/605,3,2.0,Khong_du,0
P006,3,605,Water/605,4,2.0,Khong_du,0
P006,4,605,Water/605,5,2.0,Khong_du,0
P006,5,258,Low/258,1,3.0,Vua_phai,1
P006,6,258,Low/258,2,3.0,Vua_phai,1
P006,8,258,Low/258,4,3.0,Vua_phai,1
P006,9,258,Low/258,5,3.0,Vua_phai,1
P006,11,893,High/893,2,4.0,Qua_nhieu,2
P006,12,893,High/893,3,4.0,Qua_nhieu,2
P006,14,893,High/893,5,4.0,Qua_nhieu,2
P006,15,453,MedLow/453,1,3.0,Vua_phai,1
P006,16,453,MedLow/453,2,3.0,Vua_phai,1
P006,17,453,MedLow/453,3,3.0,Vua_phai,1
P006,18,453,MedLow/453,4,3.0,Vua_phai,1
P006,19,453,MedLow/453,5,3.0,Vua_phai,1
P006,20,762,MedHigh/762,1,4.0,Qua_nhieu,2
P006,21,762,MedHigh/762,2,4.0,Qua_nhieu,2
P006,23,762,MedHigh/762,4,4.0,Qua_nhieu,2
P006,24,762,MedHigh/762,5,4.0,Qua_nhieu,2
P007,0,258,Low/258,1,1.0,Khong_du,0
P007,1,258,Low/258,2,1.0,Khong_du,0
P007,2,258,Low/258,3,1.0,Khong_du,0
P007,3,258,Low/258,4,1.0,Khong_du,0
P007,4,258,Low/258,5,1.0,Khong_du,0
P007,5,453,MedLow/453,1,4.0,Qua_nhieu,2
P007,6,453,MedLow/453,2,4.0,Qua_nhieu,2
P007,7,453,MedLow/453,3,4.0,Qua_nhieu,2
P007,8,453,MedLow/453,4,4.0,Qua_nhieu,2
P007,9,453,MedLow/453,5,4.0,Qua_nhieu,2
P007,10,605,Water/605,1,1.0,Khong_du,0
P007,11,605,Water/605,2,1.0,Khong_du,0
P007,12,605,Water/605,3,1.0,Khong_du,0
P007,13,605,Water/605,4,1.0,Khong_du,0
P007,14,605,Water/605,5,1.0,Khong_du,0
P007,15,189,Medium/189,1,5.0,Qua_nhieu,2
P007,16,189,Medium/189,2,5.0,Qua_nhieu,2
P007,17,189,Medium/189,3,5.0,Qua_nhieu,2
P007,18,189,Medium/189,4,5.0,Qua_nhieu,2
P007,19,189,Medium/189,5,5.0,Qua_nhieu,2
P007,25,762,MedHigh/762,1,4.0,Qua_nhieu,2
P007,26,762,MedHigh/762,2,4.0,Qua_nhieu,2
P007,27,762,MedHigh/762,3,4.0,Qua_nhieu,2
P007,28,762,MedHigh/762,4,4.0,Qua_nhieu,2
P007,29,762,MedHigh/762,5,4.0,Qua_nhieu,2
P009,0,189,Medium/189,1,3.0,Vua_phai,1
