dataset,model,sampling,K,n_feat,accuracy,balanced_acc,f1_macro,rec_vua,rec_oth,oracle_bacc,oracle_thr
v3_only,XGB_gpu,none,5,962,0.6471,0.533,0.532,0.3103,0.7556,0.6027,0.1
v3_only,XGB_gpu,none,10,962,0.6639,0.5441,0.5441,0.3103,0.7778,0.6094,0.1
v3_only,XGB_gpu,none,15,962,0.7143,0.6008,0.603,0.3793,0.8222,0.6226,0.18
v3_only,XGB_gpu,none,20,962,0.7143,0.5891,0.5928,0.3448,0.8333,0.6498,0.24
v3_only,XGB_gpu,none,25,962,0.6975,0.5546,0.5571,0.2759,0.8333,0.6375,0.27
v3_only,XGB_gpu,none,30,962,0.7227,0.5713,0.576,0.2759,0.8667,0.627,0.23
v3_only,XGB_gpu,none,35,962,0.6975,0.5546,0.5571,0.2759,0.8333,0.5914,0.28
v3_only,GradBoost,none,5,962,0.7143,0.5657,0.5696,0.2759,0.8556,0.5908,0.22
v3_only,GradBoost,none,10,962,0.7227,0.5479,0.5478,0.2069,0.8889,0.5598,0.12
v3_only,GradBoost,none,15,962,0.6807,0.5201,0.5189,0.2069,0.8333,0.622,0.12
v3_only,GradBoost,none,20,962,0.7227,0.5479,0.5478,0.2069,0.8889,0.6443,0.14
v3_only,GradBoost,none,25,962,0.7479,0.5762,0.5818,0.2414,0.9111,0.677,0.2
v3_only,GradBoost,none,30,962,0.7479,0.5762,0.5818,0.2414,0.9111,0.6125,0.28
v3_only,GradBoost,none,35,962,0.7479,0.5646,0.5663,0.2069,0.9222,0.5824,0.45
v3_only,XGB_gpu,smote,5,962,0.5966,0.558,0.5361,0.4828,0.6333,0.6149,0.16
v3_only,XGB_gpu,smote,10,962,0.6218,0.563,0.5484,0.4483,0.6778,0.6046,0.84
v3_only,XGB_gpu,smote,15,962,0.6471,0.6031,0.5818,0.5172,0.6889,0.6197,0.54
v3_only,XGB_gpu,smote,20,962,0.6723,0.6314,0.6086,0.5517,0.7111,0.6364,0.58
v3_only,XGB_gpu,smote,25,962,0.6807,0.637,0.6155,0.5517,0.7222,0.637,0.48
v3_only,XGB_gpu,smote,30,962,0.6471,0.568,0.5597,0.4138,0.7222,0.6174,0.73
v3_only,XGB_gpu,smote,35,962,0.6387,0.5741,0.5612,0.4483,0.7,0.5987,0.37
v3_only,GradBoost,smote,5,962,0.6975,0.6013,0.5989,0.4138,0.7889,0.6247,0.47
v3_only,GradBoost,smote,10,962,0.6723,0.573,0.5702,0.3793,0.7667,0.6157,0.76
v3_only,GradBoost,smote,15,962,0.6975,0.578,0.5797,0.3448,0.8111,0.637,0.37
v3_only,GradBoost,smote,20,962,0.7143,0.6125,0.6125,0.4138,0.8111,0.6142,0.45
v3_only,GradBoost,smote,25,962,0.6807,0.5552,0.5563,0.3103,0.8,0.6036,0.27
v3_only,GradBoost,smote,30,962,0.6975,0.613,0.6074,0.4483,0.7778,0.6247,0.4
v3_only,GradBoost,smote,35,962,0.6891,0.5724,0.5732,0.3448,0.8,0.6264,0.31
gerp_only,XGB_gpu,none,5,455,0.6134,0.4874,0.4875,0.2414,0.7333,0.5429,0.62
gerp_only,XGB_gpu,none,10,455,0.5882,0.459,0.4599,0.2069,0.7111,0.5172,0.88
gerp_only,XGB_gpu,none,15,455,0.5882,0.459,0.4599,0.2069,0.7111,0.5184,0.74
gerp_only,XGB_gpu,none,20,455,0.6387,0.4923,0.4916,0.2069,0.7778,0.5184,0.71
gerp_only,XGB_gpu,none,25,455,0.6555,0.5151,0.5153,0.2414,0.7889,0.5184,0.75
gerp_only,XGB_gpu,none,30,455,0.6807,0.5201,0.5189,0.2069,0.8333,0.5473,0.62
gerp_only,XGB_gpu,none,35,455,0.6639,0.4856,0.4781,0.1379,0.8333,0.5406,0.75
gerp_only,GradBoost,none,5,455,0.7059,0.5134,0.5033,0.1379,0.8889,0.5307,0.45
gerp_only,GradBoost,none,10,455,0.6471,0.4395,0.4145,0.0345,0.8444,0.4944,0.78
gerp_only,GradBoost,none,15,455,0.6471,0.4395,0.4145,0.0345,0.8444,0.5,0.88
gerp_only,GradBoost,none,20,455,0.6555,0.4567,0.4382,0.069,0.8444,0.5289,0.85
gerp_only,GradBoost,none,25,455,0.6723,0.4795,0.4656,0.1034,0.8556,0.5345,0.85
gerp_only,GradBoost,none,30,455,0.7059,0.5134,0.5033,0.1379,0.8889,0.5467,0.62
gerp_only,GradBoost,none,35,455,0.6975,0.4962,0.4796,0.1034,0.8889,0.5295,0.63
gerp_only,XGB_gpu,smote,5,455,0.521,0.4847,0.4666,0.4138,0.5556,0.5479,0.89
gerp_only,XGB_gpu,smote,10,455,0.5462,0.4897,0.4781,0.3793,0.6,0.5245,0.88
gerp_only,XGB_gpu,smote,15,455,0.5378,0.4841,0.472,0.3793,0.5889,0.554,0.85
gerp_only,XGB_gpu,smote,20,455,0.5546,0.4718,0.4681,0.3103,0.6333,0.5096,0.68
gerp_only,XGB_gpu,smote,25,455,0.5966,0.5347,0.5221,0.4138,0.6556,0.5458,0.54
gerp_only,XGB_gpu,smote,30,455,0.5798,0.5002,0.494,0.3448,0.6556,0.5607,0.64
gerp_only,XGB_gpu,smote,35,455,0.5966,0.4762,0.4765,0.2414,0.7111,0.5523,0.88
gerp_only,GradBoost,smote,5,455,0.605,0.4818,0.482,0.2414,0.7222,0.5467,0.8
gerp_only,GradBoost,smote,10,455,0.6134,0.4757,0.4757,0.2069,0.7444,0.5239,0.82
gerp_only,GradBoost,smote,15,455,0.6387,0.5391,0.5359,0.3448,0.7333,0.5596,0.68
gerp_only,GradBoost,smote,20,455,0.6218,0.5046,0.504,0.2759,0.7333,0.5324,0.56
gerp_only,GradBoost,smote,25,455,0.6555,0.5268,0.5271,0.2759,0.7778,0.5577,0.11
gerp_only,GradBoost,smote,30,455,0.7059,0.5485,0.5503,0.2414,0.8556,0.559,0.66
