dataset,model,sampling,K,n_feat,accuracy,balanced_acc,f1_macro,rec_vua,rec_oth,oracle_bacc,oracle_thr
v3_only,XGB_gpu,smote,25,962,0.6807,0.637,0.6155,0.5517,0.7222,0.637,0.48
v3_only,XGB_gpu,smote,20,962,0.6723,0.6314,0.6086,0.5517,0.7111,0.6364,0.58
combined,XGB_gpu,none,30,1417,0.7311,0.6236,0.6264,0.4138,0.8333,0.6352,0.45
v3_only,GradBoost,smote,30,962,0.6975,0.613,0.6074,0.4483,0.7778,0.6247,0.4
v3_only,GradBoost,smote,20,962,0.7143,0.6125,0.6125,0.4138,0.8111,0.6142,0.45
combined,XGB_gpu,smote,35,1417,0.6387,0.6092,0.5814,0.5517,0.6667,0.6092,0.5
v3_only,XGB_gpu,smote,15,962,0.6471,0.6031,0.5818,0.5172,0.6889,0.6197,0.54
v3_only,GradBoost,smote,5,962,0.6975,0.6013,0.5989,0.4138,0.7889,0.6247,0.47
v3_only,XGB_gpu,none,15,962,0.7143,0.6008,0.603,0.3793,0.8222,0.6226,0.18
v3_only,XGB_gpu,none,20,962,0.7143,0.5891,0.5928,0.3448,0.8333,0.6498,0.24
combined,XGB_gpu,smote,30,1417,0.6303,0.5803,0.5619,0.4828,0.6778,0.6215,0.43
v3_only,GradBoost,smote,15,962,0.6975,0.578,0.5797,0.3448,0.8111,0.637,0.37
combined,XGB_gpu,none,35,1417,0.7143,0.5774,0.5817,0.3103,0.8444,0.6192,0.39
v3_only,GradBoost,none,25,962,0.7479,0.5762,0.5818,0.2414,0.9111,0.677,0.2
v3_only,GradBoost,none,30,962,0.7479,0.5762,0.5818,0.2414,0.9111,0.6125,0.28
v3_only,XGB_gpu,smote,35,962,0.6387,0.5741,0.5612,0.4483,0.7,0.5987,0.37
v3_only,GradBoost,smote,10,962,0.6723,0.573,0.5702,0.3793,0.7667,0.6157,0.76
v3_only,GradBoost,smote,35,962,0.6891,0.5724,0.5732,0.3448,0.8,0.6264,0.31
combined,GradBoost,smote,30,1417,0.6891,0.5724,0.5732,0.3448,0.8,0.6019,0.44
v3_only,XGB_gpu,none,30,962,0.7227,0.5713,0.576,0.2759,0.8667,0.627,0.23
