filter,task,model,n_samples,n_subjects,n_features,chance,accuracy,balanced_acc,f1,class_dist
none,JAR3,LogReg,168,28,962,0.3333333333333333,0.2916666666666667,0.2652962181319513,0.26691944343602647,"{'Khong_du': 83, 'Vua_phai': 44, 'Qua_nhieu': 41}"
none,JAR3,RForest,168,28,962,0.3333333333333333,0.375,0.28615793551144714,0.2660547785547786,"{'Khong_du': 83, 'Vua_phai': 44, 'Qua_nhieu': 41}"
none,VuaphaiVsOthers,LogReg,168,28,962,0.5,0.40476190476190477,0.3841642228739003,0.37266616878267367,"{'Other': 124, 'Vua_phai': 44}"
none,VuaphaiVsOthers,RForest,168,28,962,0.5,0.7083333333333334,0.5238269794721407,0.5092697466467958,"{'Other': 124, 'Vua_phai': 44}"
none,HighVsWater,LogReg,56,28,962,0.5,0.48214285714285715,0.4821428571428571,0.47798135647701706,"{'Water': 28, 'High': 28}"
none,HighVsWater,RForest,56,28,962,0.5,0.5535714285714286,0.5535714285714286,0.5534290271132376,"{'Water': 28, 'High': 28}"
weak,JAR3,LogReg,119,28,962,0.3333333333333333,0.29411764705882354,0.29091275733743976,0.2840063236940913,"{'Khong_du': 57, 'Vua_phai': 29, 'Qua_nhieu': 33}"
weak,JAR3,RForest,119,28,962,0.3333333333333333,0.35294117647058826,0.2908577609122074,0.28147750328201454,"{'Khong_du': 57, 'Vua_phai': 29, 'Qua_nhieu': 33}"
weak,VuaphaiVsOthers,LogReg,119,28,962,0.5,0.47058823529411764,0.48639846743295023,0.4440489432703003,"{'Other': 90, 'Vua_phai': 29}"
weak,VuaphaiVsOthers,RForest,119,28,962,0.5,0.6890756302521008,0.49061302681992336,0.47489564698867026,"{'Other': 90, 'Vua_phai': 29}"
weak,HighVsWater,LogReg,44,25,962,0.5,0.4772727272727273,0.47308488612836436,0.47043432757718473,"{'Water': 21, 'High': 23}"
weak,HighVsWater,RForest,44,25,962,0.5,0.6136363636363636,0.6097308488612836,0.60858189429618,"{'Water': 21, 'High': 23}"
strict,JAR3,LogReg,90,27,962,0.3333333333333333,0.34444444444444444,0.34388963862648075,0.3330126138636777,"{'Khong_du': 45, 'Vua_phai': 19, 'Qua_nhieu': 26}"
strict,JAR3,RForest,90,27,962,0.3333333333333333,0.3333333333333333,0.2641475483580747,0.257960247637667,"{'Khong_du': 45, 'Vua_phai': 19, 'Qua_nhieu': 26}"
strict,VuaphaiVsOthers,LogReg,90,27,962,0.5,0.5666666666666667,0.5518902891030393,0.5083345006303404,"{'Other': 71, 'Vua_phai': 19}"
strict,VuaphaiVsOthers,RForest,90,27,962,0.5,0.7777777777777778,0.5122312824314307,0.48216340621403914,"{'Other': 71, 'Vua_phai': 19}"
strict,HighVsWater,LogReg,29,22,962,0.5,0.6551724137931034,0.6338383838383839,0.6338383838383839,"{'Water': 11, 'High': 18}"
strict,HighVsWater,RForest,29,22,962,0.5,0.7586206896551724,0.7171717171717171,0.7260458839406208,"{'Water': 11, 'High': 18}"
snr_q1,JAR3,LogReg,126,27,962,0.3333333333333333,0.35714285714285715,0.331395152863451,0.30765296084989174,"{'Khong_du': 66, 'Vua_phai': 31, 'Qua_nhieu': 29}"
snr_q1,JAR3,RForest,126,27,962,0.3333333333333333,0.48412698412698413,0.36658576869922804,0.35091269841269845,"{'Khong_du': 66, 'Vua_phai': 31, 'Qua_nhieu': 29}"
snr_q1,VuaphaiVsOthers,LogReg,126,27,962,0.5,0.5079365079365079,0.4563667232597623,0.4464285714285714,"{'Other': 95, 'Vua_phai': 31}"
snr_q1,VuaphaiVsOthers,RForest,126,27,962,0.5,0.6904761904761905,0.47962648556876064,0.45321019250027816,"{'Other': 95, 'Vua_phai': 31}"
snr_q1,HighVsWater,LogReg,38,23,962,0.5,0.7368421052631579,0.7416666666666667,0.7361111111111112,"{'Water': 20, 'High': 18}"
snr_q1,HighVsWater,RForest,38,23,962,0.5,0.7368421052631579,0.7416666666666667,0.7361111111111112,"{'Water': 20, 'High': 18}"
