model,sampling,K,accuracy,balanced_acc,f1_macro,rec_vua,rec_oth,oracle_bacc,oracle_thr
XGB_gpu,none,1,0.5798,0.5119,0.5022,0.3793,0.6444,0.5701,0.83
XGB_gpu,none,2,0.6303,0.5218,0.5202,0.3103,0.7333,0.5416,0.11
XGB_gpu,none,3,0.5882,0.4356,0.4348,0.1379,0.7333,0.5021,0.11
XGB_gpu,none,4,0.5462,0.4079,0.4111,0.1379,0.6778,0.5299,0.11
XGB_gpu,none,5,0.6134,0.464,0.4629,0.1724,0.7556,0.5067,0.77
XGB_gpu,none,6,0.6555,0.5034,0.5024,0.2069,0.8,0.5391,0.43
XGB_gpu,none,7,0.6218,0.4695,0.468,0.1724,0.7667,0.5073,0.64
XGB_gpu,none,8,0.6387,0.4573,0.4475,0.1034,0.8111,0.5172,0.9
XGB_gpu,none,9,0.6471,0.4862,0.4833,0.1724,0.8,0.5123,0.74
XGB_gpu,none,10,0.6218,0.4579,0.4539,0.1379,0.7778,0.5123,0.65
XGB_gpu,none,11,0.6303,0.4634,0.4586,0.1379,0.7889,0.5412,0.61
XGB_gpu,none,12,0.6303,0.4517,0.443,0.1034,0.8,0.5268,0.45
XGB_gpu,none,13,0.6807,0.5201,0.5189,0.2069,0.8333,0.5287,0.15
XGB_gpu,none,14,0.6639,0.4973,0.4936,0.1724,0.8222,0.5274,0.4
XGB_gpu,none,15,0.6471,0.4745,0.4683,0.1379,0.8111,0.5061,0.82
XGB_gpu,none,16,0.6807,0.5201,0.5189,0.2069,0.8333,0.5534,0.54
XGB_gpu,none,17,0.6807,0.4967,0.488,0.1379,0.8556,0.519,0.57
XGB_gpu,none,18,0.6471,0.4862,0.4833,0.1724,0.8,0.5251,0.59
XGB_gpu,none,19,0.6218,0.4695,0.468,0.1724,0.7667,0.5157,0.43
XGB_gpu,none,20,0.6303,0.4634,0.4586,0.1379,0.7889,0.5,0.86
XGB_gpu,none,21,0.6639,0.4739,0.4611,0.1034,0.8444,0.5077,0.1
XGB_gpu,none,22,0.6639,0.4739,0.4611,0.1034,0.8444,0.5132,0.1
XGB_gpu,none,23,0.6639,0.4856,0.4781,0.1379,0.8333,0.5036,0.19
XGB_gpu,none,24,0.6303,0.4517,0.443,0.1034,0.8,0.5071,0.13
XGB_gpu,none,25,0.6134,0.4406,0.434,0.1034,0.7778,0.5006,0.75
XGB_gpu,none,26,0.6471,0.4745,0.4683,0.1379,0.8111,0.5117,0.77
XGB_gpu,none,27,0.6891,0.514,0.5095,0.1724,0.8556,0.514,0.5
XGB_gpu,none,28,0.6471,0.4628,0.452,0.1034,0.8222,0.5,0.82
XGB_gpu,none,29,0.6218,0.4228,0.4035,0.0345,0.8111,0.5015,0.11
