iso_contam,sampling,model,K,n_samples,majority,accuracy,balanced_acc,f1_macro,recall_vua_phai,recall_others,oracle_acc,oracle_bacc,oracle_thr
0.05,none,XGB_gpu,5,840,0.7381,0.5488,0.4715,0.4694,0.3091,0.6339,0.7381,0.5,0.85
0.05,none,XGB_gpu,10,840,0.7381,0.5571,0.4683,0.4679,0.2818,0.6548,0.7381,0.5038,0.9
0.05,none,XGB_gpu,15,840,0.7381,0.5821,0.4794,0.4795,0.2636,0.6952,0.7381,0.5045,0.85
0.05,none,XGB_gpu,20,840,0.7381,0.5821,0.4662,0.4666,0.2227,0.7097,0.7381,0.5059,0.86
0.05,none,XGB_gpu,25,840,0.7381,0.5917,0.4815,0.4816,0.25,0.7129,0.7381,0.5023,0.84
0.05,none,XGB_gpu,30,840,0.7381,0.5667,0.4543,0.4552,0.2182,0.6903,0.7381,0.5,0.86
0.05,none,XGB_gpu,40,840,0.7381,0.5762,0.4622,0.4627,0.2227,0.7016,0.7381,0.5,0.82
0.05,none,XGB_gpu,50,840,0.7381,0.5821,0.4603,0.4604,0.2045,0.7161,0.7381,0.5004,0.82
0.05,none,LGBM_gpu,5,840,0.7381,0.5226,0.4625,0.4575,0.3364,0.5887,0.7381,0.5,0.87
0.05,none,LGBM_gpu,10,840,0.7381,0.5583,0.4721,0.4712,0.2909,0.6532,0.7381,0.5021,0.9
0.05,none,LGBM_gpu,15,840,0.7381,0.5571,0.4595,0.4602,0.2545,0.6645,0.7381,0.5018,0.81
0.05,none,LGBM_gpu,20,840,0.7381,0.5583,0.4633,0.4636,0.2636,0.6629,0.7381,0.5003,0.84
0.05,none,LGBM_gpu,25,840,0.7381,0.5607,0.4707,0.4703,0.2818,0.6597,0.7381,0.5109,0.8
0.05,none,LGBM_gpu,30,840,0.7381,0.5702,0.4728,0.4729,0.2682,0.6774,0.7381,0.5078,0.83
0.05,none,LGBM_gpu,40,840,0.7381,0.5619,0.4613,0.462,0.25,0.6726,0.7381,0.503,0.81
0.05,none,LGBM_gpu,50,840,0.7381,0.5643,0.4732,0.4727,0.2818,0.6645,0.7381,0.5035,0.84
0.05,none,RF_100,5,840,0.7381,0.719,0.5003,0.4527,0.0409,0.9597,0.7393,0.506,0.68
0.05,none,RF_100,10,840,0.7381,0.719,0.49,0.4264,0.0091,0.971,0.7381,0.5007,0.68
0.05,none,RF_100,15,840,0.7381,0.7274,0.4927,0.4211,0.0,0.9855,0.7381,0.5,0.6
