iso_contam,sampling,model,K,n_samples,majority,accuracy,balanced_acc,f1_macro,recall_vua_phai,recall_others,oracle_acc,oracle_bacc,oracle_thr
0.1,smote,LogReg_C1,15,840,0.7381,0.5369,0.5279,0.5004,0.5091,0.5468,0.7345,0.5279,0.88
0.1,smote,LGBM_gpu,15,840,0.7381,0.606,0.5161,0.5142,0.3273,0.7048,0.7393,0.5161,0.84
0.1,none,LGBM_gpu,15,840,0.7381,0.5929,0.516,0.512,0.3545,0.6774,0.7381,0.5222,0.82
0.05,smote,RF_100,5,840,0.7381,0.644,0.5125,0.512,0.2364,0.7887,0.7405,0.5191,0.82
0.1,smote,RF_100,5,840,0.7381,0.6357,0.5098,0.5096,0.2455,0.7742,0.7369,0.5175,0.89
0.1,smote,SVM_RBF,30,840,0.7381,0.6083,0.5089,0.5082,0.3,0.7177,0.7345,0.5124,0.9
0.1,smote,RF_100,15,840,0.7381,0.6774,0.5073,0.497,0.15,0.8645,0.7381,0.5268,0.82
0.1,smote,XGB_gpu,15,840,0.7381,0.4476,0.507,0.44,0.6318,0.3823,0.7357,0.5246,0.9
0.1,smote,LGBM_gpu,5,840,0.7381,0.575,0.5068,0.5013,0.3636,0.65,0.7381,0.5252,0.88
0.1,smote,SVM_RBF,25,840,0.7381,0.6202,0.5067,0.5067,0.2682,0.7452,0.7345,0.5141,0.9
0.1,smote,SVM_RBF,20,840,0.7381,0.6,0.5047,0.5037,0.3045,0.7048,0.7321,0.5188,0.9
0.1,none,RF_100,20,840,0.7381,0.7345,0.502,0.4363,0.0136,0.9903,0.7381,0.5203,0.62
0.1,smote,XGB_gpu,50,840,0.7381,0.4726,0.5005,0.455,0.5591,0.4419,0.7357,0.5007,0.9
0.05,none,RF_100,5,840,0.7381,0.719,0.5003,0.4527,0.0409,0.9597,0.7393,0.506,0.68
0.1,none,RF_100,15,840,0.7381,0.7333,0.4982,0.4274,0.0045,0.9919,0.7393,0.5198,0.6
0.1,none,RF_100,30,840,0.7381,0.7333,0.4982,0.4274,0.0045,0.9919,0.7381,0.5081,0.63
0.1,smote,RF_100,20,840,0.7381,0.6738,0.4975,0.4834,0.1273,0.8677,0.7393,0.5049,0.71
0.05,none,RF_100,25,840,0.7381,0.7321,0.4974,0.427,0.0045,0.9903,0.7381,0.5106,0.61
0.05,none,RF_100,50,840,0.7381,0.7321,0.4974,0.427,0.0045,0.9903,0.7381,0.5076,0.53
0.1,none,RF_100,25,840,0.7381,0.7321,0.4974,0.427,0.0045,0.9903,0.7393,0.5143,0.56
