iso_contam,sampling,model,K,n_samples,majority,accuracy,balanced_acc,f1_macro,recall_vua_phai,recall_others,oracle_acc,oracle_bacc,oracle_thr
0.1,none,LogReg_C1,5,840,0.7381,0.4679,0.4518,0.4327,0.4182,0.4855,0.7417,0.5075,0.68
0.05,smote,RF_100,5,840,0.7381,0.644,0.5125,0.512,0.2364,0.7887,0.7405,0.5191,0.82
0.1,smote,SVM_RBF,15,840,0.7381,0.5857,0.4906,0.4899,0.2909,0.6903,0.7405,0.5206,0.87
0.1,smote,LogReg_C1,5,840,0.7381,0.475,0.4479,0.4336,0.3909,0.5048,0.7405,0.5066,0.7
0.05,none,RF_100,5,840,0.7381,0.719,0.5003,0.4527,0.0409,0.9597,0.7393,0.506,0.68
0.05,smote,RF_100,10,840,0.7381,0.6298,0.4779,0.4722,0.1591,0.7968,0.7393,0.512,0.85
0.05,smote,RF_100,50,840,0.7381,0.6714,0.4871,0.4673,0.1,0.8742,0.7393,0.5037,0.76
0.05,smote,SVM_RBF,25,840,0.7381,0.6048,0.4962,0.4962,0.2682,0.7242,0.7393,0.5067,0.9
0.05,smote,SVM_RBF,50,840,0.7381,0.6226,0.4907,0.4895,0.2136,0.7677,0.7393,0.5103,0.88
0.1,none,XGB_gpu,5,840,0.7381,0.5381,0.4833,0.4756,0.3682,0.5984,0.7393,0.5078,0.8
0.1,none,XGB_gpu,20,840,0.7381,0.5893,0.4857,0.4857,0.2682,0.7032,0.7393,0.5142,0.77
0.1,none,LGBM_gpu,50,840,0.7381,0.5738,0.4708,0.4712,0.2545,0.6871,0.7393,0.5119,0.77
0.1,none,RF_100,15,840,0.7381,0.7333,0.4982,0.4274,0.0045,0.9919,0.7393,0.5198,0.6
0.1,none,RF_100,25,840,0.7381,0.7321,0.4974,0.427,0.0045,0.9903,0.7393,0.5143,0.56
0.1,none,SVM_RBF,5,840,0.7381,0.5107,0.4559,0.45,0.3409,0.571,0.7393,0.5169,0.37
0.1,none,SVM_RBF,15,840,0.7381,0.5548,0.4784,0.4758,0.3182,0.6387,0.7393,0.504,0.46
0.1,smote,LGBM_gpu,15,840,0.7381,0.606,0.5161,0.5142,0.3273,0.7048,0.7393,0.5161,0.84
0.1,smote,LGBM_gpu,20,840,0.7381,0.5762,0.4871,0.4859,0.3,0.6742,0.7393,0.5115,0.83
0.1,smote,LGBM_gpu,50,840,0.7381,0.569,0.4661,0.4667,0.25,0.6823,0.7393,0.5025,0.78
0.1,smote,RF_100,20,840,0.7381,0.6738,0.4975,0.4834,0.1273,0.8677,0.7393,0.5049,0.71
