feature,mi_score,f_score,f_pval
ERP_P2_P7,0.08068733890962765,1.439754904817337,0.2315638705031854
ERP_N400_C3,0.06653451410321498,2.2101963966521194,0.13863759120263439
ERP_N400_P8,0.06159798331973354,1.058106102218639,0.3048596795889068
ERP_P2_Fp2,0.05754947320490755,4.478820224149072,0.03552375646041613
ERP_N400_O2,0.05536400732031188,4.344001854253177,0.03837860309800725
BP_beta_P7,0.05501789739126117,2.8085177742370346,0.09528944570237702
ERP_N400_Fp1,0.05484853655761146,0.6104576244830935,0.43551693385127854
BP_beta_P4,0.05114073935024077,4.691585279471217,0.031464725427185224
BP_beta_F4,0.047244298904954185,0.03383912972931361,0.8542312540402142
BP_gamma_F8,0.046151193778180666,0.04659966252236083,0.8293040697624744
ERP_N1_O2,0.04573112339075225,0.9912207397567264,0.32061790885533525
ERP_N400_F4,0.04510526796580061,3.0093917671272923,0.08428636469602077
BP_gamma_F7,0.04427635716616507,0.43407417368977236,0.5107358813882732
BP_beta_F7,0.044088317203256455,2.603459503287831,0.10816897237437018
BP_beta_P8,0.04379805077577981,0.3994995594025779,0.5280520767713563
BP_theta_T7,0.04287510259994942,2.45640238490858,0.11858886983358617
ERP_P2_P8,0.04271520234638437,1.1190746299901992,0.2913627396948801
ERP_N400_O1,0.041195003128536634,2.2073770123945273,0.13888823924767835
ERP_N1_P3,0.040376869160959394,0.5276098425362641,0.4684420054121271
ERP_P2_Fp1,0.0398642953534889,4.547921586798743,0.03414816890777373
BP_gamma_F4,0.0360172696523553,4.066197120074844,0.045054362978397704
BP_alpha_Fp2,0.03143661218926619,2.280438972430851,0.13255458771678358
BP_beta_F3,0.03130604288006156,0.6026994525514712,0.43844469587739154
BP_alpha_C3,0.028201353767273396,3.430507447004177,0.0654402154460543
BP_alpha_O1,0.027315426754007444,0.32362860744742505,0.5700578165723991
ERP_P1_P7,0.026207432261416752,0.31034565685181,0.5780758645680706
ERP_N400_C4,0.02426330802907506,0.3961411472395009,0.5297896749223349
ERP_P2_C3,0.024183452943426165,2.384702748833598,0.12407047723749398
ERP_P2_O2,0.02400004243961007,0.22154849652336417,0.6383629946685452
ERP_N400_P7,0.022696136739644324,2.0511859089668882,0.15361068412110604
BP_gamma_C4,0.02268701938457962,1.032574350533449,0.3107525718902865
BP_gamma_P7,0.02198311834759803,3.137980417220028,0.07797418413325094
