filter,n_samples,n_subjects,majority_baseline,strategy,K,model,accuracy,balanced_acc,f1
weak,119,28,0.7563025210084033,standard,3,LogReg_C0.1,0.4789915966386555,0.49195402298850577,0.4507147111375819
weak,119,28,0.7563025210084033,standard,3,LogReg_C1,0.46218487394957986,0.46915708812260537,0.43299583085169746
weak,119,28,0.7563025210084033,standard,3,LogReg_C10,0.46218487394957986,0.46915708812260537,0.43299583085169746
weak,119,28,0.7563025210084033,standard,3,SVM_RBF,0.48739495798319327,0.46245210727969344,0.4418300653594771
weak,119,28,0.7563025210084033,standard,3,RForest,0.6470588235294118,0.439463601532567,0.41447985004686033
weak,119,28,0.7563025210084033,standard,3,GradBoost,0.5882352941176471,0.4239463601532567,0.42066567312468955
weak,119,28,0.7563025210084033,standard,5,LogReg_C0.1,0.46218487394957986,0.48084291187739464,0.4373522458628842
weak,119,28,0.7563025210084033,standard,5,LogReg_C1,0.47058823529411764,0.48639846743295023,0.4440489432703003
weak,119,28,0.7563025210084033,standard,5,LogReg_C10,0.47058823529411764,0.48639846743295023,0.4440489432703003
weak,119,28,0.7563025210084033,standard,5,SVM_RBF,0.5630252100840336,0.535823754789272,0.5104430379746836
weak,119,28,0.7563025210084033,standard,5,RForest,0.6722689075630253,0.4561302681992337,0.42540547232883497
weak,119,28,0.7563025210084033,standard,5,GradBoost,0.6386554621848739,0.4806513409961686,0.4781234064252933
weak,119,28,0.7563025210084033,standard,8,LogReg_C0.1,0.4957983193277311,0.4796934865900383,0.4537943696450428
weak,119,28,0.7563025210084033,standard,8,LogReg_C1,0.48739495798319327,0.46245210727969344,0.4418300653594771
weak,119,28,0.7563025210084033,standard,8,LogReg_C10,0.4789915966386555,0.4568965517241379,0.4355875152998776
weak,119,28,0.7563025210084033,standard,8,SVM_RBF,0.5462184873949579,0.46628352490421454,0.4623493975903614
weak,119,28,0.7563025210084033,standard,8,RForest,0.6974789915966386,0.47279693486590035,0.4363157894736842
weak,119,28,0.7563025210084033,standard,8,GradBoost,0.6554621848739496,0.46839080459770116,0.4564999443021054
weak,119,28,0.7563025210084033,standard,10,LogReg_C0.1,0.4957983193277311,0.4796934865900383,0.4537943696450428
weak,119,28,0.7563025210084033,standard,10,LogReg_C1,0.4789915966386555,0.4568965517241379,0.4355875152998776
weak,119,28,0.7563025210084033,standard,10,LogReg_C10,0.4789915966386555,0.4568965517241379,0.4355875152998776
weak,119,28,0.7563025210084033,standard,10,SVM_RBF,0.5294117647058824,0.46685823754789274,0.4587394411955815
weak,119,28,0.7563025210084033,standard,10,RForest,0.7142857142857143,0.4722222222222222,0.4166666666666667
weak,119,28,0.7563025210084033,standard,10,GradBoost,0.6722689075630253,0.47950191570881223,0.4656303972366148
weak,119,28,0.7563025210084033,standard,15,LogReg_C0.1,0.5126050420168067,0.47911877394636015,0.46044402751719826
