phase,model,sampling,K,threshold_tuned,accuracy,balanced_acc,f1_macro,recall_vua_phai,recall_others,avg_threshold
1,RF_balanced,none,10,False,0.7479,0.5295,0.5091,0.1034,0.9556,0.5
1,RF_w2,none,10,False,0.7563,0.5351,0.5143,0.1034,0.9667,0.5
1,RF_w3,none,10,False,0.7395,0.5239,0.504,0.1034,0.9444,0.5
1,BalancedRF,none,10,False,0.5714,0.5764,0.5333,0.5862,0.5667,0.5
1,LogReg_C0.1,none,10,False,0.5126,0.4791,0.4604,0.4138,0.5444,0.5
1,LogReg_C1,none,10,False,0.5294,0.4902,0.4728,0.4138,0.5667,0.5
1,SVM_RBF,none,10,False,0.6134,0.5458,0.5345,0.4138,0.6778,0.5
1,GradBoost,none,10,False,0.6975,0.5195,0.5149,0.1724,0.8667,0.5
1,RF_balanced,none,15,False,0.7731,0.5579,0.5478,0.1379,0.9778,0.5
1,RF_w2,none,15,False,0.7647,0.5406,0.5196,0.1034,0.9778,0.5
1,RF_w3,none,15,False,0.7731,0.5579,0.5478,0.1379,0.9778,0.5
1,BalancedRF,none,15,False,0.5462,0.5364,0.5032,0.5172,0.5556,0.5
1,LogReg_C0.1,none,15,False,0.5294,0.5253,0.4902,0.5172,0.5333,0.5
1,LogReg_C1,none,15,False,0.5294,0.5136,0.4848,0.4828,0.5444,0.5
1,SVM_RBF,none,15,False,0.6218,0.528,0.5238,0.3448,0.7111,0.5
1,GradBoost,none,15,False,0.6723,0.5379,0.5389,0.2759,0.8,0.5
1,RF_balanced,none,20,False,0.7563,0.5351,0.5143,0.1034,0.9667,0.5
1,RF_w2,none,20,False,0.7563,0.5351,0.5143,0.1034,0.9667,0.5
1,RF_w3,none,20,False,0.7479,0.5295,0.5091,0.1034,0.9556,0.5
1,BalancedRF,none,20,False,0.5714,0.5648,0.5283,0.5517,0.5778,0.5
1,LogReg_C0.1,none,20,False,0.5798,0.5469,0.5232,0.4828,0.6111,0.5
1,LogReg_C1,none,20,False,0.563,0.5241,0.5042,0.4483,0.6,0.5
1,SVM_RBF,none,20,False,0.6303,0.5218,0.5202,0.3103,0.7333,0.5
1,GradBoost,none,20,False,0.7059,0.5485,0.5503,0.2414,0.8556,0.5
1,RF_balanced,none,30,False,0.7647,0.5289,0.4945,0.069,0.9889,0.5
