subj_remove,n_subjects,n_samples,majority,iso_contam,sampling,model,K,accuracy,balanced_acc,f1_macro,recall_vua_phai,recall_others,oracle_acc,oracle_bacc,oracle_thr
0,28,119,0.7563,0.05,none,XGB_gpu,1,0.4706,0.3579,0.3677,0.1379,0.5778,0.7311,0.5366,0.88
0,28,119,0.7563,0.05,none,XGB_gpu,2,0.5042,0.3918,0.3979,0.1724,0.6111,0.7311,0.5305,0.9
0,28,119,0.7563,0.05,none,XGB_gpu,3,0.5714,0.4596,0.4603,0.2414,0.6778,0.7395,0.5128,0.9
0,28,119,0.7563,0.05,none,XGB_gpu,4,0.6218,0.5046,0.504,0.2759,0.7333,0.7563,0.5375,0.9
0,28,119,0.7563,0.05,none,XGB_gpu,5,0.6471,0.5213,0.5213,0.2759,0.7667,0.7647,0.568,0.9
0,28,119,0.7563,0.05,none,XGB_gpu,6,0.6891,0.5724,0.5732,0.3448,0.8,0.7563,0.6209,0.86
0,28,119,0.7563,0.05,none,XGB_gpu,7,0.6639,0.5324,0.533,0.2759,0.7889,0.7647,0.6153,0.89
0,28,119,0.7563,0.05,none,XGB_gpu,8,0.6807,0.5435,0.5449,0.2759,0.8111,0.7647,0.6031,0.87
0,28,119,0.7563,0.05,none,XGB_gpu,9,0.6723,0.5262,0.5267,0.2414,0.8111,0.7563,0.5502,0.9
0,28,119,0.7563,0.05,none,XGB_gpu,10,0.6975,0.5312,0.5303,0.2069,0.8556,0.7563,0.573,0.85
0,28,119,0.7563,0.05,none,XGB_gpu,11,0.7059,0.5485,0.5503,0.2414,0.8556,0.7647,0.5835,0.76
0,28,119,0.7563,0.05,none,XGB_gpu,12,0.7311,0.5768,0.5825,0.2759,0.8778,0.7647,0.6057,0.87
0,28,119,0.7563,0.05,none,XGB_gpu,13,0.7227,0.5596,0.5625,0.2414,0.8778,0.7563,0.5946,0.88
0,28,119,0.7563,0.05,none,XGB_gpu,14,0.7059,0.5485,0.5503,0.2414,0.8556,0.7563,0.5864,0.87
0,28,119,0.7563,0.05,none,XGB_gpu,15,0.7311,0.5651,0.5688,0.2414,0.8889,0.7479,0.6103,0.52
0,28,119,0.7563,0.05,none,XGB_gpu,16,0.7311,0.5651,0.5688,0.2414,0.8889,0.7563,0.6092,0.54
0,28,119,0.7563,0.05,none,XGB_gpu,17,0.7143,0.5073,0.4891,0.1034,0.9111,0.7563,0.5713,0.71
0,28,119,0.7563,0.05,none,XGB_gpu,18,0.6891,0.5023,0.493,0.1379,0.8667,0.7479,0.5987,0.75
0,28,119,0.7563,0.05,none,XGB_gpu,19,0.7059,0.5368,0.536,0.2069,0.8667,0.7563,0.592,0.75
0,28,119,0.7563,0.05,none,XGB_gpu,20,0.7311,0.5651,0.5688,0.2414,0.8889,0.7563,0.5969,0.54
0,28,119,0.7563,0.05,none,XGB_gpu,21,0.7227,0.5479,0.5478,0.2069,0.8889,0.7563,0.6071,0.66
0,28,119,0.7563,0.05,none,XGB_gpu,22,0.7227,0.5362,0.5317,0.1724,0.9,0.7647,0.6215,0.71
0,28,119,0.7563,0.05,none,XGB_gpu,23,0.7395,0.5473,0.5433,0.1724,0.9222,0.7563,0.6042,0.67
0,28,119,0.7563,0.05,none,XGB_gpu,24,0.7227,0.5479,0.5478,0.2069,0.8889,0.7647,0.5837,0.72
0,28,119,0.7563,0.05,none,XGB_gpu,25,0.7143,0.5307,0.526,0.1724,0.8889,0.7647,0.6303,0.69
0,28,119,0.7563,0.05,none,XGB_gpu,26,0.7143,0.5307,0.526,0.1724,0.8889,0.7563,0.6358,0.73
0,28,119,0.7563,0.05,none,XGB_gpu,27,0.7143,0.5307,0.526,0.1724,0.8889,0.7563,0.6408,0.73
0,28,119,0.7563,0.05,none,XGB_gpu,28,0.7227,0.5479,0.5478,0.2069,0.8889,0.7563,0.6253,0.75
0,28,119,0.7563,0.05,none,XGB_gpu,29,0.7059,0.5251,0.5204,0.1724,0.8778,0.7647,0.6598,0.81
0,28,119,0.7563,0.05,none,XGB_gpu,30,0.7311,0.5534,0.5539,0.2069,0.9,0.7479,0.6759,0.44
0,28,119,0.7563,0.05,none,LGBM_gpu,1,0.4622,0.4925,0.4413,0.5517,0.4333,0.7563,0.5667,0.86
0,28,119,0.7563,0.05,none,LGBM_gpu,2,0.4706,0.4046,0.4032,0.2759,0.5333,0.7563,0.56,0.84
0,28,119,0.7563,0.05,none,LGBM_gpu,3,0.4622,0.3757,0.3814,0.2069,0.5444,0.7563,0.5661,0.9
0,28,119,0.7563,0.05,none,LGBM_gpu,4,0.5882,0.5291,0.5159,0.4138,0.6444,0.7647,0.5649,0.9
0,28,119,0.7563,0.05,none,LGBM_gpu,5,0.6303,0.5335,0.5298,0.3448,0.7222,0.7647,0.563,0.85
0,28,119,0.7563,0.05,none,LGBM_gpu,6,0.6723,0.5847,0.579,0.4138,0.7556,0.7563,0.5987,0.89
0,28,119,0.7563,0.05,none,LGBM_gpu,7,0.605,0.4935,0.4927,0.2759,0.7111,0.7647,0.5787,0.9
0,28,119,0.7563,0.05,none,LGBM_gpu,8,0.6555,0.5736,0.5661,0.4138,0.7333,0.7563,0.608,0.83
0,28,119,0.7563,0.05,none,LGBM_gpu,9,0.605,0.4818,0.482,0.2414,0.7222,0.7563,0.5592,0.76
0,28,119,0.7563,0.05,none,LGBM_gpu,10,0.6218,0.4929,0.4929,0.2414,0.7444,0.7563,0.5559,0.9
0,28,119,0.7563,0.05,none,LGBM_gpu,11,0.6891,0.5724,0.5732,0.3448,0.8,0.7647,0.578,0.88
0,28,119,0.7563,0.05,none,LGBM_gpu,12,0.6471,0.5446,0.542,0.3448,0.7444,0.7563,0.592,0.81
0,28,119,0.7563,0.05,none,LGBM_gpu,13,0.6723,0.573,0.5702,0.3793,0.7667,0.7479,0.6203,0.81
0,28,119,0.7563,0.05,none,LGBM_gpu,14,0.6723,0.5613,0.5606,0.3448,0.7778,0.7563,0.6092,0.86
0,28,119,0.7563,0.05,none,LGBM_gpu,15,0.6555,0.5385,0.538,0.3103,0.7667,0.7479,0.637,0.85
