subj_remove,n_subjects,n_samples,majority,iso_contam,sampling,model,K,accuracy,balanced_acc,f1_macro,recall_vua_phai,recall_others,oracle_acc,oracle_bacc,oracle_thr
2,26,112,0.7679,0.05,smote,XGB_gpu,2,0.6964,0.7218,0.6569,0.7692,0.6744,0.7411,0.7276,0.82
0,28,119,0.7563,0.15,none,LogReg_C1,1,0.6555,0.7021,0.6286,0.7931,0.6111,0.7563,0.7021,0.74
0,28,119,0.7563,0.15,none,LogReg_C01,1,0.6555,0.7021,0.6286,0.7931,0.6111,0.7563,0.7021,0.69
2,26,112,0.7679,0.05,none,LGBM_gpu,27,0.7857,0.6995,0.6995,0.5385,0.8605,0.8036,0.6995,0.57
2,26,112,0.7679,0.05,smote,XGB_gpu,3,0.6964,0.695,0.6468,0.6923,0.6977,0.75,0.7066,0.87
3,25,108,0.7685,0.1,none,BalancedRF,28,0.6759,0.6913,0.6328,0.72,0.6627,0.8056,0.6913,0.75
3,25,108,0.7685,0.1,smote,BalancedRF,28,0.6759,0.6913,0.6328,0.72,0.6627,0.8056,0.6913,0.75
2,26,112,0.7679,0.05,smote,XGB_gpu,4,0.7232,0.6856,0.6577,0.6154,0.7558,0.7411,0.6914,0.85
0,28,119,0.7563,0.15,smote,LogReg_C1,1,0.6639,0.6843,0.6279,0.7241,0.6444,0.7563,0.6843,0.8
0,28,119,0.7563,0.15,smote,LogReg_C01,1,0.6639,0.6843,0.6279,0.7241,0.6444,0.7563,0.6843,0.75
2,26,112,0.7679,0.05,none,LGBM_gpu,29,0.7679,0.6744,0.6744,0.5,0.8488,0.8214,0.7093,0.55
2,26,112,0.7679,0.05,none,LGBM_gpu,28,0.7589,0.6686,0.6663,0.5,0.8372,0.7946,0.6954,0.62
2,26,112,0.7679,0.05,smote,XGB_gpu,28,0.7589,0.6686,0.6663,0.5,0.8372,0.7946,0.6802,0.65
0,28,119,0.7563,0.15,none,SVM_RBF,2,0.6723,0.6665,0.6256,0.6552,0.6778,0.7647,0.691,0.57
0,28,119,0.7563,0.1,none,LGBM_gpu,14,0.7059,0.6653,0.6428,0.5862,0.7444,0.7563,0.6826,0.71
3,25,108,0.7685,0.1,none,BalancedRF,21,0.6296,0.6612,0.594,0.72,0.6024,0.7963,0.6631,0.67
3,25,108,0.7685,0.1,smote,BalancedRF,21,0.6296,0.6612,0.594,0.72,0.6024,0.7963,0.6631,0.67
0,28,119,0.7563,0.15,smote,SVM_RBF,3,0.6975,0.6598,0.6357,0.5862,0.7333,0.7815,0.7027,0.78
2,26,112,0.7679,0.15,smote,SVM_RBF,5,0.7232,0.6588,0.6433,0.5385,0.7791,0.7857,0.6606,0.72
0,28,119,0.7563,0.1,smote,LGBM_gpu,11,0.7311,0.6586,0.651,0.5172,0.8,0.7479,0.6586,0.56
0,28,119,0.7563,0.05,none,LGBM_gpu,20,0.7647,0.6575,0.6647,0.4483,0.8667,0.7731,0.6692,0.55
2,26,112,0.7679,0.05,smote,XGB_gpu,30,0.7411,0.657,0.6506,0.5,0.814,0.7768,0.6762,0.71
2,26,112,0.7679,0.05,smote,LGBM_gpu,16,0.7589,0.6552,0.6573,0.4615,0.8488,0.7679,0.661,0.51
0,28,119,0.7563,0.15,smote,SVM_RBF,1,0.6723,0.6548,0.6204,0.6207,0.6889,0.7563,0.6983,0.83
0,28,119,0.7563,0.05,smote,XGB_gpu,29,0.7059,0.6536,0.6365,0.5517,0.7556,0.7647,0.6598,0.64
0,28,119,0.7563,0.1,none,LGBM_gpu,13,0.7059,0.6536,0.6365,0.5517,0.7556,0.7647,0.6536,0.76
0,28,119,0.7563,0.1,smote,RF_100,16,0.7563,0.6519,0.6571,0.4483,0.8556,0.8151,0.6741,0.57
0,28,119,0.7563,0.15,smote,LogReg_C01,4,0.6303,0.6504,0.5952,0.6897,0.6111,0.7731,0.6504,0.68
2,26,112,0.7679,0.05,none,LGBM_gpu,26,0.75,0.6494,0.6494,0.4615,0.8372,0.7768,0.6552,0.76
2,26,112,0.7679,0.05,smote,LGBM_gpu,30,0.75,0.6494,0.6494,0.4615,0.8372,0.7857,0.6628,0.66
