dv,comp,measure,F,p,np2,n_subjects,method,channel,sig
P1_mean_amp,P1,mean_amp,1.0731616896267613,0.378093929860852,0.03235863023205707,28,rmANOVA,Fp1,ns
P1_peak_amp,P1,peak_amp,1.3786267787717164,0.23618140997982645,0.03904516263050178,28,rmANOVA,Fp1,ns
N1_mean_amp,N1,mean_amp,0.8408099495087966,0.5230149541746905,0.025452504616592184,28,rmANOVA,Fp1,ns
N1_peak_amp,N1,peak_amp,0.7579103329322662,0.5817130424079253,0.020964931875583605,28,rmANOVA,Fp1,ns
P2_mean_amp,P2,mean_amp,0.46553047697344196,0.8013623931650731,0.01434584182231359,28,rmANOVA,Fp1,ns
P2_peak_amp,P2,peak_amp,0.5311376926535155,0.7523887457355702,0.015425373794836121,28,rmANOVA,Fp1,ns
N400_mean_amp,N400,mean_amp,0.9164145338993491,0.4724602163898739,0.026879275531214723,28,rmANOVA,Fp1,ns
N400_peak_amp,N400,peak_amp,0.7821008315052345,0.564268117391282,0.019312292668516612,28,rmANOVA,Fp1,ns
P1_mean_amp,P1,mean_amp,1.482914826823708,0.19942994991773416,0.04185712388003982,28,rmANOVA,Fp2,ns
P1_peak_amp,P1,peak_amp,1.2626302348737628,0.2837459401152024,0.03381138409877614,28,rmANOVA,Fp2,ns
N1_mean_amp,N1,mean_amp,1.1031411949557461,0.3617309668167124,0.03179276345340016,28,rmANOVA,Fp2,ns
N1_peak_amp,N1,peak_amp,1.0974317364102684,0.3648051155104382,0.03161098169515473,28,rmANOVA,Fp2,ns
P2_mean_amp,P2,mean_amp,1.0916092977427314,0.3679604881491414,0.031424930086693,28,rmANOVA,Fp2,ns
P2_peak_amp,P2,peak_amp,1.0907074832582353,0.36845105368771053,0.03137973693762475,28,rmANOVA,Fp2,ns
N400_mean_amp,N400,mean_amp,0.9925115879524151,0.4248196406574668,0.028653454926741255,28,rmANOVA,Fp2,ns
N400_peak_amp,N400,peak_amp,0.7585420062519018,0.5812544841687439,0.02156357691866883,28,rmANOVA,Fp2,ns
P1_mean_amp,P1,mean_amp,0.29639095062818077,0.9142012478797621,0.008569386029101206,28,rmANOVA,F3,ns
P1_peak_amp,P1,peak_amp,0.23870150193108597,0.9447430381013291,0.0072055916453200065,28,rmANOVA,F3,ns
N1_mean_amp,N1,mean_amp,0.34032026714125624,0.8876811128594881,0.009951001813530055,28,rmANOVA,F3,ns
N1_peak_amp,N1,peak_amp,0.48374582548467127,0.7879245640037235,0.013183383983240208,28,rmANOVA,F3,ns
P2_mean_amp,P2,mean_amp,0.31649956127947926,0.9023736430736087,0.008651249833745427,28,rmANOVA,F3,ns
P2_peak_amp,P2,peak_amp,0.40994944282786705,0.8412282637162081,0.012255663189457965,28,rmANOVA,F3,ns
N400_mean_amp,N400,mean_amp,0.4099080837913552,0.8412571507568103,0.010548362799399106,28,rmANOVA,F3,ns
N400_peak_amp,N400,peak_amp,0.4476634733164852,0.8143840808606522,0.009739888274813861,28,rmANOVA,F3,ns
P1_mean_amp,P1,mean_amp,1.3336833145550446,0.2537396645858268,0.03782139432072031,28,rmANOVA,F4,ns
P1_peak_amp,P1,peak_amp,1.4841471694773511,0.19902748117623567,0.04211305325789616,28,rmANOVA,F4,ns
N1_mean_amp,N1,mean_amp,1.741981726303605,0.12918811111718767,0.04654255621731273,28,rmANOVA,F4,ns
N1_peak_amp,N1,peak_amp,1.321786359545167,0.25856913631935424,0.03663720575239611,28,rmANOVA,F4,ns
P2_mean_amp,P2,mean_amp,1.9333471272611822,0.09278330542107593,0.05106099868555394,28,rmANOVA,F4,ns
P2_peak_amp,P2,peak_amp,2.029894909242048,0.07830482658737734,0.05218528884084261,28,rmANOVA,F4,ns
N400_mean_amp,N400,mean_amp,1.6492059426653016,0.1512317877267907,0.04266077695321171,28,rmANOVA,F4,ns
N400_peak_amp,N400,peak_amp,1.2803029766090201,0.2760190283642015,0.03427531512919886,28,rmANOVA,F4,ns
P1_mean_amp,P1,mean_amp,0.950991462896644,0.45039493347478055,0.028827114683523395,28,rmANOVA,C3,ns
P1_peak_amp,P1,peak_amp,2.0595845589965167,0.07430075488175417,0.06104563538183484,28,rmANOVA,C3,ns
N1_mean_amp,N1,mean_amp,1.083681018702507,0.37229021280012115,0.031027228991080617,28,rmANOVA,C3,ns
N1_peak_amp,N1,peak_amp,0.6124518802024336,0.6905073712515184,0.017269687214642452,28,rmANOVA,C3,ns
P2_mean_amp,P2,mean_amp,1.1880692427553374,0.31832705272966283,0.034281554742350576,28,rmANOVA,C3,ns
P2_peak_amp,P2,peak_amp,0.8603121041753223,0.5096834793369085,0.02595272481158089,28,rmANOVA,C3,ns
N400_mean_amp,N400,mean_amp,0.8842546240366651,0.49358857669120826,0.023273087499369252,28,rmANOVA,C3,ns
N400_peak_amp,N400,peak_amp,0.21486174377779557,0.9556943155617988,0.005964892858917272,28,rmANOVA,C3,ns
P1_mean_amp,P1,mean_amp,0.890863612142196,0.4892000549316652,0.0245252365302754,28,rmANOVA,C4,ns
P1_peak_amp,P1,peak_amp,0.8499259404419289,0.5167591000754317,0.023651115497501953,28,rmANOVA,C4,ns
N1_mean_amp,N1,mean_amp,1.13337960091793,0.3457791972497409,0.02870269788670747,28,rmANOVA,C4,ns
N1_peak_amp,N1,peak_amp,0.9503222963721588,0.45081542001874153,0.023758076177848753,28,rmANOVA,C4,ns
P2_mean_amp,P2,mean_amp,1.6541153031790048,0.14998427605131212,0.041193310221123665,28,rmANOVA,C4,ns
P2_peak_amp,P2,peak_amp,2.303765770028492,0.04801588513164342,0.05780863405853147,28,rmANOVA,C4,*
N400_mean_amp,N400,mean_amp,1.3987711823547704,0.2286562652617547,0.03433288624985372,28,rmANOVA,C4,ns
N400_peak_amp,N400,peak_amp,1.1950179378573866,0.3149667976300212,0.03045528167215948,28,rmANOVA,C4,ns
P1_mean_amp,P1,mean_amp,2.173098352368618,0.06071494613218076,0.06123696401580978,28,rmANOVA,P3,ns
P1_peak_amp,P1,peak_amp,2.3214611335030826,0.046506376026275546,0.06582240469947621,28,rmANOVA,P3,*
N1_mean_amp,N1,mean_amp,2.024279781901507,0.07908474842803037,0.05556112026487086,28,rmANOVA,P3,ns
N1_peak_amp,N1,peak_amp,1.8288382302205108,0.11127147601567566,0.048652396072060865,28,rmANOVA,P3,ns
P2_mean_amp,P2,mean_amp,1.0935024788923147,0.3669322506185896,0.03191087737650611,28,rmANOVA,P3,ns
P2_peak_amp,P2,peak_amp,1.2084550009260955,0.3085497669805343,0.03432738216472591,28,rmANOVA,P3,ns
N400_mean_amp,N400,mean_amp,1.4783977817801393,0.20091130914630542,0.044381657882007076,28,rmANOVA,P3,ns
N400_peak_amp,N400,peak_amp,0.7615762898331424,0.5790539743257275,0.022397986425138107,28,rmANOVA,P3,ns
P1_mean_amp,P1,mean_amp,0.6344999850959904,0.6737305948681858,0.017606457388127106,28,rmANOVA,P4,ns
P1_peak_amp,P1,peak_amp,0.43790980180214184,0.8214163741251937,0.01196250053578624,28,rmANOVA,P4,ns
N1_mean_amp,N1,mean_amp,0.6111484822391468,0.6915004514415375,0.017130835769933017,28,rmANOVA,P4,ns
N1_peak_amp,N1,peak_amp,0.6654223761412202,0.6503124808718135,0.01916141558023126,28,rmANOVA,P4,ns
P2_mean_amp,P2,mean_amp,0.5630040388449729,0.7281978656474423,0.01603694527125766,28,rmANOVA,P4,ns
P2_peak_amp,P2,peak_amp,0.9136253039345447,0.47426987892212247,0.025164735317892064,28,rmANOVA,P4,ns
N400_mean_amp,N400,mean_amp,0.7821392610938307,0.5642405990317325,0.02264112740627737,28,rmANOVA,P4,ns
N400_peak_amp,N400,peak_amp,0.49378681901669264,0.780457087264852,0.014675823321310982,28,rmANOVA,P4,ns
P1_mean_amp,P1,mean_amp,1.5382232188208769,0.18205993600281067,0.04432183855044648,28,rmANOVA,O1,ns
P1_peak_amp,P1,peak_amp,0.6067232481090922,0.6948728505182756,0.01875299364235641,28,rmANOVA,O1,ns
N1_mean_amp,N1,mean_amp,1.6158215000233878,0.15996807330799195,0.04898189327956679,28,rmANOVA,O1,ns
N1_peak_amp,N1,peak_amp,1.3558476820199001,0.24494624845528798,0.039959407048589454,28,rmANOVA,O1,ns
P2_mean_amp,P2,mean_amp,1.5732331887467796,0.17177441519566194,0.047798753176079685,28,rmANOVA,O1,ns
P2_peak_amp,P2,peak_amp,1.3760234786431425,0.2371692820268453,0.04255828656129218,28,rmANOVA,O1,ns
N400_mean_amp,N400,mean_amp,1.0998346761597322,0.3635088861813169,0.031986775907693235,28,rmANOVA,O1,ns
N400_peak_amp,N400,peak_amp,1.0343580949896383,0.4000841509003746,0.0269099641282855,28,rmANOVA,O1,ns
P1_mean_amp,P1,mean_amp,0.31243402610871307,0.9048092628667375,0.008950922412568276,28,rmANOVA,O2,ns
P1_peak_amp,P1,peak_amp,0.3806851816646475,0.8613151617913553,0.010490836411442127,28,rmANOVA,O2,ns
N1_mean_amp,N1,mean_amp,0.4636082639252516,0.8027713734240465,0.012820595613690486,28,rmANOVA,O2,ns
N1_peak_amp,N1,peak_amp,0.50902516142761,0.7690551441217461,0.014505037498410365,28,rmANOVA,O2,ns
