dv,comp,measure,F,p,n_total,channel,sig
P1_mean_amp,P1,mean_amp,2.927313963454179,0.05632727875143847,168,Fp1,ns
P1_peak_amp,P1,peak_amp,2.9064375711936745,0.057474561043622696,168,Fp1,ns
N1_mean_amp,N1,mean_amp,2.3773646407912454,0.09596659901081513,168,Fp1,ns
N1_peak_amp,N1,peak_amp,2.637882833088614,0.07452739608081879,168,Fp1,ns
P2_mean_amp,P2,mean_amp,0.7151539562975967,0.4906265231589648,168,Fp1,ns
P2_peak_amp,P2,peak_amp,0.5328335801937015,0.5879459384383581,168,Fp1,ns
N400_mean_amp,N400,mean_amp,0.7807076090950467,0.45976638216912014,168,Fp1,ns
N400_peak_amp,N400,peak_amp,0.8050722003733491,0.4488038075417229,168,Fp1,ns
P1_mean_amp,P1,mean_amp,1.9652009701208146,0.14339388390582208,168,Fp2,ns
P1_peak_amp,P1,peak_amp,1.9277094571869648,0.14874339299920813,168,Fp2,ns
N1_mean_amp,N1,mean_amp,1.2317047007105548,0.29446336565834563,168,Fp2,ns
N1_peak_amp,N1,peak_amp,0.9420956379727072,0.39189662531289926,168,Fp2,ns
P2_mean_amp,P2,mean_amp,0.930723421189433,0.3963282096073476,168,Fp2,ns
P2_peak_amp,P2,peak_amp,1.433577687922569,0.24140851476499622,168,Fp2,ns
N400_mean_amp,N400,mean_amp,0.9232231266320842,0.3992786872865932,168,Fp2,ns
N400_peak_amp,N400,peak_amp,0.3292138007680706,0.7199606767731104,168,Fp2,ns
P1_mean_amp,P1,mean_amp,0.22230026347905246,0.8009143223705366,168,F3,ns
P1_peak_amp,P1,peak_amp,0.2505049019368111,0.7787031660194037,168,F3,ns
N1_mean_amp,N1,mean_amp,0.6026311957735095,0.5485697405519546,168,F3,ns
N1_peak_amp,N1,peak_amp,0.14581826900455863,0.8644260189775395,168,F3,ns
P2_mean_amp,P2,mean_amp,1.714843564808181,0.18318395848175673,168,F3,ns
P2_peak_amp,P2,peak_amp,1.4197844665208554,0.2447040029841758,168,F3,ns
N400_mean_amp,N400,mean_amp,0.45066177702992666,0.637988286069231,168,F3,ns
N400_peak_amp,N400,peak_amp,0.0396885575374694,0.9610978885712929,168,F3,ns
P1_mean_amp,P1,mean_amp,2.1795458333725013,0.11633833633370502,168,F4,ns
P1_peak_amp,P1,peak_amp,1.7745061844322187,0.17278773112498438,168,F4,ns
N1_mean_amp,N1,mean_amp,1.6913306057260322,0.18745302354506443,168,F4,ns
N1_peak_amp,N1,peak_amp,1.825198834916794,0.16442483241796033,168,F4,ns
P2_mean_amp,P2,mean_amp,2.7300789110291124,0.06816120914151493,168,F4,ns
P2_peak_amp,P2,peak_amp,2.7977668644700593,0.06384012070858959,168,F4,ns
N400_mean_amp,N400,mean_amp,2.9527093750606124,0.0549628439957391,168,F4,ns
N400_peak_amp,N400,peak_amp,2.341715922161475,0.09935086760289004,168,F4,ns
P1_mean_amp,P1,mean_amp,2.3754009927568718,0.09614994244636664,168,C3,ns
P1_peak_amp,P1,peak_amp,3.394926425738496,0.035903022687915356,168,C3,*
N1_mean_amp,N1,mean_amp,1.129072572475661,0.32581802530210346,168,C3,ns
N1_peak_amp,N1,peak_amp,0.49178437286515386,0.6124276885586162,168,C3,ns
P2_mean_amp,P2,mean_amp,1.8199164380644328,0.16527681626266535,168,C3,ns
P2_peak_amp,P2,peak_amp,0.7713028800444172,0.4640700854131027,168,C3,ns
N400_mean_amp,N400,mean_amp,2.274495947778777,0.10606458973703638,168,C3,ns
N400_peak_amp,N400,peak_amp,1.446225354906412,0.23842621013996462,168,C3,ns
P1_mean_amp,P1,mean_amp,1.4991545917589761,0.2263446620447381,168,C4,ns
P1_peak_amp,P1,peak_amp,1.0577532641611187,0.34957756469131246,168,C4,ns
N1_mean_amp,N1,mean_amp,1.4459725861473285,0.23848544600911276,168,C4,ns
N1_peak_amp,N1,peak_amp,1.5841883304570668,0.20821787659608343,168,C4,ns
P2_mean_amp,P2,mean_amp,2.671974990446707,0.07210602067439416,168,C4,ns
P2_peak_amp,P2,peak_amp,5.143113181544458,0.006811340680258347,168,C4,**
N400_mean_amp,N400,mean_amp,2.7978432816276637,0.0638354024186751,168,C4,ns
N400_peak_amp,N400,peak_amp,1.4488403502098,0.23781426429239316,168,C4,ns
P1_mean_amp,P1,mean_amp,2.1993028590380015,0.1141206679066652,168,P3,ns
P1_peak_amp,P1,peak_amp,0.8749350748916311,0.41881409071953146,168,P3,ns
N1_mean_amp,N1,mean_amp,2.8307569766219802,0.06183564489076658,168,P3,ns
N1_peak_amp,N1,peak_amp,2.199480881160123,0.11410088116506291,168,P3,ns
P2_mean_amp,P2,mean_amp,0.895143549464982,0.41052348569567865,168,P3,ns
P2_peak_amp,P2,peak_amp,0.39788528455524275,0.6723818387153091,168,P3,ns
N400_mean_amp,N400,mean_amp,1.2561353915366893,0.28746088512670026,168,P3,ns
N400_peak_amp,N400,peak_amp,2.007193595237315,0.1376328814439507,168,P3,ns
P1_mean_amp,P1,mean_amp,2.5815422328738205,0.07871075664323506,168,P4,ns
P1_peak_amp,P1,peak_amp,2.026532380992374,0.13505911412821806,168,P4,ns
N1_mean_amp,N1,mean_amp,2.0102717100870087,0.1372199223550696,168,P4,ns
N1_peak_amp,N1,peak_amp,1.3537726431879067,0.2611173381935027,168,P4,ns
P2_mean_amp,P2,mean_amp,2.0110458700621225,0.1371162587643667,168,P4,ns
P2_peak_amp,P2,peak_amp,3.1562524581586153,0.04516765114586305,168,P4,*
N400_mean_amp,N400,mean_amp,3.2979354482182868,0.03941047380789885,168,P4,*
N400_peak_amp,N400,peak_amp,2.2257950876557944,0.11121397879695022,168,P4,ns
P1_mean_amp,P1,mean_amp,1.2670149308194887,0.2843969922663032,168,O1,ns
P1_peak_amp,P1,peak_amp,1.4994808780621023,0.22627213872018398,168,O1,ns
N1_mean_amp,N1,mean_amp,0.2281074760946701,0.7962893098889812,168,O1,ns
N1_peak_amp,N1,peak_amp,0.11924631096882808,0.8876655728923885,168,O1,ns
P2_mean_amp,P2,mean_amp,1.355136584580678,0.26076717711616165,168,O1,ns
P2_peak_amp,P2,peak_amp,0.3672073876427581,0.6932305960226105,168,O1,ns
N400_mean_amp,N400,mean_amp,1.5845834516447026,0.20813717116834887,168,O1,ns
N400_peak_amp,N400,peak_amp,1.4715225674657446,0.23257255107950892,168,O1,ns
P1_mean_amp,P1,mean_amp,0.06637514227160123,0.9358047210595938,168,O2,ns
P1_peak_amp,P1,peak_amp,0.03270654158080244,0.9678288064805589,168,O2,ns
N1_mean_amp,N1,mean_amp,0.04361677348021171,0.9573317918131503,168,O2,ns
N1_peak_amp,N1,peak_amp,0.015578026268203466,0.9845441314050121,168,O2,ns
P2_mean_amp,P2,mean_amp,0.3225612472438881,0.7247472499061187,168,O2,ns
P2_peak_amp,P2,peak_amp,0.578870160647585,0.5616655245942317,168,O2,ns
N400_mean_amp,N400,mean_amp,0.7407110278262008,0.4783533330598305,168,O2,ns
N400_peak_amp,N400,peak_amp,0.43694523800073837,0.6467521008655054,168,O2,ns
P1_mean_amp,P1,mean_amp,3.092914319240319,0.04800993533913377,168,F7,*
P1_peak_amp,P1,peak_amp,1.958541705562212,0.14432964150848518,168,F7,ns
N1_mean_amp,N1,mean_amp,1.8843388654412572,0.15518436184944434,168,F7,ns
N1_peak_amp,N1,peak_amp,1.9945544964945856,0.13934176854124145,168,F7,ns
P2_mean_amp,P2,mean_amp,2.327602125589744,0.10072389747665231,168,F7,ns
P2_peak_amp,P2,peak_amp,3.448571659301301,0.03410051963536829,168,F7,*
N400_mean_amp,N400,mean_amp,4.112601654081271,0.01807221233692841,168,F7,*
N400_peak_amp,N400,peak_amp,4.590461414789632,0.011478283757848748,168,F7,*
P1_mean_amp,P1,mean_amp,1.7994489952346706,0.16862037016296244,168,F8,ns
P1_peak_amp,P1,peak_amp,1.8256905477336491,0.16434575184877898,168,F8,ns
N1_mean_amp,N1,mean_amp,1.2112384141028636,0.3004623004204891,168,F8,ns
N1_peak_amp,N1,peak_amp,0.39374129453265194,0.6751606041920251,168,F8,ns
P2_mean_amp,P2,mean_amp,1.2147510139012492,0.29942398752485355,168,F8,ns
P2_peak_amp,P2,peak_amp,2.3106830576495727,0.10239517050653293,168,F8,ns
N400_mean_amp,N400,mean_amp,2.302944349379869,0.10316893163167738,168,F8,ns
N400_peak_amp,N400,peak_amp,1.4661960425219183,0.2337928747065239,168,F8,ns
P1_mean_amp,P1,mean_amp,0.07939062211817234,0.9237143063710218,168,T7,ns
P1_peak_amp,P1,peak_amp,0.2077825509022966,0.8125959078615395,168,T7,ns
N1_mean_amp,N1,mean_amp,0.12806918084522487,0.8798798813737471,168,T7,ns
N1_peak_amp,N1,peak_amp,0.21730403482790664,0.8049152003933443,168,T7,ns
P2_mean_amp,P2,mean_amp,0.04368217006351608,0.957269220736255,168,T7,ns
P2_peak_amp,P2,peak_amp,0.008837497520158196,0.9912019075214616,168,T7,ns
N400_mean_amp,N400,mean_amp,0.18018323882251583,0.8352812694485496,168,T7,ns
N400_peak_amp,N400,peak_amp,1.0330070533980293,0.35822527059212045,168,T7,ns
P1_mean_amp,P1,mean_amp,1.251221277142591,0.2888557290575526,168,T8,ns
P1_peak_amp,P1,peak_amp,1.4837466237200945,0.2297962983166898,168,T8,ns
N1_mean_amp,N1,mean_amp,0.6636524592482422,0.5163360901840423,168,T8,ns
N1_peak_amp,N1,peak_amp,0.040603346576103365,0.9602195160133323,168,T8,ns
P2_mean_amp,P2,mean_amp,1.105699949353756,0.33341878545806247,168,T8,ns
P2_peak_amp,P2,peak_amp,1.6986208656793664,0.18611872513030236,168,T8,ns
N400_mean_amp,N400,mean_amp,2.2254223309080543,0.1112543529069903,168,T8,ns
N400_peak_amp,N400,peak_amp,0.6339447163915848,0.5317821052137421,168,T8,ns
P1_mean_amp,P1,mean_amp,1.7334652459988356,0.17987288538064755,168,P7,ns
P1_peak_amp,P1,peak_amp,3.196758595386021,0.04343983156892407,168,P7,*
N1_mean_amp,N1,mean_amp,1.8652262897487315,0.1581116993904598,168,P7,ns
N1_peak_amp,N1,peak_amp,1.039478252498217,0.35594317958283783,168,P7,ns
P2_mean_amp,P2,mean_amp,1.3991019569945,0.24973102297493063,168,P7,ns
P2_peak_amp,P2,peak_amp,1.384132258808874,0.2534346014572692,168,P7,ns
N400_mean_amp,N400,mean_amp,0.8917892251814594,0.411888024071121,168,P7,ns
N400_peak_amp,N400,peak_amp,2.2549287844896,0.10810388044344109,168,P7,ns
P1_mean_amp,P1,mean_amp,1.9221663077512974,0.14955128672549772,168,P8,ns
P1_peak_amp,P1,peak_amp,2.043882797894429,0.13279145153031385,168,P8,ns
