window,summary_feature_index,node,source_feature,statistic,raw_icc1,raw_icck,raw_effective_repeats,raw_n_conditions,subject_centered_icc1,subject_centered_icck,subject_centered_effective_repeats,subject_centered_n_conditions
0:2,0,inner_brow_R,value,mean,0.3946308979862061,0.7652264637388093,5.0,140,0.10520344078275173,0.3702224862705366,5.0,140
0:2,1,inner_brow_R,value,std,0.17889291889004102,0.5213799033830206,5.0,140,0.0024498237517253515,0.012130250852020096,5.0,140
0:2,2,inner_brow_R,value,quantile_10,0.30945412833213404,0.691419798024126,5.0,140,0.06297172716603325,0.2515072516942816,5.0,140
0:2,3,inner_brow_R,value,quantile_90,0.5091481625560734,0.8383544011385029,5.0,140,0.10378598690830806,0.36669763200374667,5.0,140
0:2,4,inner_brow_R,value,late_minus_early,0.18647481268170657,0.5340365791556306,5.0,140,0.03573888366777624,0.1563441559345544,5.0,140
0:2,5,inner_brow_R,value,slope_per_second,0.15739202860406162,0.482925589951309,5.0,140,0.01785190548893275,0.08331052123908805,5.0,140
0:2,6,inner_brow_R,delta,mean,0.12926011696307502,0.4260272540589202,5.0,140,0.037587311329693326,0.16337347758800635,5.0,140
0:2,7,inner_brow_R,delta,std,0.17889291972748192,0.5213799048056981,5.0,140,0.0024498247219194836,0.012130255609297976,5.0,140
0:2,8,inner_brow_R,delta,quantile_10,0.10609999210158776,0.3724374980866318,5.0,140,-0.008971868080630727,-0.04652915413434017,5.0,140
0:2,9,inner_brow_R,delta,quantile_90,0.14859614792211015,0.46599844446799377,5.0,140,0.03921216773939339,0.16947838003278248,5.0,140
0:2,10,inner_brow_R,delta,late_minus_early,0.1864748133888889,0.534036580315644,5.0,140,0.035738882727355585,0.15634415233512636,5.0,140
0:2,11,inner_brow_R,delta,slope_per_second,0.15739203188748588,0.482925596133636,5.0,140,0.017851906546973276,0.08331052584762255,5.0,140
0:2,12,inner_brow_R,velocity,mean,0.16669405783627708,0.5000493008643188,5.0,140,0.0535826993934124,0.22062645327152955,5.0,140
