subject_id,n_within_pairs,n_between_pairs,within_condition_distance_median,different_condition_same_subject_distance_median,within_to_between_ratio,distance_separation,pair_auc,window
P001,50,250,1.236070998613486,1.219539310833326,1.0135556825707108,-0.013555682570710827,0.51128,0:2
P002,50,250,1.2532308608600817,1.2684160780391112,0.9880282050646151,0.011971794935384918,0.49239999999999995,0:2
P003,50,250,1.2797290595656947,1.2963035870832331,0.9872140078275706,0.012785992172429426,0.51656,0:2
P004,50,250,1.2970922160660399,1.3096619722257694,0.9904022897310156,0.00959771026898434,0.49272000000000005,0:2
P005,50,250,1.4811359672928481,1.4571347018843648,1.0164715488399563,-0.016471548839956215,0.5016,0:2
P006,50,250,1.0362665250846077,1.0758743637357417,0.9631854424771268,0.03681455752287317,0.5188,0:2
P007,50,250,1.2943816183292516,1.2858822012146385,1.0066097945104027,-0.006609794510402738,0.5101600000000001,0:2
P008,50,250,1.3527204266493758,1.4144750524438048,0.9563409579492159,0.04365904205078404,0.5193599999999999,0:2
P009,50,250,1.3701350319173211,1.3265977294033702,1.0328187675502292,-0.032818767550229104,0.45064000000000004,0:2
P010,50,250,1.3579889753053949,1.3920837948785705,0.9755080694864711,0.024491930513528937,0.5300800000000001,0:2
P011,50,250,1.2206706252866568,1.2265001606309995,0.9952470162406309,0.004752983759369087,0.51544,0:2
P013,50,250,1.1064556853721825,1.1412380495686445,0.9695222533023599,0.030477746697640085,0.54928,0:2
P014,50,250,0.9878543813463855,1.0276902413215323,0.9612374834620198,0.03876251653798027,0.5891200000000001,0:2
P015,50,250,1.1742980200783917,1.3100426287733984,0.8963815331550659,0.10361846684493412,0.5551200000000001,0:2
P016,50,250,1.1459990420567703,1.2062493034945798,0.9500515678945797,0.04994843210542029,0.53904,0:2
P017,50,250,1.171217110168516,1.230392411823805,0.951905342485351,0.048094657514649065,0.51536,0:2
P018,50,250,1.4331284191077422,1.5115418526370696,0.9481235445829531,0.051876455417046885,0.56608,0:2
P019,50,250,1.3224025668306894,1.3489869041294127,0.9802931094309771,0.01970689056902291,0.46775999999999995,0:2
P020,50,250,1.91273296865154,1.9184080735545368,0.997041763438536,0.0029582365614640423,0.5232,0:2
P021,50,250,1.5282996504668422,1.5316422351723449,0.9978176465569151,0.0021823534430849127,0.4988,0:2
P023,50,250,1.0684552538568601,1.0440765770832696,1.0233495102837138,-0.023349510283713806,0.50952,0:2
P024,50,250,0.9982611255764972,0.9830012598121309,1.0155237499566203,-0.015523749956620252,0.49983999999999995,0:2
P025,50,250,1.4074831513651955,1.3925296232334574,1.0107383914009787,-0.010738391400978589,0.48927999999999994,0:2
P026,50,250,1.3879865702664445,1.4878762746935457,0.9328642400406074,0.06713575995939262,0.59224,0:2
P027,50,250,1.3207661877953694,1.3347547115681213,0.9895197794384875,0.010480220561512528,0.51112,0:2
P028,50,250,1.1507444090988899,1.2077496574740993,0.9528004433514551,0.04719955664854492,0.5652799999999999,0:2
P029,50,250,1.5737872108260818,1.6297344499463016,0.9656709477288995,0.0343290522711005,0.52848,0:2
P030,50,250,1.3062768728306582,1.4044845036882365,0.9300756750254767,0.0699243249745233,0.5971200000000001,0:2
