inner_fold,epoch,train_loss,train_accuracy,validation_n,validation_accuracy,validation_balanced_accuracy,validation_macro_f1,validation_per_class_recall,validation_per_class_precision,validation_per_class_f1,validation_support,validation_loss,validation_mae,validation_quadratic_weighted_kappa
1,1,0.7134142295519511,0.4266666666666667,35,0.6857142857142857,0.5,0.4067796610169492,"[1.0, 0.0]","[0.6857142857142857, 0.0]","[0.8135593220338984, 0.0]","[24, 11]",0.7170902456556048,0.3142857142857143,0.0
1,2,0.6907186722755432,0.48,35,0.6857142857142857,0.5,0.4067796610169492,"[1.0, 0.0]","[0.6857142857142857, 0.0]","[0.8135593220338984, 0.0]","[24, 11]",0.7146513989993504,0.3142857142857143,0.0
1,3,0.7045583947499593,0.6933333333333334,35,0.6857142857142857,0.5,0.4067796610169492,"[1.0, 0.0]","[0.6857142857142857, 0.0]","[0.8135593220338984, 0.0]","[24, 11]",0.71410294345447,0.3142857142857143,0.0
1,4,0.7125501577059428,0.7066666666666667,35,0.6857142857142857,0.5,0.4067796610169492,"[1.0, 0.0]","[0.6857142857142857, 0.0]","[0.8135593220338984, 0.0]","[24, 11]",0.7122340125697,0.3142857142857143,0.0
1,5,0.6963707447052002,0.72,35,0.6857142857142857,0.5,0.4067796610169492,"[1.0, 0.0]","[0.6857142857142857, 0.0]","[0.8135593220338984, 0.0]","[24, 11]",0.7100037149020604,0.3142857142857143,0.0
1,6,0.7094281872113546,0.6133333333333333,35,0.6857142857142857,0.5,0.4067796610169492,"[1.0, 0.0]","[0.6857142857142857, 0.0]","[0.8135593220338984, 0.0]","[24, 11]",0.7133023525987353,0.3142857142857143,0.0
1,7,0.6939816506703694,0.6533333333333333,35,0.6,0.4375,0.375,"[0.875, 0.0]","[0.65625, 0.0]","[0.75, 0.0]","[24, 11]",0.7124427267483302,0.4,-0.1556603773584906
1,8,0.6996217544873555,0.5866666666666667,35,0.6285714285714286,0.4583333333333333,0.38596491228070173,"[0.9166666666666666, 0.0]","[0.6666666666666666, 0.0]","[0.7719298245614035, 0.0]","[24, 11]",0.7069351656096322,0.37142857142857144,-0.10705596107055948
1,9,0.6892658392588298,0.5866666666666667,35,0.6285714285714286,0.4583333333333333,0.38596491228070173,"[0.9166666666666666, 0.0]","[0.6666666666666666, 0.0]","[0.7719298245614035, 0.0]","[24, 11]",0.7048230511801583,0.37142857142857144,-0.10705596107055948
1,10,0.6952197233835856,0.6,35,0.6857142857142857,0.5,0.4067796610169492,"[1.0, 0.0]","[0.6857142857142857, 0.0]","[0.8135593220338984, 0.0]","[24, 11]",0.7006844554628645,0.3142857142857143,0.0
1,11,0.68685706615448,0.6133333333333333,35,0.6857142857142857,0.5,0.4067796610169492,"[1.0, 0.0]","[0.6857142857142857, 0.0]","[0.8135593220338984, 0.0]","[24, 11]",0.6995460408074515,0.3142857142857143,0.0
1,12,0.6806200496355692,0.6,35,0.6571428571428571,0.4791666666666667,0.39655172413793105,"[0.9583333333333334, 0.0]","[0.6764705882352942, 0.0]","[0.7931034482758621, 0.0]","[24, 11]",0.6994366901261466,0.34285714285714286,-0.05527638190954787
1,13,0.6724329296747843,0.6933333333333334,35,0.5142857142857142,0.375,0.339622641509434,"[0.75, 0.0]","[0.6206896551724138, 0.0]","[0.679245283018868, 0.0]","[24, 11]",0.7034749576023647,0.4857142857142857,-0.28509719222462215
1,14,0.7017067209879557,0.5066666666666667,35,0.5714285714285714,0.4412878787878788,0.41731409544950054,"[0.7916666666666666, 0.09090909090909091]","[0.6551724137931034, 0.16666666666666666]","[0.7169811320754716, 0.11764705882352942]","[24, 11]",0.7059358698981149,0.42857142857142855,-0.13390928725701956
1,15,0.670409562587738,0.6666666666666666,35,0.5142857142857142,0.4242424242424242,0.42176870748299317,"[0.6666666666666666, 0.18181818181818182]","[0.64, 0.2]","[0.6530612244897959, 0.1904761904761905]","[24, 11]",0.7075654966490609,0.4857142857142857,-0.15533980582524287
1,16,0.6935974303881327,0.6,35,0.6,0.46212121212121215,0.4328703703703704,"[0.8333333333333334, 0.09090909090909091]","[0.6666666666666666, 0.2]","[0.7407407407407408, 0.12500000000000003]","[24, 11]",0.7079856617110116,0.4,-0.0888888888888888
1,17,0.7165806309382121,0.5066666666666667,35,0.4857142857142857,0.42803030303030304,0.42934782608695654,"[0.5833333333333334, 0.2727272727272727]","[0.6363636363636364, 0.23076923076923078]","[0.6086956521739131, 0.24999999999999994]","[24, 11]",0.7072755387851171,0.5142857142857142,-0.13718411552346566
1,18,0.6946466279029846,0.6133333333333333,35,0.5142857142857142,0.4242424242424242,0.42176870748299317,"[0.6666666666666666, 0.18181818181818182]","[0.64, 0.2]","[0.6530612244897959, 0.1904761904761905]","[24, 11]",0.7101722802434649,0.4857142857142857,-0.15533980582524287
1,19,0.6826294740041097,0.6,35,0.6,0.4867424242424242,0.47649572649572647,"[0.7916666666666666, 0.18181818181818182]","[0.6785714285714286, 0.2857142857142857]","[0.7307692307692307, 0.2222222222222222]","[24, 11]",0.7105710302080427,0.4,-0.02941176470588225
1,20,0.705231785774231,0.5733333333333334,35,0.4857142857142857,0.42803030303030304,0.42934782608695654,"[0.5833333333333334, 0.2727272727272727]","[0.6363636363636364, 0.23076923076923078]","[0.6086956521739131, 0.24999999999999994]","[24, 11]",0.710160117489951,0.5142857142857142,-0.13718411552346566
1,21,0.7069100308418274,0.48,35,0.4857142857142857,0.42803030303030304,0.42934782608695654,"[0.5833333333333334, 0.2727272727272727]","[0.6363636363636364, 0.23076923076923078]","[0.6086956521739131, 0.24999999999999994]","[24, 11]",0.7049675464630127,0.5142857142857142,-0.13718411552346566
2,1,0.704428973197937,0.5066666666666667,35,0.6857142857142857,0.5,0.4067796610169492,"[1.0, 0.0]","[0.6857142857142857, 0.0]","[0.8135593220338984, 0.0]","[24, 11]",0.6989249110221862,0.3142857142857143,0.0
2,2,0.6903152362505595,0.7066666666666667,35,0.6857142857142857,0.5,0.4067796610169492,"[1.0, 0.0]","[0.6857142857142857, 0.0]","[0.8135593220338984, 0.0]","[24, 11]",0.6970565182822092,0.3142857142857143,0.0
2,3,0.690613796710968,0.6933333333333334,35,0.6857142857142857,0.5,0.4067796610169492,"[1.0, 0.0]","[0.6857142857142857, 0.0]","[0.8135593220338984, 0.0]","[24, 11]",0.6949395826884679,0.3142857142857143,0.0
2,4,0.691979984442393,0.5733333333333334,35,0.6857142857142857,0.5,0.4067796610169492,"[1.0, 0.0]","[0.6857142857142857, 0.0]","[0.8135593220338984, 0.0]","[24, 11]",0.6926260335104806,0.3142857142857143,0.0
2,5,0.6942720063527426,0.6533333333333333,35,0.6857142857142857,0.5,0.4067796610169492,"[1.0, 0.0]","[0.6857142857142857, 0.0]","[0.8135593220338984, 0.0]","[24, 11]",0.6940940703664508,0.3142857142857143,0.0
2,6,0.6967036930720011,0.6266666666666667,35,0.6857142857142857,0.5,0.4067796610169492,"[1.0, 0.0]","[0.6857142857142857, 0.0]","[0.8135593220338984, 0.0]","[24, 11]",0.6932149614606585,0.3142857142857143,0.0
2,7,0.6904939730962117,0.72,35,0.6857142857142857,0.5,0.4067796610169492,"[1.0, 0.0]","[0.6857142857142857, 0.0]","[0.8135593220338984, 0.0]","[24, 11]",0.6914186630930219,0.3142857142857143,0.0
2,8,0.6875304094950359,0.6933333333333334,35,0.6857142857142857,0.5,0.4067796610169492,"[1.0, 0.0]","[0.6857142857142857, 0.0]","[0.8135593220338984, 0.0]","[24, 11]",0.6904497333935329,0.3142857142857143,0.0
2,9,0.687636091709137,0.6933333333333334,35,0.6857142857142857,0.5,0.4067796610169492,"[1.0, 0.0]","[0.6857142857142857, 0.0]","[0.8135593220338984, 0.0]","[24, 11]",0.6893026113510132,0.3142857142857143,0.0
2,10,0.6933573738733927,0.6533333333333333,35,0.6857142857142857,0.5,0.4067796610169492,"[1.0, 0.0]","[0.6857142857142857, 0.0]","[0.8135593220338984, 0.0]","[24, 11]",0.6917666503361293,0.3142857142857143,0.0
2,11,0.6895193902651469,0.6133333333333333,35,0.6857142857142857,0.5,0.4067796610169492,"[1.0, 0.0]","[0.6857142857142857, 0.0]","[0.8135593220338984, 0.0]","[24, 11]",0.6943956051553999,0.3142857142857143,0.0
2,12,0.68528200229009,0.68,35,0.6857142857142857,0.5,0.4067796610169492,"[1.0, 0.0]","[0.6857142857142857, 0.0]","[0.8135593220338984, 0.0]","[24, 11]",0.6951786892754691,0.3142857142857143,0.0
2,13,0.6886190660794576,0.6933333333333334,35,0.6857142857142857,0.5,0.4067796610169492,"[1.0, 0.0]","[0.6857142857142857, 0.0]","[0.8135593220338984, 0.0]","[24, 11]",0.6942776220185416,0.3142857142857143,0.0
2,14,0.6931730874379476,0.56,35,0.6857142857142857,0.5,0.4067796610169492,"[1.0, 0.0]","[0.6857142857142857, 0.0]","[0.8135593220338984, 0.0]","[24, 11]",0.6958433015005929,0.3142857142857143,0.0
2,15,0.6912957652409871,0.52,35,0.6857142857142857,0.5,0.4067796610169492,"[1.0, 0.0]","[0.6857142857142857, 0.0]","[0.8135593220338984, 0.0]","[24, 11]",0.6938485605376107,0.3142857142857143,0.0
2,16,0.6856135018666585,0.52,35,0.7142857142857143,0.5454545454545454,0.49712643678160917,"[1.0, 0.09090909090909091]","[0.7058823529411765, 1.0]","[0.8275862068965517, 0.16666666666666669]","[24, 11]",0.6962266956056867,0.2857142857142857,0.12060301507537674
2,17,0.683903558254242,0.68,35,0.6857142857142857,0.5,0.4067796610169492,"[1.0, 0.0]","[0.6857142857142857, 0.0]","[0.8135593220338984, 0.0]","[24, 11]",0.6978132230894906,0.3142857142857143,0.0
2,18,0.6854708139101664,0.6,35,0.6857142857142857,0.5,0.4067796610169492,"[1.0, 0.0]","[0.6857142857142857, 0.0]","[0.8135593220338984, 0.0]","[24, 11]",0.6992728897503444,0.3142857142857143,0.0
2,19,0.6869597252209981,0.6,35,0.6857142857142857,0.5,0.4067796610169492,"[1.0, 0.0]","[0.6857142857142857, 0.0]","[0.8135593220338984, 0.0]","[24, 11]",0.7016151683671134,0.3142857142857143,0.0
2,20,0.6934435764948527,0.6266666666666667,35,0.6857142857142857,0.5,0.4067796610169492,"[1.0, 0.0]","[0.6857142857142857, 0.0]","[0.8135593220338984, 0.0]","[24, 11]",0.7005011660712106,0.3142857142857143,0.0
2,21,0.6848007496198019,0.6266666666666667,35,0.6857142857142857,0.5,0.4067796610169492,"[1.0, 0.0]","[0.6857142857142857, 0.0]","[0.8135593220338984, 0.0]","[24, 11]",0.7003242594855172,0.3142857142857143,0.0
2,22,0.697997133731842,0.6133333333333333,35,0.6857142857142857,0.5,0.4067796610169492,"[1.0, 0.0]","[0.6857142857142857, 0.0]","[0.8135593220338984, 0.0]","[24, 11]",0.6952707018171038,0.3142857142857143,0.0
2,23,0.6744994219144186,0.72,35,0.6857142857142857,0.5,0.4067796610169492,"[1.0, 0.0]","[0.6857142857142857, 0.0]","[0.8135593220338984, 0.0]","[24, 11]",0.6964679718017578,0.3142857142857143,0.0
2,24,0.6796825575828552,0.6933333333333334,35,0.6857142857142857,0.5,0.4067796610169492,"[1.0, 0.0]","[0.6857142857142857, 0.0]","[0.8135593220338984, 0.0]","[24, 11]",0.7050460577011108,0.3142857142857143,0.0
2,25,0.6763922842343648,0.6666666666666666,35,0.6857142857142857,0.5,0.4067796610169492,"[1.0, 0.0]","[0.6857142857142857, 0.0]","[0.8135593220338984, 0.0]","[24, 11]",0.7037175195557731,0.3142857142857143,0.0
2,26,0.6686454335848491,0.6933333333333334,35,0.6857142857142857,0.5,0.4067796610169492,"[1.0, 0.0]","[0.6857142857142857, 0.0]","[0.8135593220338984, 0.0]","[24, 11]",0.7077332513672965,0.3142857142857143,0.0
3,1,0.6960054312433516,0.34285714285714286,40,0.3,0.5,0.23076923076923075,"[0.0, 1.0]","[0.0, 0.3]","[0.0, 0.4615384615384615]","[28, 12]",0.7082949757575989,0.7,0.0
3,2,0.6939499293054853,0.38571428571428573,40,0.325,0.5178571428571429,0.2697768762677485,"[0.03571428571428571, 1.0]","[1.0, 0.3076923076923077]","[0.0689655172413793, 0.47058823529411764]","[28, 12]",0.6947230100631714,0.675,0.021739130434782705
3,3,0.6946357863289969,0.5285714285714286,40,0.5,0.6190476190476191,0.4987468671679198,"[0.32142857142857145, 0.9166666666666666]","[0.9, 0.36666666666666664]","[0.4736842105263158, 0.5238095238095238]","[28, 12]",0.6917580366134644,0.5,0.16666666666666663
3,4,0.6854400822094509,0.5857142857142857,40,0.625,0.5892857142857143,0.5807127882599581,"[0.6785714285714286, 0.5]","[0.76, 0.4]","[0.7169811320754718, 0.4444444444444445]","[28, 12]",0.6905716061592102,0.375,0.16666666666666663
3,5,0.6851355416434152,0.5857142857142857,40,0.65,0.4642857142857143,0.3939393939393939,"[0.9285714285714286, 0.0]","[0.6842105263157895, 0.0]","[0.7878787878787878, 0.0]","[28, 12]",0.6902288198471069,0.35,-0.09375
3,6,0.6841964874948774,0.6714285714285714,40,0.675,0.48214285714285715,0.40298507462686567,"[0.9642857142857143, 0.0]","[0.6923076923076923, 0.0]","[0.8059701492537313, 0.0]","[28, 12]",0.6900933980941772,0.325,-0.04838709677419373
3,7,0.6955741967473711,0.5857142857142857,40,0.7,0.5,0.4117647058823529,"[1.0, 0.0]","[0.7, 0.0]","[0.8235294117647058, 0.0]","[28, 12]",0.688608181476593,0.3,0.0
3,8,0.6893425651959011,0.7,40,0.7,0.5,0.4117647058823529,"[1.0, 0.0]","[0.7, 0.0]","[0.8235294117647058, 0.0]","[28, 12]",0.6901327610015869,0.3,0.0
3,9,0.693776297569275,0.5857142857142857,40,0.7,0.5,0.4117647058823529,"[1.0, 0.0]","[0.7, 0.0]","[0.8235294117647058, 0.0]","[28, 12]",0.6894431233406066,0.3,0.0
3,10,0.6968770146369934,0.6285714285714286,40,0.7,0.5,0.4117647058823529,"[1.0, 0.0]","[0.7, 0.0]","[0.8235294117647058, 0.0]","[28, 12]",0.6886631488800049,0.3,0.0
3,11,0.6831978338105338,0.6857142857142857,40,0.675,0.48214285714285715,0.40298507462686567,"[0.9642857142857143, 0.0]","[0.6923076923076923, 0.0]","[0.8059701492537313, 0.0]","[28, 12]",0.6887945175170899,0.325,-0.04838709677419373
3,12,0.6757873705455235,0.6714285714285714,40,0.675,0.48214285714285715,0.40298507462686567,"[0.9642857142857143, 0.0]","[0.6923076923076923, 0.0]","[0.8059701492537313, 0.0]","[28, 12]",0.6887213945388794,0.325,-0.04838709677419373
3,13,0.7005636606897626,0.5857142857142857,40,0.7,0.5,0.4117647058823529,"[1.0, 0.0]","[0.7, 0.0]","[0.8235294117647058, 0.0]","[28, 12]",0.6879779696464539,0.3,0.0
