epoch,n_inner_folds,mean_validation_balanced_accuracy,mean_validation_macro_f1,mean_validation_loss
1,3,0.5289855072463768,0.3508084041463655,0.7301711916923522
2,3,0.5289855072463768,0.3508084041463655,0.714150277205876
3,3,0.5168357487922705,0.4272526136569299,0.7001333350226991
4,3,0.573792270531401,0.5335045788137472,0.6922594036374773
5,3,0.5155072463768117,0.4523595022114221,0.6895970032328651
6,3,0.5393116974276395,0.5331931595178021,0.6891727368036906
7,3,0.4785123250340641,0.46832728833369375,0.6894793919154575
8,3,0.5045418885998596,0.4378159772896615,0.6900493207431975
9,3,0.4863863082703663,0.4536487758945386,0.6908202301888239
10,3,0.46290618935546474,0.4290302976670535,0.691766627629598
11,3,0.4510353441512862,0.42302142302142304,0.691473166715531
12,3,0.4594842891944341,0.4247240170885491,0.6920876820882161
13,3,0.4606868574259879,0.41132692070538907,0.6930821242786589
14,3,0.4787305421363392,0.40930671868518703,0.6937892760549272
