inner_fold,epoch,train_loss,train_accuracy,validation_n,validation_accuracy,validation_balanced_accuracy,validation_macro_f1,validation_per_class_recall,validation_per_class_precision,validation_per_class_f1,validation_support,validation_loss,validation_mae,validation_quadratic_weighted_kappa
1,1,0.742112356821696,0.44,40,0.525,0.4287749287749288,0.4202898550724638,"[0.7037037037037037, 0.15384615384615385]","[0.6333333333333333, 0.2]","[0.6666666666666667, 0.17391304347826086]","[27, 13]",0.694581925868988,0.475,-0.1515151515151516
1,2,0.6828136213620504,0.6133333333333333,40,0.55,0.4472934472934473,0.43573667711598746,"[0.7407407407407407, 0.15384615384615385]","[0.6451612903225806, 0.2222222222222222]","[0.689655172413793, 0.18181818181818185]","[27, 13]",0.6985313653945923,0.45,-0.11455108359133126
1,3,0.6853084484736125,0.6933333333333334,40,0.55,0.4472934472934473,0.43573667711598746,"[0.7407407407407407, 0.15384615384615385]","[0.6451612903225806, 0.2222222222222222]","[0.689655172413793, 0.18181818181818185]","[27, 13]",0.7071555852890015,0.45,-0.11455108359133126
1,4,0.6703737084070841,0.64,40,0.475,0.4116809116809117,0.4129979035639413,"[0.5925925925925926, 0.23076923076923078]","[0.6153846153846154, 0.21428571428571427]","[0.6037735849056604, 0.22222222222222224]","[27, 13]",0.7061437368392944,0.525,-0.17318435754189943
1,5,0.6794421736399333,0.5466666666666666,40,0.475,0.4515669515669516,0.4470046082949308,"[0.5185185185185185, 0.38461538461538464]","[0.6363636363636364, 0.2777777777777778]","[0.5714285714285714, 0.3225806451612903]","[27, 13]",0.712281334400177,0.525,-0.08808290155440401
1,6,0.6519378042221069,0.6133333333333333,40,0.5,0.49002849002849,0.47916666666666663,"[0.5185185185185185, 0.46153846153846156]","[0.6666666666666666, 0.3157894736842105]","[0.5833333333333334, 0.37499999999999994]","[27, 13]",0.72032151222229,0.5,-0.01781170483460559
1,7,0.6597527122497558,0.6533333333333333,40,0.4,0.4358974358974359,0.39849624060150374,"[0.3333333333333333, 0.5384615384615384]","[0.6, 0.28]","[0.42857142857142855, 0.3684210526315789]","[27, 13]",0.7342392444610596,0.6,-0.10344827586206895
1,8,0.642149137655894,0.64,40,0.475,0.4116809116809117,0.4129979035639413,"[0.5925925925925926, 0.23076923076923078]","[0.6153846153846154, 0.21428571428571427]","[0.6037735849056604, 0.22222222222222224]","[27, 13]",0.7323269486427307,0.525,-0.17318435754189943
1,9,0.626808556318283,0.6666666666666666,40,0.6,0.5042735042735043,0.4984326018808778,"[0.7777777777777778, 0.23076923076923078]","[0.6774193548387096, 0.3333333333333333]","[0.7241379310344828, 0.27272727272727276]","[27, 13]",0.7529268622398376,0.4,0.009287925696594312
1,10,0.6256604353586833,0.68,40,0.6,0.5042735042735043,0.4984326018808778,"[0.7777777777777778, 0.23076923076923078]","[0.6774193548387096, 0.3333333333333333]","[0.7241379310344828, 0.27272727272727276]","[27, 13]",0.7612559795379639,0.4,0.009287925696594312
1,11,0.6220011766751607,0.68,40,0.525,0.48860398860398857,0.48613928329952677,"[0.5925925925925926, 0.38461538461538464]","[0.6666666666666666, 0.3125]","[0.627450980392157, 0.3448275862068966]","[27, 13]",0.7815834760665894,0.475,-0.021505376344086002
1,12,0.6168270460764567,0.6666666666666666,40,0.6,0.4843304843304843,0.4666666666666667,"[0.8148148148148148, 0.15384615384615385]","[0.6666666666666666, 0.2857142857142857]","[0.7333333333333333, 0.2]","[27, 13]",0.8172954678535461,0.4,-0.035598705501618255
