inner_fold,epoch,train_loss,train_accuracy,validation_n,validation_accuracy,validation_balanced_accuracy,validation_macro_f1,validation_per_class_recall,validation_per_class_precision,validation_per_class_f1,validation_support,validation_loss,validation_mae,validation_quadratic_weighted_kappa
1,1,0.5361603958266122,0.7428571428571429,40,0.625,0.6003134796238244,0.5807127882599581,"[0.6551724137931034, 0.5454545454545454]","[0.7916666666666666, 0.375]","[0.7169811320754716, 0.4444444444444444]","[29, 11]",0.6404497742652893,0.375,0.17582417582417575
1,2,0.5341630084174019,0.7428571428571429,40,0.625,0.6003134796238244,0.5807127882599581,"[0.6551724137931034, 0.5454545454545454]","[0.7916666666666666, 0.375]","[0.7169811320754716, 0.4444444444444444]","[29, 11]",0.6388816118240357,0.375,0.17582417582417575
1,3,0.5356676621096474,0.7428571428571429,40,0.625,0.6003134796238244,0.5807127882599581,"[0.6551724137931034, 0.5454545454545454]","[0.7916666666666666, 0.375]","[0.7169811320754716, 0.4444444444444444]","[29, 11]",0.6377492308616638,0.375,0.17582417582417575
1,4,0.5282144921166556,0.7428571428571429,40,0.625,0.6003134796238244,0.5807127882599581,"[0.6551724137931034, 0.5454545454545454]","[0.7916666666666666, 0.375]","[0.7169811320754716, 0.4444444444444444]","[29, 11]",0.6351675391197205,0.375,0.17582417582417575
1,5,0.5345890164375305,0.7428571428571429,40,0.625,0.6003134796238244,0.5807127882599581,"[0.6551724137931034, 0.5454545454545454]","[0.7916666666666666, 0.375]","[0.7169811320754716, 0.4444444444444444]","[29, 11]",0.6362336993217468,0.375,0.17582417582417575
1,6,0.5372603757040841,0.7428571428571429,40,0.625,0.6003134796238244,0.5807127882599581,"[0.6551724137931034, 0.5454545454545454]","[0.7916666666666666, 0.375]","[0.7169811320754716, 0.4444444444444444]","[29, 11]",0.6333210706710816,0.375,0.17582417582417575
1,7,0.5229744332177299,0.7428571428571429,40,0.625,0.6003134796238244,0.5807127882599581,"[0.6551724137931034, 0.5454545454545454]","[0.7916666666666666, 0.375]","[0.7169811320754716, 0.4444444444444444]","[29, 11]",0.6341756463050843,0.375,0.17582417582417575
1,8,0.5160298092024667,0.7428571428571429,40,0.625,0.6003134796238244,0.5807127882599581,"[0.6551724137931034, 0.5454545454545454]","[0.7916666666666666, 0.375]","[0.7169811320754716, 0.4444444444444444]","[29, 11]",0.6286116003990173,0.375,0.17582417582417575
1,9,0.516150438785553,0.7428571428571429,40,0.625,0.6003134796238244,0.5807127882599581,"[0.6551724137931034, 0.5454545454545454]","[0.7916666666666666, 0.375]","[0.7169811320754716, 0.4444444444444444]","[29, 11]",0.6302017450332642,0.375,0.17582417582417575
1,10,0.503803094795772,0.7428571428571429,40,0.625,0.6003134796238244,0.5807127882599581,"[0.6551724137931034, 0.5454545454545454]","[0.7916666666666666, 0.375]","[0.7169811320754716, 0.4444444444444444]","[29, 11]",0.6431843161582946,0.375,0.17582417582417575
