inner_fold,epoch,train_loss,train_accuracy,validation_n,validation_accuracy,validation_balanced_accuracy,validation_macro_f1,validation_per_class_recall,validation_per_class_precision,validation_per_class_f1,validation_support,validation_loss,validation_mae,validation_quadratic_weighted_kappa
1,1,0.6587886770566305,0.3333333333333333,35,0.34285714285714286,0.3123543123543124,0.21220930232558136,"[0.8461538461538461, 0.0, 0.09090909090909091]","[0.36666666666666664, 0.0, 0.2]","[0.5116279069767441, 0.0, 0.12500000000000003]","[13, 11, 11]",0.6523742062704904,1.0,-0.05089058524173029
1,2,0.6372444295883178,0.36,35,0.3142857142857143,0.28205128205128205,0.16666666666666666,"[0.8461538461538461, 0.0, 0.0]","[0.3548387096774194, 0.0, 0.0]","[0.5, 0.0, 0.0]","[13, 11, 11]",0.6830412285668509,1.0571428571428572,-0.12672457843638218
1,3,0.6036781374613444,0.48,35,0.2857142857142857,0.25641025641025644,0.1626016260162602,"[0.7692307692307693, 0.0, 0.0]","[0.35714285714285715, 0.0, 0.0]","[0.48780487804878053, 0.0, 0.0]","[13, 11, 11]",0.6897819110325405,1.1142857142857143,-0.18374558303886923
1,4,0.5910635097821554,0.44,35,0.37142857142857144,0.35198135198135194,0.2831372549019608,"[0.6923076923076923, 0.0, 0.36363636363636365]","[0.42857142857142855, 0.0, 0.2857142857142857]","[0.5294117647058824, 0.0, 0.32]","[13, 11, 11]",0.6854242529187884,0.9428571428571428,0.054982817869415834
1,5,0.5462100831667582,0.5466666666666666,35,0.3142857142857143,0.29603729603729606,0.2351046698872786,"[0.6153846153846154, 0.0, 0.2727272727272727]","[0.34782608695652173, 0.0, 0.25]","[0.4444444444444444, 0.0, 0.2608695652173913]","[13, 11, 11]",0.7114491701126099,1.0571428571428572,-0.09104403760514579
1,6,0.5305417935053508,0.56,35,0.3142857142857143,0.2913752913752914,0.22276822276822275,"[0.6923076923076923, 0.0, 0.18181818181818182]","[0.375, 0.0, 0.18181818181818182]","[0.48648648648648646, 0.0, 0.18181818181818182]","[13, 11, 11]",0.750895825454167,1.0571428571428572,-0.09538002980625926
1,7,0.4772225348154704,0.6133333333333333,35,0.3142857142857143,0.30536130536130535,0.2523148148148148,"[0.46153846153846156, 0.0, 0.45454545454545453]","[0.42857142857142855, 0.0, 0.23809523809523808]","[0.4444444444444445, 0.0, 0.31249999999999994]","[13, 11, 11]",0.7942100388663156,1.0571428571428572,-0.05351170568561869
1,8,0.5445599468549093,0.49333333333333335,35,0.34285714285714286,0.32167832167832167,0.26157407407407407,"[0.6923076923076923, 0.0, 0.2727272727272727]","[0.47368421052631576, 0.0, 0.1875]","[0.5625, 0.0, 0.2222222222222222]","[13, 11, 11]",0.7909750819206238,1.0,-0.005845104724792938
1,9,0.5329232350985209,0.52,35,0.2857142857142857,0.26107226107226106,0.18964076858813703,"[0.6923076923076923, 0.0, 0.09090909090909091]","[0.36, 0.0, 0.1]","[0.47368421052631576, 0.0, 0.09523809523809525]","[13, 11, 11]",0.8205277494021824,1.1142857142857143,-0.16957605985037416
1,10,0.508724615573883,0.5866666666666667,35,0.3142857142857143,0.31934731934731936,0.23675213675213672,"[0.23076923076923078, 0.0, 0.7272727272727273]","[0.42857142857142855, 0.0, 0.2857142857142857]","[0.3, 0.0, 0.4102564102564102]","[13, 11, 11]",0.7931046298571995,1.0571428571428572,-0.026058631921824116
1,11,0.511159036954244,0.5866666666666667,35,0.2,0.19347319347319347,0.16126543209876543,"[0.3076923076923077, 0.0, 0.2727272727272727]","[0.2857142857142857, 0.0, 0.14285714285714285]","[0.29629629629629634, 0.0, 0.18749999999999997]","[13, 11, 11]",0.8277966414179121,1.2857142857142858,-0.3210702341137124
1,12,0.4817509388923645,0.5466666666666666,35,0.37142857142857144,0.34265734265734266,0.2547008547008547,"[0.8461538461538461, 0.0, 0.18181818181818182]","[0.4230769230769231, 0.0, 0.2222222222222222]","[0.5641025641025641, 0.0, 0.19999999999999998]","[13, 11, 11]",0.8869295358657837,0.9428571428571428,0.0360540811216824
1,13,0.46329697767893474,0.5733333333333334,35,0.22857142857142856,0.22377622377622378,0.18509803921568627,"[0.3076923076923077, 0.0, 0.36363636363636365]","[0.3333333333333333, 0.0, 0.17391304347826086]","[0.32, 0.0, 0.2352941176470588]","[13, 11, 11]",0.8643220220293317,1.2285714285714286,-0.244665718349929
1,14,0.4635741138458252,0.5866666666666667,35,0.3142857142857143,0.31002331002331,0.25098039215686274,"[0.38461538461538464, 0.0, 0.5454545454545454]","[0.4166666666666667, 0.0, 0.2608695652173913]","[0.4, 0.0, 0.3529411764705882]","[13, 11, 11]",0.8268102918352399,1.0571428571428572,-0.045519203413940224
2,1,0.6715650575501578,0.2714285714285714,40,0.25,0.3333333333333333,0.13333333333333333,"[0.0, 0.0, 1.0]","[0.0, 0.0, 0.25]","[0.0, 0.0, 0.4]","[17, 13, 10]",0.6589483857154846,1.175,0.0
2,2,0.6476121834346227,0.37142857142857144,40,0.45,0.3941176470588235,0.31519274376417233,"[0.8823529411764706, 0.0, 0.3]","[0.46875, 0.0, 0.375]","[0.6122448979591837, 0.0, 0.33333333333333326]","[17, 13, 10]",0.6444510817527771,0.775,0.1638225255972695
2,3,0.6151388440813337,0.5,40,0.3,0.33137254901960783,0.23870573870573872,"[0.29411764705882354, 0.0, 0.7]","[0.45454545454545453, 0.0, 0.2413793103448276]","[0.35714285714285715, 0.0, 0.358974358974359]","[17, 13, 10]",0.6435333967208863,1.075,0.004092769440654842
2,4,0.5916722229548863,0.5142857142857142,40,0.45,0.44901960784313727,0.3537537537537538,"[0.6470588235294118, 0.0, 0.7]","[0.55, 0.0, 0.35]","[0.5945945945945946, 0.0, 0.4666666666666667]","[17, 13, 10]",0.6357758402824402,0.775,0.26865671641791045
2,5,0.6044244068009513,0.4714285714285714,40,0.5,0.48823529411764705,0.38950617283950617,"[0.7647058823529411, 0.0, 0.7]","[0.5652173913043478, 0.0, 0.4117647058823529]","[0.65, 0.0, 0.5185185185185185]","[17, 13, 10]",0.6242545485496521,0.675,0.3682588597842835
2,6,0.5517976471355983,0.5428571428571428,40,0.5,0.5019607843137255,0.39560439560439553,"[0.7058823529411765, 0.0, 0.8]","[0.5454545454545454, 0.0, 0.4444444444444444]","[0.6153846153846153, 0.0, 0.5714285714285714]","[17, 13, 10]",0.6158894658088684,0.675,0.375
2,7,0.5479489181722913,0.5714285714285714,40,0.5,0.47450980392156855,0.3892255892255892,"[0.8235294117647058, 0.0, 0.6]","[0.5, 0.0, 0.5]","[0.6222222222222222, 0.0, 0.5454545454545454]","[17, 13, 10]",0.6086942553520203,0.675,0.33224755700325737
2,8,0.5221661763531821,0.5571428571428572,40,0.5,0.47450980392156855,0.3892255892255892,"[0.8235294117647058, 0.0, 0.6]","[0.5, 0.0, 0.5]","[0.6222222222222222, 0.0, 0.5454545454545454]","[17, 13, 10]",0.6160411536693573,0.675,0.33224755700325737
2,9,0.5566284486225673,0.5285714285714286,40,0.375,0.3764705882352941,0.29549549549549553,"[0.5294117647058824, 0.0, 0.6]","[0.45, 0.0, 0.3]","[0.48648648648648646, 0.0, 0.4]","[17, 13, 10]",0.689130699634552,0.925,0.08955223880597019
2,10,0.5307141900062561,0.5571428571428572,40,0.45,0.4215686274509804,0.34043927648578814,"[0.7647058823529411, 0.0, 0.5]","[0.5, 0.0, 0.35714285714285715]","[0.6046511627906976, 0.0, 0.41666666666666663]","[17, 13, 10]",0.6417793512344361,0.775,0.21974522292993637
2,11,0.5351835863930838,0.5571428571428572,40,0.475,0.4411764705882353,0.36162870945479636,"[0.8235294117647058, 0.0, 0.5]","[0.4827586206896552, 0.0, 0.45454545454545453]","[0.608695652173913, 0.0, 0.47619047619047616]","[17, 13, 10]",0.645103931427002,0.725,0.258649093904448
2,12,0.48324849605560305,0.5714285714285714,40,0.45,0.407843137254902,0.3386243386243386,"[0.8235294117647058, 0.0, 0.4]","[0.4375, 0.0, 0.5]","[0.5714285714285714, 0.0, 0.4444444444444445]","[17, 13, 10]",0.6540723085403443,0.775,0.1638225255972695
