fold,experiment,n_inner_folds,n_train_conditions,n_test_conditions,train_subjects,test_subjects,selected_code_C,selected_face_C,selected_alpha_face,n,accuracy,balanced_accuracy,macro_f1,per_class_recall,per_class_precision,per_class_f1,support,mae,quadratic_weighted_kappa
1,code_only,4,110,30,P001|P002|P005|P006|P007|P008|P009|P010|P014|P015|P016|P017|P018|P019|P020|P021|P023|P025|P026|P028|P029|P030,P003|P004|P011|P013|P024|P027,0.01,,,30,0.7333333333333333,0.725,0.7129186602870814,"[0.75, 0.7]","[0.8333333333333334, 0.5833333333333334]","[0.7894736842105262, 0.6363636363636365]","[20, 10]",0.26666666666666666,0.4285714285714286
1,face_raw,4,110,30,P001|P002|P005|P006|P007|P008|P009|P010|P014|P015|P016|P017|P018|P019|P020|P021|P023|P025|P026|P028|P029|P030,P003|P004|P011|P013|P024|P027,,0.001,,30,0.5666666666666667,0.5,0.49935815147625157,"[0.7, 0.3]","[0.6666666666666666, 0.3333333333333333]","[0.6829268292682926, 0.3157894736842105]","[20, 10]",0.43333333333333335,0.0
1,face_trial_delta,4,110,30,P001|P002|P005|P006|P007|P008|P009|P010|P014|P015|P016|P017|P018|P019|P020|P021|P023|P025|P026|P028|P029|P030,P003|P004|P011|P013|P024|P027,,10.0,,30,0.5333333333333333,0.475,0.475,"[0.65, 0.3]","[0.65, 0.3]","[0.65, 0.3]","[20, 10]",0.4666666666666667,-0.050000000000000044
1,face_water_delta,4,110,30,P001|P002|P005|P006|P007|P008|P009|P010|P014|P015|P016|P017|P018|P019|P020|P021|P023|P025|P026|P028|P029|P030,P003|P004|P011|P013|P024|P027,,0.1,,30,0.6666666666666666,0.6499999999999999,0.6411483253588516,"[0.7, 0.6]","[0.7777777777777778, 0.5]","[0.7368421052631577, 0.5454545454545454]","[20, 10]",0.3333333333333333,0.2857142857142857
1,fusion_raw,4,110,30,P001|P002|P005|P006|P007|P008|P009|P010|P014|P015|P016|P017|P018|P019|P020|P021|P023|P025|P026|P028|P029|P030,P003|P004|P011|P013|P024|P027,0.1,0.001,0.25,30,0.7666666666666667,0.775,0.7532314923619271,"[0.75, 0.8]","[0.8823529411764706, 0.6153846153846154]","[0.8108108108108107, 0.6956521739130435]","[20, 10]",0.23333333333333334,0.5116279069767442
1,fusion_trial_delta,4,110,30,P001|P002|P005|P006|P007|P008|P009|P010|P014|P015|P016|P017|P018|P019|P020|P021|P023|P025|P026|P028|P029|P030,P003|P004|P011|P013|P024|P027,10.0,0.01,0.25,30,0.7,0.7,0.6827262044653348,"[0.7, 0.7]","[0.8235294117647058, 0.5384615384615384]","[0.7567567567567567, 0.608695652173913]","[20, 10]",0.3,0.37209302325581395
1,fusion_water_delta,4,110,30,P001|P002|P005|P006|P007|P008|P009|P010|P014|P015|P016|P017|P018|P019|P020|P021|P023|P025|P026|P028|P029|P030,P003|P004|P011|P013|P024|P027,0.01,0.001,0.0,30,0.7333333333333333,0.725,0.7129186602870814,"[0.75, 0.7]","[0.8333333333333334, 0.5833333333333334]","[0.7894736842105262, 0.6363636363636365]","[20, 10]",0.26666666666666666,0.4285714285714286
2,code_only,4,110,30,P002|P003|P004|P006|P007|P008|P009|P010|P011|P013|P014|P016|P017|P018|P019|P024|P025|P026|P027|P028|P029|P030,P001|P005|P015|P020|P021|P023,0.1,,,30,0.7666666666666667,0.7698412698412698,0.7435897435897436,"[0.7619047619047619, 0.7777777777777778]","[0.8888888888888888, 0.5833333333333334]","[0.8205128205128205, 0.6666666666666666]","[21, 9]",0.23333333333333334,0.4927536231884059
2,face_raw,4,110,30,P002|P003|P004|P006|P007|P008|P009|P010|P011|P013|P014|P016|P017|P018|P019|P024|P025|P026|P027|P028|P029|P030,P001|P005|P015|P020|P021|P023,,0.001,,30,0.4666666666666667,0.3333333333333333,0.31818181818181823,"[0.6666666666666666, 0.0]","[0.6086956521739131, 0.0]","[0.6363636363636365, 0.0]","[21, 9]",0.5333333333333333,-0.35593220338983045
2,face_trial_delta,4,110,30,P002|P003|P004|P006|P007|P008|P009|P010|P011|P013|P014|P016|P017|P018|P019|P024|P025|P026|P027|P028|P029|P030,P001|P005|P015|P020|P021|P023,,0.01,,30,0.5333333333333333,0.4126984126984127,0.40340909090909094,"[0.7142857142857143, 0.1111111111111111]","[0.6521739130434783, 0.14285714285714285]","[0.6818181818181819, 0.125]","[21, 9]",0.4666666666666667,-0.18644067796610164
2,face_water_delta,4,110,30,P002|P003|P004|P006|P007|P008|P009|P010|P011|P013|P014|P016|P017|P018|P019|P024|P025|P026|P027|P028|P029|P030,P001|P005|P015|P020|P021|P023,,0.1,,30,0.7,0.5317460317460317,0.49907235621521334,"[0.9523809523809523, 0.1111111111111111]","[0.7142857142857143, 0.5]","[0.8163265306122449, 0.1818181818181818]","[21, 9]",0.3,0.08163265306122458
2,fusion_raw,4,110,30,P002|P003|P004|P006|P007|P008|P009|P010|P011|P013|P014|P016|P017|P018|P019|P024|P025|P026|P027|P028|P029|P030,P001|P005|P015|P020|P021|P023,10.0,0.01,0.5,30,0.5333333333333333,0.4444444444444444,0.4444444444444444,"[0.6666666666666666, 0.2222222222222222]","[0.6666666666666666, 0.2222222222222222]","[0.6666666666666666, 0.2222222222222222]","[21, 9]",0.4666666666666667,-0.11111111111111116
