fold,experiment,n_inner_folds,n_train_conditions,n_test_conditions,train_subjects,test_subjects,selected_code_C,selected_face_C,selected_alpha_face,n,accuracy,balanced_accuracy,macro_f1,per_class_recall,per_class_precision,per_class_f1,support,mae,quadratic_weighted_kappa
1,code_only,4,110,30,P002|P004|P005|P007|P009|P010|P013|P014|P015|P016|P017|P018|P019|P021|P023|P024|P025|P026|P027|P028|P029|P030,P001|P003|P006|P008|P011|P020,1.0,,,30,0.6666666666666666,0.6574074074074073,0.6626984126984128,"[0.75, 0.6666666666666666, 0.5555555555555556]","[0.75, 0.5, 0.8333333333333334]","[0.75, 0.5714285714285715, 0.6666666666666667]","[12, 9, 9]",0.36666666666666664,0.656084656084656
1,face_raw,4,110,30,P002|P004|P005|P007|P009|P010|P013|P014|P015|P016|P017|P018|P019|P021|P023|P024|P025|P026|P027|P028|P029|P030,P001|P003|P006|P008|P011|P020,,0.001,,30,0.4,0.3703703703703704,0.3123938879456707,"[0.6666666666666666, 0.0, 0.4444444444444444]","[0.42105263157894735, 0.0, 0.4]","[0.5161290322580646, 0.0, 0.4210526315789474]","[12, 9, 9]",0.8666666666666667,0.12863070539419097
1,face_trial_delta,4,110,30,P002|P004|P005|P007|P009|P010|P013|P014|P015|P016|P017|P018|P019|P021|P023|P024|P025|P026|P027|P028|P029|P030,P001|P003|P006|P008|P011|P020,,0.001,,30,0.36666666666666664,0.34259259259259256,0.30701754385964913,"[0.5833333333333334, 0.0, 0.4444444444444444]","[0.4375, 0.0, 0.4]","[0.5, 0.0, 0.4210526315789474]","[12, 9, 9]",0.8333333333333334,0.19213973799126638
1,face_water_delta,4,110,30,P002|P004|P005|P007|P009|P010|P013|P014|P015|P016|P017|P018|P019|P021|P023|P024|P025|P026|P027|P028|P029|P030,P001|P003|P006|P008|P011|P020,,1.0,,30,0.3,0.28703703703703703,0.27633899563724124,"[0.4166666666666667, 0.1111111111111111, 0.3333333333333333]","[0.3333333333333333, 0.2, 0.3]","[0.3703703703703704, 0.14285714285714285, 0.3157894736842105]","[12, 9, 9]",1.0,-0.06666666666666665
1,fusion_raw,4,110,30,P002|P004|P005|P007|P009|P010|P013|P014|P015|P016|P017|P018|P019|P021|P023|P024|P025|P026|P027|P028|P029|P030,P001|P003|P006|P008|P011|P020,1.0,0.001,0.25,30,0.6666666666666666,0.6574074074074074,0.6574074074074074,"[0.75, 0.5555555555555556, 0.6666666666666666]","[0.75, 0.5555555555555556, 0.6666666666666666]","[0.75, 0.5555555555555556, 0.6666666666666666]","[12, 9, 9]",0.4,0.6135265700483092
1,fusion_trial_delta,4,110,30,P002|P004|P005|P007|P009|P010|P013|P014|P015|P016|P017|P018|P019|P021|P023|P024|P025|P026|P027|P028|P029|P030,P001|P003|P006|P008|P011|P020,1.0,0.001,0.25,30,0.6333333333333333,0.6203703703703703,0.621517027863777,"[0.75, 0.5555555555555556, 0.5555555555555556]","[0.75, 0.5, 0.625]","[0.75, 0.5263157894736842, 0.5882352941176471]","[12, 9, 9]",0.43333333333333335,0.5771144278606966
1,fusion_water_delta,4,110,30,P002|P004|P005|P007|P009|P010|P013|P014|P015|P016|P017|P018|P019|P021|P023|P024|P025|P026|P027|P028|P029|P030,P001|P003|P006|P008|P011|P020,0.1,0.001,0.25,30,0.6666666666666666,0.6574074074074074,0.6574074074074074,"[0.75, 0.5555555555555556, 0.6666666666666666]","[0.75, 0.5555555555555556, 0.6666666666666666]","[0.75, 0.5555555555555556, 0.6666666666666666]","[12, 9, 9]",0.4,0.6135265700483092
2,code_only,4,110,30,P001|P003|P004|P005|P006|P007|P008|P009|P010|P011|P013|P014|P018|P019|P020|P021|P023|P025|P026|P027|P028|P029,P002|P015|P016|P017|P024|P030,0.1,,,30,0.5666666666666667,0.5291005291005291,0.5372405372405372,"[0.7142857142857143, 0.4444444444444444, 0.42857142857142855]","[0.8333333333333334, 0.3333333333333333, 0.5]","[0.7692307692307692, 0.380952380952381, 0.4615384615384615]","[14, 9, 7]",0.43333333333333335,0.6408839779005525
2,face_raw,4,110,30,P001|P003|P004|P005|P006|P007|P008|P009|P010|P011|P013|P014|P018|P019|P020|P021|P023|P025|P026|P027|P028|P029,P002|P015|P016|P017|P024|P030,,0.001,,30,0.5,0.5026455026455027,0.4673721340388008,"[0.5714285714285714, 0.2222222222222222, 0.7142857142857143]","[0.6153846153846154, 0.6666666666666666, 0.35714285714285715]","[0.5925925925925927, 0.3333333333333333, 0.4761904761904762]","[14, 9, 7]",0.7333333333333333,0.25722145804676755
2,face_trial_delta,4,110,30,P001|P003|P004|P005|P006|P007|P008|P009|P010|P011|P013|P014|P018|P019|P020|P021|P023|P025|P026|P027|P028|P029,P002|P015|P016|P017|P024|P030,,0.001,,30,0.43333333333333335,0.44179894179894186,0.3848484848484848,"[0.5, 0.1111111111111111, 0.7142857142857143]","[0.5, 1.0, 0.3333333333333333]","[0.5, 0.19999999999999998, 0.4545454545454545]","[14, 9, 7]",0.8666666666666667,0.12813738441215328
