fold,experiment,C,balanced_accuracy,macro_f1,negative_log_likelihood,code_C,face_C,alpha_face
1,code_only,0.001,0.6103197674418605,0.6079887657980966,1.077669332457786,,,
1,code_only,0.01,0.6103197674418605,0.6079887657980966,0.9565769285285841,,,
1,code_only,0.1,0.6103197674418605,0.6079887657980966,0.7814126026539684,,,
1,code_only,1.0,0.6103197674418605,0.6079887657980966,0.7583386216261746,,,
1,code_only,10.0,0.6103197674418605,0.6079887657980966,0.7981660414339242,,,
1,face_raw,0.001,0.37196151716500553,0.37023809523809526,1.1275862249735153,,,
1,face_raw,0.01,0.3453765227021041,0.33476470638175043,1.4852494177821216,,,
1,face_raw,0.1,0.34271179401993357,0.3345238095238095,2.436438856248999,,,
1,face_raw,1.0,0.35046373200442965,0.34402269764588606,3.6699626839375603,,,
1,face_raw,10.0,0.34004706533776297,0.33436086189709374,5.1211960789745214,,,
1,face_trial_delta,0.001,0.3874653931339978,0.3862017075118236,1.0916366830739774,,,
1,face_trial_delta,0.01,0.3692829457364341,0.3686079241634797,1.3471864978001098,,,
1,face_trial_delta,0.1,0.3537790697674419,0.3519736842105263,2.110462623367096,,,
1,face_trial_delta,1.0,0.35555094130675524,0.3519610663598005,3.1219796198988132,,,
1,face_trial_delta,10.0,0.35555094130675524,0.35202991452991456,4.284113337560815,,,
1,face_water_delta,0.001,0.3123684939091916,0.3093211289092296,1.1344495155069474,,,
1,face_water_delta,0.01,0.33473145071982285,0.3349358974358974,1.410650546419043,,,
1,face_water_delta,0.1,0.3770487264673312,0.3770487264673312,2.226166475329351,,,
1,face_water_delta,1.0,0.3848006644518272,0.3845368982175579,3.348499277885922,,,
1,face_water_delta,10.0,0.3770487264673312,0.3770487264673312,4.486154225700366,,,
1,fusion_raw,,0.6103197674418605,0.6079887657980966,1.077669332457786,0.001,0.001,0.0
1,fusion_raw,,0.5248062015503876,0.5241744661360435,1.0772652512983978,0.001,0.001,0.1
