fold,window,rank_by_training_f_score,summary_feature_index,node,source_feature,statistic,training_f_score
1,0:2,1,431,nose_upperlip_L,baseline_robust_z,slope_per_second,7.311328411102295
1,0:2,2,430,nose_upperlip_L,baseline_robust_z,late_minus_early,6.1796746253967285
1,0:2,3,446,corner_horizontal_R,velocity,quantile_10,5.244008541107178
1,0:2,4,459,corner_horizontal_R,abs_velocity,quantile_90,5.148186683654785
1,0:2,5,395,nose_upperlip_R,baseline_robust_z,slope_per_second,4.7871294021606445
1,0:2,6,453,corner_horizontal_R,acceleration,quantile_90,4.645568370819092
1,0:2,7,408,nose_upperlip_L,velocity,mean,4.15306282043457
1,0:2,8,427,nose_upperlip_L,baseline_robust_z,std,4.027895450592041
1,0:2,9,394,nose_upperlip_R,baseline_robust_z,late_minus_early,3.8942906856536865
1,0:2,10,456,corner_horizontal_R,abs_velocity,mean,3.872835397720337
1,0:2,11,312,alar_extent_R,abs_velocity,mean,3.867448329925537
1,0:2,12,301,alar_extent_R,velocity,std,3.801710367202759
1,0:2,13,313,alar_extent_R,abs_velocity,std,3.7150659561157227
1,0:2,14,152,eye_open_R,delta,quantile_10,3.6691954135894775
1,0:2,15,188,eye_open_L,delta,quantile_10,3.6267905235290527
1,0:2,16,429,nose_upperlip_L,baseline_robust_z,quantile_90,3.5886759757995605
1,0:2,17,251,lid_cheek_gap_R,baseline_robust_z,slope_per_second,3.4724559783935547
1,0:2,18,138,outer_brow_L,baseline_robust_z,mean,3.3153557777404785
1,0:2,19,150,eye_open_R,delta,mean,3.3110227584838867
1,0:2,20,638,outer_mouth_open,abs_velocity,quantile_10,3.296900749206543
1,0:2,21,177,eye_open_R,baseline_robust_z,quantile_90,3.2698135375976562
1,0:2,22,25,inner_brow_R,abs_velocity,std,3.2427377700805664
1,0:2,23,444,corner_horizontal_R,velocity,mean,3.194531202316284
1,0:2,24,213,eye_open_L,baseline_robust_z,quantile_90,3.169959306716919
1,0:2,25,174,eye_open_R,baseline_robust_z,mean,3.15964412689209
1,0:2,26,186,eye_open_L,delta,mean,3.143301486968994
1,0:2,27,315,alar_extent_R,abs_velocity,quantile_90,3.073511838912964
1,0:2,28,445,corner_horizontal_R,velocity,std,3.013643980026245
1,0:2,29,457,corner_horizontal_R,abs_velocity,std,2.976858377456665
1,0:2,30,372,nose_upperlip_R,velocity,mean,2.951056957244873
1,0:2,31,401,nose_upperlip_L,value,slope_per_second,2.9423186779022217
1,0:2,32,407,nose_upperlip_L,delta,slope_per_second,2.9423186779022217
1,0:2,33,96,outer_brow_R,abs_velocity,mean,2.906078338623047
1,0:2,34,307,alar_extent_R,acceleration,std,2.89516544342041
1,0:2,35,522,corner_vertical_R,acceleration,mean,2.891799211502075
1,0:2,36,302,alar_extent_R,velocity,quantile_10,2.8178319931030273
1,0:2,37,426,nose_upperlip_L,baseline_robust_z,mean,2.8161892890930176
1,0:2,38,406,nose_upperlip_L,delta,late_minus_early,2.7799766063690186
1,0:2,39,400,nose_upperlip_L,value,late_minus_early,2.7799758911132812
1,0:2,40,717,jaw_open,baseline_robust_z,quantile_90,2.7506966590881348
1,0:2,41,250,lid_cheek_gap_R,baseline_robust_z,late_minus_early,2.746575117111206
1,0:2,42,422,nose_upperlip_L,abs_velocity,quantile_10,2.7430622577667236
1,0:2,43,489,corner_horizontal_L,acceleration,quantile_90,2.737703561782837
1,0:2,44,42,inner_brow_L,delta,mean,2.722311496734619
1,0:2,45,249,lid_cheek_gap_R,baseline_robust_z,quantile_90,2.697716236114502
1,0:2,46,85,outer_brow_R,velocity,std,2.685945510864258
1,0:2,47,212,eye_open_L,baseline_robust_z,quantile_10,2.684938907623291
1,0:2,48,209,eye_open_L,abs_velocity,slope_per_second,2.6744093894958496
1,0:2,49,674,lowerlip_chin_gap,abs_velocity,quantile_10,2.648966073989868
1,0:2,50,393,nose_upperlip_R,baseline_robust_z,quantile_90,2.6484782695770264
1,0:2,51,246,lid_cheek_gap_R,baseline_robust_z,mean,2.6455461978912354
1,0:2,52,357,alar_extent_L,baseline_robust_z,quantile_90,2.640974283218384
1,0:2,53,84,outer_brow_R,velocity,mean,2.594761610031128
1,0:2,54,683,lowerlip_chin_gap,baseline_robust_z,slope_per_second,2.5843160152435303
1,0:2,55,285,lid_cheek_gap_L,baseline_robust_z,quantile_90,2.5586109161376953
1,0:2,56,12,inner_brow_R,velocity,mean,2.557115077972412
1,0:2,57,61,inner_brow_L,abs_velocity,std,2.5566675662994385
1,0:2,58,13,inner_brow_R,velocity,std,2.553899049758911
1,0:2,59,653,lowerlip_chin_gap,value,slope_per_second,2.5450539588928223
1,0:2,60,659,lowerlip_chin_gap,delta,slope_per_second,2.545053482055664
1,0:2,61,463,corner_horizontal_R,baseline_robust_z,std,2.5197134017944336
1,0:2,62,391,nose_upperlip_R,baseline_robust_z,std,2.5190935134887695
1,0:2,63,210,eye_open_L,baseline_robust_z,mean,2.487328290939331
1,0:2,64,6,inner_brow_R,delta,mean,2.4757936000823975
2,0:2,1,494,corner_horizontal_L,abs_velocity,quantile_10,5.218055248260498
2,0:2,2,427,nose_upperlip_L,baseline_robust_z,std,5.032153606414795
2,0:2,3,98,outer_brow_R,abs_velocity,quantile_10,4.953616619110107
2,0:2,4,205,eye_open_L,abs_velocity,std,4.514553070068359
2,0:2,5,312,alar_extent_R,abs_velocity,mean,4.424191474914551
2,0:2,6,431,nose_upperlip_L,baseline_robust_z,slope_per_second,4.417929172515869
2,0:2,7,96,outer_brow_R,abs_velocity,mean,4.104220390319824
2,0:2,8,193,eye_open_L,velocity,std,3.9681575298309326
2,0:2,9,199,eye_open_L,acceleration,std,3.943446397781372
2,0:2,10,674,lowerlip_chin_gap,abs_velocity,quantile_10,3.7635276317596436
2,0:2,11,311,alar_extent_R,acceleration,slope_per_second,3.751786231994629
2,0:2,12,208,eye_open_L,abs_velocity,late_minus_early,3.7322921752929688
2,0:2,13,357,alar_extent_L,baseline_robust_z,quantile_90,3.67556095123291
2,0:2,14,430,nose_upperlip_L,baseline_robust_z,late_minus_early,3.5158228874206543
2,0:2,15,24,inner_brow_R,abs_velocity,mean,3.491132974624634
