fold,window,window_start_seconds,window_end_seconds,k_features,selection_strategy,C,balanced_accuracy,macro_f1,negative_log_likelihood
1,0:2,0.0,2.0,0,all_after_variance,0.01,0.31568383167220376,0.3151684640977308,1.3704357889505356
1,0:2,0.0,2.0,0,all_after_variance,0.1,0.3010728128460686,0.2989331580370929,2.15748341426141
1,0:2,0.0,2.0,0,all_after_variance,1.0,0.3010728128460686,0.2990070352172883,3.2706612125707033
1,0:2,0.0,2.0,8,kbest,0.01,0.3617732558139535,0.35642135642135647,1.0976359695165612
1,0:2,0.0,2.0,8,kbest,0.1,0.3486918604651163,0.3459425237203015,1.1924939374895371
1,0:2,0.0,2.0,8,kbest,1.0,0.36686046511627907,0.36486291486291483,1.3447845853185307
1,0:2,0.0,2.0,16,kbest,0.01,0.34207502768549275,0.3253920984713123,1.1142695193841172
1,0:2,0.0,2.0,16,kbest,0.1,0.34958471760797344,0.34715976968472645,1.2371377369986611
1,0:2,0.0,2.0,16,kbest,1.0,0.34781284606866003,0.3474799779066556,1.3988199365563918
1,0:2,0.0,2.0,32,kbest,0.01,0.3826065891472868,0.3723723723723724,1.1473400193279686
1,0:2,0.0,2.0,32,kbest,0.1,0.3617732558139535,0.35642135642135647,1.3194713973947818
1,0:2,0.0,2.0,32,kbest,1.0,0.38236434108527134,0.38182213524679276,1.729602291928569
1,0:2,0.0,2.0,64,kbest,0.01,0.41094961240310074,0.4082486480061806,1.1618215404319465
1,0:2,0.0,2.0,64,kbest,0.1,0.41782253599114066,0.41512417210016167,1.4464253739889346
1,0:2,0.0,2.0,64,kbest,1.0,0.41094961240310074,0.4099657775714114,2.5200259139419354
1,2:4,2.0,4.0,0,all_after_variance,0.01,0.35111434108527134,0.3520150508256384,1.3994591880005707
1,2:4,2.0,4.0,0,all_after_variance,0.1,0.282890365448505,0.2843020613661082,2.2104794233579663
1,2:4,2.0,4.0,0,all_after_variance,1.0,0.2864341085271318,0.2853241800152555,3.383138082362089
1,2:4,2.0,4.0,8,kbest,0.01,0.32722176079734216,0.31873015873015875,1.1052726986980088
1,2:4,2.0,4.0,8,kbest,0.1,0.32366417497231453,0.3209007489200726,1.242873076544014
1,2:4,2.0,4.0,8,kbest,1.0,0.31146179401993357,0.30902585836250845,1.5193012161343034
1,2:4,2.0,4.0,16,kbest,0.01,0.40407668881506087,0.4000974658869396,1.1100375197651717
1,2:4,2.0,4.0,16,kbest,0.1,0.39010243632336655,0.3880869624480338,1.3200773323132162
1,2:4,2.0,4.0,16,kbest,1.0,0.3716915836101882,0.36654363305444543,1.7701708218424783
1,2:4,2.0,4.0,32,kbest,0.01,0.36749723145071983,0.3731957496468276,1.1051583848860076
1,2:4,2.0,4.0,32,kbest,0.1,0.3553086932447398,0.35625729174768606,1.3573040377221663
1,2:4,2.0,4.0,32,kbest,1.0,0.3830011074197121,0.3849576476115464,1.971186579041279
1,2:4,2.0,4.0,64,kbest,0.01,0.3603959025470653,0.36068424121272696,1.1555577496916816
1,2:4,2.0,4.0,64,kbest,0.1,0.3249515503875969,0.3247152029826015,1.522173597270241
1,2:4,2.0,4.0,64,kbest,1.0,0.3287375415282392,0.32649925024794285,2.6746648865846976
1,4:6,4.0,6.0,0,all_after_variance,0.01,0.3344892026578073,0.33291394595742424,1.4365351609994494
1,4:6,4.0,6.0,0,all_after_variance,0.1,0.27821151716500553,0.275266762223284,2.2751639087002573
1,4:6,4.0,6.0,0,all_after_variance,1.0,0.25495570321151717,0.25504009344062223,3.4604253141499295
1,4:6,4.0,6.0,8,kbest,0.01,0.30679678848283504,0.30844604847341633,1.1455611531460645
1,4:6,4.0,6.0,8,kbest,0.1,0.2895210409745293,0.2916666666666667,1.252151339474174
1,4:6,4.0,6.0,8,kbest,1.0,0.32585825027685494,0.32910740053597193,1.4026241588366983
1,4:6,4.0,6.0,16,kbest,0.01,0.27845376522702103,0.27908041265286604,1.1747954684684145
1,4:6,4.0,6.0,16,kbest,0.1,0.25851328903654486,0.259018759018759,1.3535246572961122
1,4:6,4.0,6.0,16,kbest,1.0,0.3276162790697674,0.32492697277461874,1.678219338540062
1,4:6,4.0,6.0,32,kbest,0.01,0.3070390365448505,0.30694476394959486,1.2127767110459553
1,4:6,4.0,6.0,32,kbest,0.1,0.29153516057585827,0.2907102993404363,1.5713304858110457
1,4:6,4.0,6.0,32,kbest,1.0,0.3502214839424142,0.3503186444362915,2.278129776278251
1,4:6,4.0,6.0,64,kbest,0.01,0.28443383167220376,0.28469229905023635,1.257944628631438
1,4:6,4.0,6.0,64,kbest,0.1,0.28199750830564785,0.2802750118539592,1.7000179408568654
1,4:6,4.0,6.0,64,kbest,1.0,0.29241417497231453,0.2896090796158832,2.866536452205802
1,6:8,6.0,8.0,0,all_after_variance,0.01,0.3147909745293466,0.3169950017776105,1.4592313796712701
1,6:8,6.0,8.0,0,all_after_variance,0.1,0.3311738648947951,0.3335204853475569,2.319505599202634
1,6:8,6.0,8.0,0,all_after_variance,1.0,0.323421926910299,0.3252342936480389,3.4977930368043992
1,6:8,6.0,8.0,8,kbest,0.01,0.3606243078626799,0.36261240381941223,1.1283703405313132
1,6:8,6.0,8.0,8,kbest,0.1,0.3502076411960133,0.3510822510822511,1.3558913472145333
1,6:8,6.0,8.0,8,kbest,1.0,0.3406838316722038,0.34733524503345475,1.6798204309859193
1,6:8,6.0,8.0,16,kbest,0.01,0.3406838316722038,0.3407124014624439,1.1504987867876855
1,6:8,6.0,8.0,16,kbest,0.1,0.3553086932447398,0.3593846852273819,1.4138260551125685
1,6:8,6.0,8.0,16,kbest,1.0,0.2981519933554817,0.3014545840632797,1.8238580596410499
1,6:8,6.0,8.0,32,kbest,0.01,0.3276162790697674,0.33138383318517134,1.1838621127519777
1,6:8,6.0,8.0,32,kbest,0.1,0.30590393133997784,0.3080997183819765,1.4662632543912049
1,6:8,6.0,8.0,32,kbest,1.0,0.34313399778516057,0.3443958356702936,2.1134308297038755
1,6:8,6.0,8.0,64,kbest,0.01,0.3207571982281285,0.32142974428110926,1.2442320672979834
1,6:8,6.0,8.0,64,kbest,0.1,0.3103405315614618,0.3099069512862616,1.6496214212778804
1,6:8,6.0,8.0,64,kbest,1.0,0.3285091362126246,0.3299359844135964,2.8585626006982108
1,8:10,8.0,10.0,0,all_after_variance,0.01,0.3196497785160576,0.3145148960335488,1.5451985113039595
1,8:10,8.0,10.0,0,all_after_variance,0.1,0.29106450719822813,0.2840104026544705,2.6810174383827046
1,8:10,8.0,10.0,0,all_after_variance,1.0,0.26603682170542636,0.2606837606837607,4.3285734405895315
1,8:10,8.0,10.0,8,kbest,0.01,0.26449335548172753,0.26517857142857143,1.1528637427727448
1,8:10,8.0,10.0,8,kbest,0.1,0.26005675526024363,0.25735644895480964,1.3086064274083984
1,8:10,8.0,10.0,8,kbest,1.0,0.2695805647840532,0.2660791589363018,1.395504883886529
1,8:10,8.0,10.0,16,kbest,0.01,0.3050249169435216,0.3046310095490423,1.2091625207389225
1,8:10,8.0,10.0,16,kbest,0.1,0.29460825027685494,0.29166481275491285,1.4983349262526062
1,8:10,8.0,10.0,16,kbest,1.0,0.3163205980066445,0.31641449683321604,1.9775982294206988
