fold,experiment,rank_by_training_f_score,summary_feature_index,training_f_score,node,source_feature,statistic,feature_family
1,video_raw,1,969,5.0545573234558105,nose_alar_left,velocity_aspect,absolute_max,absolute_motion
1,video_raw,2,1017,4.58376932144165,lower_lip,velocity_aspect,absolute_max,absolute_motion
1,video_raw,3,356,4.2660956382751465,eye_right_upper,velocity_x,quantile_10,temporal
1,video_raw,4,33,3.934781551361084,brow_left_inner,velocity_x,quantile_90,temporal
1,video_raw,5,617,3.8459384441375732,upper_lip,area,temporal_slope,temporal
1,video_raw,6,39,3.7602899074554443,brow_left_inner,velocity_y,quantile_90,temporal
1,video_raw,7,87,3.655353546142578,brow_left_outer,velocity_x,quantile_90,temporal
1,video_raw,8,32,3.6544106006622314,brow_left_inner,velocity_x,quantile_10,temporal
1,video_raw,9,1020,3.642632007598877,lip_corners,velocity_x,absolute_quantile_90,absolute_motion
1,video_raw,10,511,3.5447723865509033,nose_alar_left,aspect,std,temporal
1,video_raw,11,820,3.5030853748321533,brow_left_inner,velocity_area,absolute_quantile_90,absolute_motion
1,video_raw,12,50,3.412339448928833,brow_left_inner,velocity_aspect,quantile_10,temporal
1,video_raw,13,86,3.3810155391693115,brow_left_outer,velocity_x,quantile_10,temporal
1,video_raw,14,923,3.3490610122680664,eye_right_lower,velocity_x,absolute_std,absolute_motion
1,video_raw,15,411,3.3169710636138916,eye_right_lower,velocity_x,quantile_90,temporal
1,video_raw,16,729,3.225675106048584,lip_corners,aspect,quantile_90,temporal
1,video_raw,17,422,3.2213687896728516,eye_right_lower,velocity_area,quantile_10,temporal
1,video_raw,18,44,3.1427602767944336,brow_left_inner,velocity_area,quantile_10,temporal
1,video_raw,19,31,3.1386871337890625,brow_left_inner,velocity_x,std,temporal
1,video_raw,20,932,3.1384921073913574,eye_right_lower,velocity_area,absolute_quantile_90,absolute_motion
1,video_raw,21,40,3.0985686779022217,brow_left_inner,velocity_y,late_minus_early,temporal
1,video_raw,22,810,3.062565803527832,brow_left_inner,velocity_x,absolute_mean,absolute_motion
1,video_raw,23,104,3.0573770999908447,brow_left_outer,velocity_aspect,quantile_10,temporal
1,video_raw,24,303,3.0371291637420654,eye_left_lower,velocity_x,quantile_90,temporal
1,video_raw,25,190,2.968616247177124,brow_right_outer,aspect,late_minus_early,temporal
1,video_raw,26,818,2.9477736949920654,brow_left_inner,velocity_area,absolute_mean,absolute_motion
1,video_raw,27,616,2.9224748611450195,upper_lip,area,late_minus_early,temporal
1,video_raw,28,812,2.8522350788116455,brow_left_inner,velocity_x,absolute_quantile_90,absolute_motion
1,video_raw,29,130,2.835789203643799,brow_right_inner,area,late_minus_early,temporal
1,video_raw,30,423,2.8212528228759766,eye_right_lower,velocity_area,quantile_90,temporal
1,video_raw,31,811,2.809804677963257,brow_left_inner,velocity_x,absolute_std,absolute_motion
1,video_raw,32,49,2.80694580078125,brow_left_inner,velocity_aspect,std,temporal
1,video_trial_delta,1,969,5.0545573234558105,nose_alar_left,velocity_aspect,absolute_max,absolute_motion
1,video_trial_delta,2,1017,4.58376932144165,lower_lip,velocity_aspect,absolute_max,absolute_motion
1,video_trial_delta,3,356,4.2660956382751465,eye_right_upper,velocity_x,quantile_10,temporal
1,video_trial_delta,4,134,4.065346717834473,brow_right_inner,aspect,quantile_10,temporal
1,video_trial_delta,5,33,3.934781551361084,brow_left_inner,velocity_x,quantile_90,temporal
1,video_trial_delta,6,617,3.845937967300415,upper_lip,area,temporal_slope,temporal
1,video_trial_delta,7,39,3.7602899074554443,brow_left_inner,velocity_y,quantile_90,temporal
1,video_trial_delta,8,87,3.655353546142578,brow_left_outer,velocity_x,quantile_90,temporal
1,video_trial_delta,9,32,3.6544106006622314,brow_left_inner,velocity_x,quantile_10,temporal
1,video_trial_delta,10,1020,3.642632007598877,lip_corners,velocity_x,absolute_quantile_90,absolute_motion
1,video_trial_delta,11,511,3.544771432876587,nose_alar_left,aspect,std,temporal
