fold,experiment,n_inner_folds,n_train_conditions,n_test_conditions,train_subjects,test_subjects,selected_strategy,selected_k_candidate,selected_feature_count,selected_C,n,accuracy,balanced_accuracy,macro_f1,per_class_recall,per_class_precision,per_class_f1,support,mae,quadratic_weighted_kappa
1,video_raw,3,110,30,P001|P002|P005|P006|P007|P008|P009|P010|P014|P015|P016|P017|P018|P019|P020|P021|P023|P025|P026|P028|P029|P030,P003|P004|P011|P013|P024|P027,kbest,32,32,1.0,30,0.4666666666666667,0.45,0.4444444444444444,"[0.5, 0.4]","[0.625, 0.2857142857142857]","[0.5555555555555556, 0.3333333333333333]","[20, 10]",0.5333333333333333,-0.09090909090909083
1,video_trial_delta,3,110,30,P001|P002|P005|P006|P007|P008|P009|P010|P014|P015|P016|P017|P018|P019|P020|P021|P023|P025|P026|P028|P029|P030,P003|P004|P011|P013|P024|P027,all_after_variance,0,1034,0.01,30,0.6333333333333333,0.6,0.5970695970695971,"[0.7, 0.5]","[0.7368421052631579, 0.45454545454545453]","[0.717948717948718, 0.47619047619047616]","[20, 10]",0.36666666666666664,0.19512195121951215
1,video_water_delta,3,110,30,P001|P002|P005|P006|P007|P008|P009|P010|P014|P015|P016|P017|P018|P019|P020|P021|P023|P025|P026|P028|P029|P030,P003|P004|P011|P013|P024|P027,kbest,32,32,0.01,30,0.4666666666666667,0.45,0.4444444444444444,"[0.5, 0.4]","[0.625, 0.2857142857142857]","[0.5555555555555556, 0.3333333333333333]","[20, 10]",0.5333333333333333,-0.09090909090909083
2,video_raw,3,110,30,P002|P003|P004|P006|P007|P008|P009|P010|P011|P013|P014|P016|P017|P018|P019|P024|P025|P026|P027|P028|P029|P030,P001|P005|P015|P020|P021|P023,kbest,64,64,0.1,30,0.5666666666666667,0.4365079365079365,0.4222222222222222,"[0.7619047619047619, 0.1111111111111111]","[0.6666666666666666, 0.16666666666666666]","[0.7111111111111111, 0.13333333333333333]","[21, 9]",0.43333333333333335,-0.14035087719298245
2,video_trial_delta,3,110,30,P002|P003|P004|P006|P007|P008|P009|P010|P011|P013|P014|P016|P017|P018|P019|P024|P025|P026|P027|P028|P029|P030,P001|P005|P015|P020|P021|P023,kbest,64,64,1.0,30,0.5333333333333333,0.4444444444444444,0.4444444444444444,"[0.6666666666666666, 0.2222222222222222]","[0.6666666666666666, 0.2222222222222222]","[0.6666666666666666, 0.2222222222222222]","[21, 9]",0.4666666666666667,-0.11111111111111116
2,video_water_delta,3,110,30,P002|P003|P004|P006|P007|P008|P009|P010|P011|P013|P014|P016|P017|P018|P019|P024|P025|P026|P027|P028|P029|P030,P001|P005|P015|P020|P021|P023,all_after_variance,0,1034,0.01,30,0.6,0.42857142857142855,0.375,"[0.8571428571428571, 0.0]","[0.6666666666666666, 0.0]","[0.75, 0.0]","[21, 9]",0.4,-0.17647058823529416
3,video_raw,3,110,30,P001|P002|P003|P004|P005|P008|P009|P010|P011|P013|P015|P018|P019|P020|P021|P023|P024|P025|P026|P027|P028|P029,P006|P007|P014|P016|P017|P030,kbest,64,64,1.0,30,0.5,0.38888888888888884,0.3844049247606019,"[0.6666666666666666, 0.1111111111111111]","[0.6363636363636364, 0.125]","[0.6511627906976744, 0.11764705882352941]","[21, 9]",0.5,-0.2295081967213115
3,video_trial_delta,3,110,30,P001|P002|P003|P004|P005|P008|P009|P010|P011|P013|P015|P018|P019|P020|P021|P023|P024|P025|P026|P027|P028|P029,P006|P007|P014|P016|P017|P030,all_after_variance,0,1034,0.01,30,0.6666666666666666,0.5714285714285714,0.5738636363636364,"[0.8095238095238095, 0.3333333333333333]","[0.7391304347826086, 0.42857142857142855]","[0.7727272727272727, 0.375]","[21, 9]",0.3333333333333333,0.15254237288135597
3,video_water_delta,3,110,30,P001|P002|P003|P004|P005|P008|P009|P010|P011|P013|P015|P018|P019|P020|P021|P023|P024|P025|P026|P027|P028|P029,P006|P007|P014|P016|P017|P030,all_after_variance,0,1034,1.0,30,0.5333333333333333,0.5079365079365079,0.4976076555023924,"[0.5714285714285714, 0.4444444444444444]","[0.7058823529411765, 0.3076923076923077]","[0.6315789473684211, 0.3636363636363637]","[21, 9]",0.4666666666666667,0.014084507042253502
4,video_raw,3,115,25,P001|P002|P003|P004|P005|P006|P007|P009|P011|P013|P014|P015|P016|P017|P020|P021|P023|P024|P025|P027|P028|P029|P030,P008|P010|P018|P019|P026,all_after_variance,0,1034,0.1,25,0.48,0.42063492063492064,0.4206773618538324,"[0.5555555555555556, 0.2857142857142857]","[0.6666666666666666, 0.2]","[0.606060606060606, 0.23529411764705882]","[18, 7]",0.52,-0.14035087719298245
4,video_trial_delta,3,115,25,P001|P002|P003|P004|P005|P006|P007|P009|P011|P013|P014|P015|P016|P017|P020|P021|P023|P024|P025|P027|P028|P029|P030,P008|P010|P018|P019|P026,kbest,64,64,1.0,25,0.6,0.5476190476190476,0.5404411764705883,"[0.6666666666666666, 0.42857142857142855]","[0.75, 0.3333333333333333]","[0.7058823529411765, 0.375]","[18, 7]",0.4,0.08759124087591252
4,video_water_delta,3,115,25,P001|P002|P003|P004|P005|P006|P007|P009|P011|P013|P014|P015|P016|P017|P020|P021|P023|P024|P025|P027|P028|P029|P030,P008|P010|P018|P019|P026,kbest,16,16,0.01,25,0.48,0.4642857142857143,0.44821731748726656,"[0.5, 0.42857142857142855]","[0.6923076923076923, 0.25]","[0.5806451612903226, 0.3157894736842105]","[18, 7]",0.52,-0.05863192182410404
5,video_raw,3,115,25,P001|P003|P004|P005|P006|P007|P008|P010|P011|P013|P014|P015|P016|P017|P018|P019|P020|P021|P023|P024|P026|P027|P030,P002|P009|P025|P028|P029,kbest,32,32,1.0,25,0.64,0.5972222222222222,0.5989304812834224,"[0.75, 0.4444444444444444]","[0.7058823529411765, 0.5]","[0.7272727272727272, 0.47058823529411764]","[16, 9]",0.36,0.19928825622775803
5,video_trial_delta,3,115,25,P001|P003|P004|P005|P006|P007|P008|P010|P011|P013|P014|P015|P016|P017|P018|P019|P020|P021|P023|P024|P026|P027|P030,P002|P009|P025|P028|P029,all_after_variance,0,1034,0.1,25,0.6,0.5416666666666666,0.5404411764705883,"[0.75, 0.3333333333333333]","[0.6666666666666666, 0.42857142857142855]","[0.7058823529411765, 0.375]","[16, 9]",0.4,0.08759124087591252
5,video_water_delta,3,115,25,P001|P003|P004|P005|P006|P007|P008|P010|P011|P013|P014|P015|P016|P017|P018|P019|P020|P021|P023|P024|P026|P027|P030,P002|P009|P025|P028|P029,all_after_variance,0,1034,0.1,25,0.48,0.44791666666666663,0.4482173174872665,"[0.5625, 0.3333333333333333]","[0.6, 0.3]","[0.5806451612903225, 0.3157894736842105]","[16, 9]",0.52,-0.10169491525423724
