fold,experiment,k_features,C,balanced_accuracy,macro_f1,negative_log_likelihood
1,video_raw,16,0.01,0.38722314507198224,0.3858210623299732,1.1652580196555316
1,video_raw,16,0.1,0.39939784053156147,0.39797979797979793,1.3123019164902916
1,video_raw,16,1.0,0.35885243632336655,0.3527430423982148,1.517861770153982
1,video_raw,32,0.01,0.3889950166112957,0.38836933926268974,1.2064626541827963
1,video_raw,32,0.1,0.370812569213732,0.3679738562091503,1.4157843674278594
1,video_raw,32,1.0,0.44103682170542635,0.4348464475046754,1.8803338384306505
1,video_raw,64,0.01,0.3949750830564784,0.39321548017200186,1.2417064832453761
1,video_raw,64,0.1,0.3657253599114065,0.3630678540778571,1.5718127433033147
1,video_raw,64,1.0,0.34246954595791806,0.3390452366062122,2.503411503867684
1,video_trial_delta,16,0.01,0.3958540974529347,0.39531142759094023,1.1604774970017793
1,video_trial_delta,16,0.1,0.37170542635658915,0.3703703703703704,1.2943539682484124
1,video_trial_delta,16,1.0,0.35087209302325584,0.34854432106798766,1.5290397901955668
1,video_trial_delta,32,0.01,0.4053779069767442,0.40352641708573916,1.198236073365802
1,video_trial_delta,32,0.1,0.373235049833887,0.36423936423936426,1.4310055342852928
1,video_trial_delta,32,1.0,0.40978682170542635,0.39778588036355944,1.9826944826753035
1,video_trial_delta,64,0.01,0.3889950166112957,0.388581174939776,1.227437929800886
1,video_trial_delta,64,0.1,0.37171926910299,0.37119120814772993,1.5196593496662207
1,video_trial_delta,64,1.0,0.3648325027685493,0.36016437923131633,2.323620177312923
1,video_water_delta,16,0.01,0.26182862679955704,0.25951323245565155,1.1863624089909202
1,video_water_delta,16,0.1,0.2573920265780731,0.25176867657558255,1.3787117091240018
1,video_water_delta,16,1.0,0.27200304540420817,0.26023024594453165,1.6289915400751647
1,video_water_delta,32,0.01,0.2904138981173865,0.29006723869737566,1.2024667630648924
1,video_water_delta,32,0.1,0.28443383167220376,0.28432098568112757,1.407570174759986
1,video_water_delta,32,1.0,0.35885243632336655,0.35266348638441664,1.8941165451936348
1,video_water_delta,64,0.01,0.28241971207087485,0.27307795970621923,1.2489470105202916
1,video_water_delta,64,0.1,0.2695805647840532,0.26546310832025116,1.6594910102678357
1,video_water_delta,64,1.0,0.34555647840531556,0.338360985419809,2.9761761795788484
2,video_raw,16,0.01,0.2944660791145726,0.28943649531884824,1.2178480272305305
2,video_raw,16,0.1,0.2754184600669536,0.26944444444444443,1.5577449671266057
2,video_raw,16,1.0,0.2995285919245747,0.29691894127378,1.9458107461936147
2,video_raw,32,0.01,0.30092232014757125,0.299465737514518,1.25522839454272
2,video_raw,32,0.1,0.2978547516567603,0.2962049829519709,1.7331515478251205
2,video_raw,32,1.0,0.27151055544168884,0.27239205669083716,3.021663357704841
2,video_raw,64,0.01,0.26394069823051175,0.2612294238683128,1.3143537030583925
2,video_raw,64,0.1,0.28861105417776867,0.28305190744215136,2.0098669418082555
