fold,experiment,n_inner_folds,n_train_conditions,n_test_conditions,train_subjects,test_subjects,selected_strategy,selected_k_candidate,selected_feature_count,selected_C,n,accuracy,balanced_accuracy,macro_f1,per_class_recall,per_class_precision,per_class_f1,support,mae,quadratic_weighted_kappa
1,video_raw,3,110,30,P002|P004|P005|P007|P009|P010|P013|P014|P015|P016|P017|P018|P019|P021|P023|P024|P025|P026|P027|P028|P029|P030,P001|P003|P006|P008|P011|P020,kbest,32,32,1.0,30,0.3333333333333333,0.34259259259259256,0.3238095238095238,"[0.25, 0.5555555555555556, 0.2222222222222222]","[0.3333333333333333, 0.3125, 0.4]","[0.28571428571428575, 0.39999999999999997, 0.2857142857142857]","[12, 9, 9]",0.8333333333333334,-0.023391812865497075
1,video_trial_delta,3,110,30,P002|P004|P005|P007|P009|P010|P013|P014|P015|P016|P017|P018|P019|P021|P023|P024|P025|P026|P027|P028|P029|P030,P001|P003|P006|P008|P011|P020,kbest,32,32,1.0,30,0.3333333333333333,0.3333333333333333,0.326984126984127,"[0.3333333333333333, 0.4444444444444444, 0.2222222222222222]","[0.4444444444444444, 0.26666666666666666, 0.3333333333333333]","[0.380952380952381, 0.33333333333333337, 0.26666666666666666]","[12, 9, 9]",0.8,0.096045197740113
1,video_water_delta,3,110,30,P002|P004|P005|P007|P009|P010|P013|P014|P015|P016|P017|P018|P019|P021|P023|P024|P025|P026|P027|P028|P029|P030,P001|P003|P006|P008|P011|P020,all_after_variance,0,1034,0.01,30,0.4,0.3703703703703704,0.3259259259259259,"[0.6666666666666666, 0.0, 0.4444444444444444]","[0.4444444444444444, 0.0, 0.4444444444444444]","[0.5333333333333333, 0.0, 0.4444444444444444]","[12, 9, 9]",0.8,0.22077922077922085
2,video_raw,3,110,30,P001|P003|P004|P005|P006|P007|P008|P009|P010|P011|P013|P014|P018|P019|P020|P021|P023|P025|P026|P027|P028|P029,P002|P015|P016|P017|P024|P030,kbest,32,32,0.01,30,0.43333333333333335,0.45502645502645506,0.4166666666666667,"[0.42857142857142855, 0.2222222222222222, 0.7142857142857143]","[0.6, 0.6666666666666666, 0.29411764705882354]","[0.5, 0.3333333333333333, 0.4166666666666667]","[14, 9, 7]",0.8666666666666667,0.1417425227568272
2,video_trial_delta,3,110,30,P001|P003|P004|P005|P006|P007|P008|P009|P010|P011|P013|P014|P018|P019|P020|P021|P023|P025|P026|P027|P028|P029,P002|P015|P016|P017|P024|P030,all_after_variance,0,1034,0.01,30,0.4666666666666667,0.5158730158730158,0.45876152832674566,"[0.35714285714285715, 0.3333333333333333, 0.8571428571428571]","[0.625, 0.5, 0.375]","[0.45454545454545453, 0.4, 0.5217391304347825]","[14, 9, 7]",0.7666666666666667,0.24076607387140891
2,video_water_delta,3,110,30,P001|P003|P004|P005|P006|P007|P008|P009|P010|P011|P013|P014|P018|P019|P020|P021|P023|P025|P026|P027|P028|P029,P002|P015|P016|P017|P024|P030,all_after_variance,0,1034,0.01,30,0.5,0.47883597883597884,0.45760880243638863,"[0.6428571428571429, 0.2222222222222222, 0.5714285714285714]","[0.6, 0.5, 0.36363636363636365]","[0.6206896551724138, 0.30769230769230765, 0.4444444444444444]","[14, 9, 7]",0.7,0.26883308714918774
3,video_raw,3,110,30,P001|P002|P003|P005|P006|P008|P009|P010|P011|P013|P015|P016|P017|P018|P019|P020|P021|P024|P025|P028|P029|P030,P004|P007|P014|P023|P026|P027,kbest,32,32,1.0,30,0.36666666666666664,0.35185185185185186,0.3460317460317461,"[0.5, 0.4444444444444444, 0.1111111111111111]","[0.6666666666666666, 0.26666666666666666, 0.16666666666666666]","[0.5714285714285715, 0.33333333333333337, 0.13333333333333333]","[12, 9, 9]",0.7333333333333333,0.20903954802259883
3,video_trial_delta,3,110,30,P001|P002|P003|P005|P006|P008|P009|P010|P011|P013|P015|P016|P017|P018|P019|P020|P021|P024|P025|P028|P029|P030,P004|P007|P014|P023|P026|P027,kbest,32,32,1.0,30,0.36666666666666664,0.3425925925925926,0.32919478182636075,"[0.5833333333333334, 0.3333333333333333, 0.1111111111111111]","[0.5, 0.3, 0.16666666666666666]","[0.5384615384615384, 0.3157894736842105, 0.13333333333333333]","[12, 9, 9]",0.8333333333333334,0.060913705583756306
3,video_water_delta,3,110,30,P001|P002|P003|P005|P006|P008|P009|P010|P011|P013|P015|P016|P017|P018|P019|P020|P021|P024|P025|P028|P029|P030,P004|P007|P014|P023|P026|P027,kbest,32,32,1.0,30,0.4666666666666667,0.47222222222222227,0.4671080553433495,"[0.4166666666666667, 0.4444444444444444, 0.5555555555555556]","[0.5555555555555556, 0.5, 0.38461538461538464]","[0.4761904761904762, 0.47058823529411764, 0.4545454545454546]","[12, 9, 9]",0.7666666666666667,0.1552511415525114
4,video_raw,3,115,25,P001|P002|P003|P004|P005|P006|P007|P008|P010|P011|P013|P014|P015|P016|P017|P018|P020|P023|P024|P025|P026|P027|P030,P009|P019|P021|P028|P029,all_after_variance,0,1034,0.01,25,0.36,0.36574074074074076,0.35323603125460706,"[0.375, 0.5, 0.2222222222222222]","[0.3333333333333333, 0.36363636363636365, 0.4]","[0.35294117647058826, 0.4210526315789474, 0.2857142857142857]","[8, 8, 9]",0.84,0.010217113665389577
4,video_trial_delta,3,115,25,P001|P002|P003|P004|P005|P006|P007|P008|P010|P011|P013|P014|P015|P016|P017|P018|P020|P023|P024|P025|P026|P027|P030,P009|P019|P021|P028|P029,all_after_variance,0,1034,0.01,25,0.36,0.3611111111111111,0.3620915032679739,"[0.375, 0.375, 0.3333333333333333]","[0.3, 0.3333333333333333, 0.5]","[0.33333333333333326, 0.35294117647058826, 0.4]","[8, 8, 9]",0.84,0.06962785114045622
4,video_water_delta,3,115,25,P001|P002|P003|P004|P005|P006|P007|P008|P010|P011|P013|P014|P015|P016|P017|P018|P020|P023|P024|P025|P026|P027|P030,P009|P019|P021|P028|P029,all_after_variance,0,1034,0.1,25,0.36,0.3703703703703704,0.3333333333333333,"[0.625, 0.375, 0.1111111111111111]","[0.29411764705882354, 0.42857142857142855, 1.0]","[0.4, 0.39999999999999997, 0.19999999999999998]","[8, 8, 9]",0.92,-0.019845644983462085
5,video_raw,3,115,25,P001|P002|P003|P004|P006|P007|P008|P009|P011|P014|P015|P016|P017|P019|P020|P021|P023|P024|P026|P027|P028|P029|P030,P005|P010|P013|P018|P025,kbest,16,16,0.1,25,0.32,0.3386243386243386,0.31851851851851853,"[0.2222222222222222, 0.2222222222222222, 0.5714285714285714]","[0.6666666666666666, 0.2222222222222222, 0.3076923076923077]","[0.3333333333333333, 0.2222222222222222, 0.4]","[9, 9, 7]",0.8,0.22619047619047605
5,video_trial_delta,3,115,25,P001|P002|P003|P004|P006|P007|P008|P009|P011|P014|P015|P016|P017|P019|P020|P021|P023|P024|P026|P027|P028|P029|P030,P005|P010|P013|P018|P025,kbest,64,64,0.1,25,0.32,0.3174603174603175,0.2896825396825397,"[0.1111111111111111, 0.5555555555555556, 0.2857142857142857]","[0.3333333333333333, 0.3333333333333333, 0.2857142857142857]","[0.16666666666666666, 0.4166666666666667, 0.2857142857142857]","[9, 9, 7]",0.8,0.024024024024024038
5,video_water_delta,3,115,25,P001|P002|P003|P004|P006|P007|P008|P009|P011|P014|P015|P016|P017|P019|P020|P021|P023|P024|P026|P027|P028|P029|P030,P005|P010|P013|P018|P025,all_after_variance,0,1034,0.01,25,0.36,0.3439153439153439,0.34276094276094277,"[0.5555555555555556, 0.3333333333333333, 0.14285714285714285]","[0.5555555555555556, 0.23076923076923078, 0.3333333333333333]","[0.5555555555555556, 0.27272727272727276, 0.2]","[9, 9, 7]",0.64,0.40828402366863903
