fold,experiment,C,balanced_accuracy,macro_f1,negative_log_likelihood,code_C,face_C,alpha_face
1,code_only,0.01,0.6048761609907121,0.5800069420340159,0.6811791404480543,,,
1,code_only,0.1,0.580108359133127,0.5436457539581746,0.6708957717838459,,,
1,code_only,1.0,0.580108359133127,0.5436457539581746,0.6948127238666865,,,
1,face_raw,0.01,0.4411764705882353,0.4344226579520697,0.8830485029549908,,,
1,face_raw,0.1,0.4198916408668731,0.4152505446623094,1.5177880429839725,,,
1,face_raw,1.0,0.4330495356037152,0.4292498460997274,8.750410708458311,,,
1,face_trial_delta,0.01,0.516640866873065,0.5089285714285714,0.8102652614563357,,,
1,face_trial_delta,0.1,0.4806501547987616,0.47661369961396893,1.243919837458774,,,
1,face_trial_delta,1.0,0.4806501547987616,0.47661369961396893,1.922721919076475,,,
1,face_water_delta,0.01,0.4508513931888545,0.4358974358974359,0.9927230923611206,,,
1,face_water_delta,0.1,0.47213622291021673,0.45470085470085464,1.9510726224943646,,,
1,face_water_delta,1.0,0.46555727554179566,0.44714200528154013,3.301620673938954,,,
1,fusion_raw,,0.6048761609907121,0.5800069420340159,0.6811791404480543,0.01,0.01,0.0
1,fusion_raw,,0.46091331269349844,0.4556380346412159,0.7434251252613991,0.01,0.01,0.5
1,fusion_raw,,0.4411764705882353,0.4344226579520697,0.8830485029549908,0.01,0.01,1.0
1,fusion_raw,,0.6048761609907121,0.5800069420340159,0.6811791404480543,0.01,0.1,0.0
1,fusion_raw,,0.4330495356037152,0.4292498460997274,0.9711562473811722,0.01,0.1,0.5
1,fusion_raw,,0.4198916408668731,0.4152505446623094,1.5177880429839725,0.01,0.1,1.0
1,fusion_raw,,0.6048761609907121,0.5800069420340159,0.6811791404480543,0.01,1.0,0.0
1,fusion_raw,,0.4396284829721362,0.43619653587840224,4.517941562118664,0.01,1.0,0.5
1,fusion_raw,,0.4330495356037152,0.4292498460997274,8.750410708458311,0.01,1.0,1.0
1,fusion_raw,,0.580108359133127,0.5436457539581746,0.6708957717838459,0.1,0.01,0.0
1,fusion_raw,,0.5116099071207431,0.4992997198879553,0.7282644142967994,0.1,0.01,0.5
1,fusion_raw,,0.4411764705882353,0.4344226579520697,0.8830485029549908,0.1,0.01,1.0
1,fusion_raw,,0.580108359133127,0.5436457539581746,0.6708957717838459,0.1,0.1,0.0
1,fusion_raw,,0.45588235294117646,0.4463727872266574,0.9515874661067957,0.1,0.1,0.5
1,fusion_raw,,0.4198916408668731,0.4152505446623094,1.5177880429839725,0.1,0.1,1.0
1,fusion_raw,,0.580108359133127,0.5436457539581746,0.6708957717838459,0.1,1.0,0.0
1,fusion_raw,,0.4411764705882353,0.4344226579520697,4.4946858447757805,0.1,1.0,0.5
1,fusion_raw,,0.4330495356037152,0.4292498460997274,8.750410708458311,0.1,1.0,1.0
1,fusion_raw,,0.580108359133127,0.5436457539581746,0.6948127238666865,1.0,0.01,0.0
1,fusion_raw,,0.5116099071207431,0.4992997198879553,0.7273568556878527,1.0,0.01,0.5
1,fusion_raw,,0.4411764705882353,0.4344226579520697,0.8830485029549908,1.0,0.01,1.0
1,fusion_raw,,0.580108359133127,0.5436457539581746,0.6948127238666865,1.0,0.1,0.0
1,fusion_raw,,0.46246130030959753,0.4535947712418301,0.9461139773368744,1.0,0.1,0.5
1,fusion_raw,,0.4198916408668731,0.4152505446623094,1.5177880429839725,1.0,0.1,1.0
1,fusion_raw,,0.580108359133127,0.5436457539581746,0.6948127238666865,1.0,1.0,0.0
1,fusion_raw,,0.44775541795665635,0.44152661064425774,4.4847286218464815,1.0,1.0,0.5
1,fusion_raw,,0.4330495356037152,0.4292498460997274,8.750410708458311,1.0,1.0,1.0
1,fusion_trial_delta,,0.6048761609907121,0.5800069420340159,0.6811791404480543,0.01,0.01,0.0
1,fusion_trial_delta,,0.5297987616099071,0.52329360780065,0.7101543050025594,0.01,0.01,0.5
1,fusion_trial_delta,,0.516640866873065,0.5089285714285714,0.8102652614563357,0.01,0.01,1.0
1,fusion_trial_delta,,0.6048761609907121,0.5800069420340159,0.6811791404480543,0.01,0.1,0.0
1,fusion_trial_delta,,0.4953560371517028,0.48928571428571427,0.8515923300982078,0.01,0.1,0.5
1,fusion_trial_delta,,0.4806501547987616,0.47661369961396893,1.243919837458774,0.01,0.1,1.0
1,fusion_trial_delta,,0.6048761609907121,0.5800069420340159,0.6811791404480543,0.01,1.0,0.0
1,fusion_trial_delta,,0.4659442724458205,0.46370530877573135,1.1241347455812598,0.01,1.0,0.5
1,fusion_trial_delta,,0.4806501547987616,0.47661369961396893,1.922721919076475,0.01,1.0,1.0
1,fusion_trial_delta,,0.580108359133127,0.5436457539581746,0.6708957717838459,0.1,0.01,0.0
1,fusion_trial_delta,,0.5870743034055728,0.5753658317622766,0.6943291099575757,0.1,0.01,0.5
1,fusion_trial_delta,,0.516640866873065,0.5089285714285714,0.8102652614563357,0.1,0.01,1.0
1,fusion_trial_delta,,0.580108359133127,0.5436457539581746,0.6708957717838459,0.1,0.1,0.0
1,fusion_trial_delta,,0.5657894736842105,0.5556154053326151,0.8322595274263489,0.1,0.1,0.5
1,fusion_trial_delta,,0.4806501547987616,0.47661369961396893,1.243919837458774,0.1,0.1,1.0
1,fusion_trial_delta,,0.580108359133127,0.5436457539581746,0.6708957717838459,0.1,1.0,0.0
1,fusion_trial_delta,,0.4725232198142415,0.47052947052947053,1.1017856994017001,0.1,1.0,0.5
1,fusion_trial_delta,,0.4806501547987616,0.47661369961396893,1.922721919076475,0.1,1.0,1.0
1,fusion_trial_delta,,0.580108359133127,0.5436457539581746,0.6948127238666865,1.0,0.01,0.0
1,fusion_trial_delta,,0.6346749226006192,0.6257471264367815,0.6924311626847699,1.0,0.01,0.5
1,fusion_trial_delta,,0.516640866873065,0.5089285714285714,0.8102652614563357,1.0,0.01,1.0
1,fusion_trial_delta,,0.580108359133127,0.5436457539581746,0.6948127238666865,1.0,0.1,0.0
1,fusion_trial_delta,,0.5723684210526316,0.5630191404839293,0.826368078741341,1.0,0.1,0.5
1,fusion_trial_delta,,0.4806501547987616,0.47661369961396893,1.243919837458774,1.0,0.1,1.0
1,fusion_trial_delta,,0.580108359133127,0.5436457539581746,0.6948127238666865,1.0,1.0,0.0
1,fusion_trial_delta,,0.4872291021671826,0.48356807511737093,1.0922246586913515,1.0,1.0,0.5
1,fusion_trial_delta,,0.4806501547987616,0.47661369961396893,1.922721919076475,1.0,1.0,1.0
1,fusion_water_delta,,0.6048761609907121,0.5800069420340159,0.6811791404480543,0.01,0.01,0.0
1,fusion_water_delta,,0.44272445820433437,0.43181818181818177,0.7732390297067037,0.01,0.01,0.5
1,fusion_water_delta,,0.4508513931888545,0.4358974358974359,0.9927230923611206,0.01,0.01,1.0
1,fusion_water_delta,,0.6048761609907121,0.5800069420340159,0.6811791404480543,0.01,0.1,0.0
1,fusion_water_delta,,0.47871517027863775,0.4622180289904795,1.1378771890455321,0.01,0.1,0.5
1,fusion_water_delta,,0.47213622291021673,0.45470085470085464,1.9510726224943646,0.01,0.1,1.0
1,fusion_water_delta,,0.6048761609907121,0.5800069420340159,0.6811791404480543,0.01,1.0,0.0
1,fusion_water_delta,,0.46555727554179566,0.44714200528154013,1.745820644047924,0.01,1.0,0.5
1,fusion_water_delta,,0.46555727554179566,0.44714200528154013,3.301620673938954,0.01,1.0,1.0
1,fusion_water_delta,,0.580108359133127,0.5436457539581746,0.6708957717838459,0.1,0.01,0.0
1,fusion_water_delta,,0.47213622291021673,0.45470085470085464,0.7611073987899971,0.1,0.01,0.5
1,fusion_water_delta,,0.4508513931888545,0.4358974358974359,0.9927230923611206,0.1,0.01,1.0
1,fusion_water_delta,,0.580108359133127,0.5436457539581746,0.6708957717838459,0.1,0.1,0.0
1,fusion_water_delta,,0.4493034055727554,0.4391150289516895,1.1222185975496177,0.1,0.1,0.5
1,fusion_water_delta,,0.47213622291021673,0.45470085470085464,1.9510726224943646,0.1,0.1,1.0
1,fusion_water_delta,,0.580108359133127,0.5436457539581746,0.6708957717838459,0.1,1.0,0.0
1,fusion_water_delta,,0.4574303405572755,0.4433484861480401,1.7267057614068566,0.1,1.0,0.5
1,fusion_water_delta,,0.46555727554179566,0.44714200528154013,3.301620673938954,0.1,1.0,1.0
1,fusion_water_delta,,0.580108359133127,0.5436457539581746,0.6948127238666865,1.0,0.01,0.0
1,fusion_water_delta,,0.4918730650154799,0.47714112868377845,0.762923266331615,1.0,0.01,0.5
1,fusion_water_delta,,0.4508513931888545,0.4358974358974359,0.9927230923611206,1.0,0.01,1.0
1,fusion_water_delta,,0.580108359133127,0.5436457539581746,0.6948127238666865,1.0,0.1,0.0
1,fusion_water_delta,,0.47058823529411764,0.45812807881773404,1.12092782315339,1.0,0.1,0.5
1,fusion_water_delta,,0.47213622291021673,0.45470085470085464,1.9510726224943646,1.0,0.1,1.0
1,fusion_water_delta,,0.580108359133127,0.5436457539581746,0.6948127238666865,1.0,1.0,0.0
1,fusion_water_delta,,0.4493034055727554,0.4391150289516895,1.721806010580829,1.0,1.0,0.5
1,fusion_water_delta,,0.46555727554179566,0.44714200528154013,3.301620673938954,1.0,1.0,1.0
