fold,experiment,selection_rank,summary_feature_index
1,video_raw,1,32
1,video_raw,2,33
1,video_raw,3,39
1,video_raw,4,50
1,video_raw,5,86
1,video_raw,6,87
1,video_raw,7,356
1,video_raw,8,411
1,video_raw,9,511
1,video_raw,10,617
1,video_raw,11,729
1,video_raw,12,820
1,video_raw,13,923
1,video_raw,14,969
1,video_raw,15,1017
1,video_raw,16,1020
1,video_trial_delta,1,32
1,video_trial_delta,2,33
1,video_trial_delta,3,39
1,video_trial_delta,4,50
1,video_trial_delta,5,86
1,video_trial_delta,6,87
1,video_trial_delta,7,134
1,video_trial_delta,8,356
1,video_trial_delta,9,411
1,video_trial_delta,10,511
1,video_trial_delta,11,617
1,video_trial_delta,12,820
1,video_trial_delta,13,923
1,video_trial_delta,14,969
1,video_trial_delta,15,1017
1,video_trial_delta,16,1020
1,video_water_delta,1,31
1,video_water_delta,2,37
1,video_water_delta,3,38
1,video_water_delta,4,39
1,video_water_delta,5,40
1,video_water_delta,6,115
1,video_water_delta,7,127
1,video_water_delta,8,129
1,video_water_delta,9,169
1,video_water_delta,10,170
1,video_water_delta,11,326
1,video_water_delta,12,381
1,video_water_delta,13,811
1,video_water_delta,14,814
1,video_water_delta,15,816
1,video_water_delta,16,853
