fold,experiment,selection_rank,summary_feature_index
1,video_raw,1,33
1,video_raw,2,49
1,video_raw,3,50
1,video_raw,4,51
1,video_raw,5,502
1,video_raw,6,503
1,video_raw,7,531
1,video_raw,8,536
1,video_raw,9,537
1,video_raw,10,822
1,video_raw,11,823
1,video_raw,12,899
1,video_raw,13,900
1,video_raw,14,901
1,video_raw,15,968
1,video_raw,16,1017
1,video_trial_delta,1,15
1,video_trial_delta,2,31
1,video_trial_delta,3,33
1,video_trial_delta,4,49
1,video_trial_delta,5,50
1,video_trial_delta,6,51
1,video_trial_delta,7,69
1,video_trial_delta,8,152
1,video_trial_delta,9,313
1,video_trial_delta,10,449
1,video_trial_delta,11,496
1,video_trial_delta,12,502
1,video_trial_delta,13,503
1,video_trial_delta,14,531
1,video_trial_delta,15,535
1,video_trial_delta,16,536
1,video_trial_delta,17,537
1,video_trial_delta,18,568
1,video_trial_delta,19,579
1,video_trial_delta,20,596
1,video_trial_delta,21,704
1,video_trial_delta,22,810
1,video_trial_delta,23,822
1,video_trial_delta,24,823
1,video_trial_delta,25,824
1,video_trial_delta,26,899
1,video_trial_delta,27,900
1,video_trial_delta,28,901
1,video_trial_delta,29,964
1,video_trial_delta,30,967
1,video_trial_delta,31,968
1,video_trial_delta,32,1017
1,video_water_delta,1,31
1,video_water_delta,2,33
1,video_water_delta,3,38
1,video_water_delta,4,116
1,video_water_delta,5,136
1,video_water_delta,6,137
1,video_water_delta,7,169
1,video_water_delta,8,289
1,video_water_delta,9,291
1,video_water_delta,10,351
1,video_water_delta,11,439
1,video_water_delta,12,484
1,video_water_delta,13,485
1,video_water_delta,14,508
1,video_water_delta,15,509
1,video_water_delta,16,514
1,video_water_delta,17,523
1,video_water_delta,18,524
1,video_water_delta,19,525
1,video_water_delta,20,528
1,video_water_delta,21,536
1,video_water_delta,22,583
1,video_water_delta,23,584
1,video_water_delta,24,769
1,video_water_delta,25,810
1,video_water_delta,26,824
1,video_water_delta,27,901
1,video_water_delta,28,958
1,video_water_delta,29,966
1,video_water_delta,30,978
1,video_water_delta,31,981
1,video_water_delta,32,982
