fold,experiment,k_features,C,balanced_accuracy,macro_f1,negative_log_likelihood
1,video_raw,16,0.01,0.38722314507198224,0.3858210623299732,1.1652580196555316
1,video_raw,16,0.1,0.39939784053156147,0.39797979797979793,1.3123019164902916
1,video_raw,32,0.01,0.3889950166112957,0.38836933926268974,1.2064626541827963
1,video_raw,32,0.1,0.370812569213732,0.3679738562091503,1.4157843674278594
1,video_trial_delta,16,0.01,0.3958540974529347,0.39531142759094023,1.1604774970017793
1,video_trial_delta,16,0.1,0.37170542635658915,0.3703703703703704,1.2943539682484124
1,video_trial_delta,32,0.01,0.4053779069767442,0.40352641708573916,1.198236073365802
1,video_trial_delta,32,0.1,0.373235049833887,0.36423936423936426,1.4310055342852928
1,video_water_delta,16,0.01,0.26182862679955704,0.25951323245565155,1.1863624089909202
1,video_water_delta,16,0.1,0.2573920265780731,0.25176867657558255,1.3787117091240018
1,video_water_delta,32,0.01,0.2904138981173865,0.29006723869737566,1.2024667630648924
1,video_water_delta,32,0.1,0.28443383167220376,0.28432098568112757,1.407570174759986
