subject,ma_mau,substance,intensity,liking,sweetness_jar,aftertaste,jar_dev,after_dev
P001,H2O,Water,0,5.0,1.0,1.0,-2.0,-2.0
P001,S1_12,Sucrose,12,5.5,4.0,3.5,1.0,0.5
P001,S1_5,Sucrose,5,6.0,2.0,1.0,-1.0,-2.0
P001,S1_7,Sucrose,7,6.0,3.0,3.5,0.0,0.5
P001,S2_12,Sucralose,12,6.0,4.0,3.5,1.0,0.5
P001,S2_5,Sucralose,5,5.5,2.0,1.0,-1.0,-2.0
P001,S2_7,Sucralose,7,5.0,2.5,2.0,-0.5,-1.0
P002,H2O,Water,0,5.0,1.0,1.0,-2.0,-2.0
P002,S1_12,Sucrose,12,1.5,5.0,5.0,2.0,2.0
P002,S1_5,Sucrose,5,6.5,3.5,3.0,0.5,0.0
P002,S1_7,Sucrose,7,4.0,4.0,3.0,1.0,0.0
P002,S2_12,Sucralose,12,2.5,5.0,4.5,2.0,1.5
P002,S2_5,Sucralose,5,7.0,2.5,2.5,-0.5,-0.5
P002,S2_7,Sucralose,7,6.0,3.0,3.0,0.0,0.0
P003,H2O,Water,0,1.0,1.0,1.0,-2.0,-2.0
P003,S1_12,Sucrose,12,8.0,3.5,3.0,0.5,0.0
P003,S1_5,Sucrose,5,7.0,2.0,2.0,-1.0,-1.0
P003,S1_7,Sucrose,7,8.5,3.0,3.0,0.0,0.0
P003,S2_12,Sucralose,12,6.5,3.0,2.5,0.0,-0.5
P003,S2_5,Sucralose,5,4.5,1.5,1.5,-1.5,-1.5
P003,S2_7,Sucralose,7,5.0,4.0,4.0,1.0,1.0
P004,H2O,Water,0,5.0,1.0,1.0,-2.0,-2.0
P004,S1_12,Sucrose,12,6.5,5.0,5.0,2.0,2.0
P004,S1_5,Sucrose,5,7.5,3.5,3.5,0.5,0.5
P004,S1_7,Sucrose,7,7.0,5.0,5.0,2.0,2.0
P004,S2_12,Sucralose,12,7.5,4.5,4.5,1.5,1.5
P004,S2_5,Sucralose,5,7.0,3.5,3.5,0.5,0.5
P004,S2_7,Sucralose,7,7.0,4.5,4.0,1.5,1.0
P005,H2O,Water,0,5.5,1.0,1.0,-2.0,-2.0
P005,S1_12,Sucrose,12,6.5,3.5,3.0,0.5,0.0
P005,S1_5,Sucrose,5,3.5,2.0,2.0,-1.0,-1.0
P005,S1_7,Sucrose,7,4.5,2.0,3.5,-1.0,0.5
P005,S2_12,Sucralose,12,4.5,1.5,2.5,-1.5,-0.5
P005,S2_5,Sucralose,5,4.0,1.5,2.5,-1.5,-0.5
P005,S2_7,Sucralose,7,6.0,2.5,4.0,-0.5,1.0
P006,H2O,Water,0,5.0,1.0,1.0,-2.0,-2.0
P006,S1_12,Sucrose,12,6.5,2.5,1.5,-0.5,-1.5
P006,S1_5,Sucrose,5,5.0,1.5,1.0,-1.5,-2.0
P006,S1_7,Sucrose,7,5.5,2.0,1.5,-1.0,-1.5
P006,S2_12,Sucralose,12,5.5,2.0,2.0,-1.0,-1.0
P006,S2_5,Sucralose,5,4.0,1.0,1.0,-2.0,-2.0
P006,S2_7,Sucralose,7,7.0,4.0,3.5,1.0,0.5
P007,H2O,Water,0,5.0,1.5,1.0,-1.5,-2.0
P007,S1_12,Sucrose,12,2.5,5.0,5.0,2.0,2.0
P007,S1_5,Sucrose,5,6.5,3.0,3.0,0.0,0.0
P007,S1_7,Sucrose,7,6.5,3.0,3.0,0.0,0.0
