subject,ma_mau,substance,intensity,repeat,channel,band,abs_power,rel_power
P001,S1_5,Sucrose,5,1,Fp1,delta,2.7666124800597323e-10,0.21586434069175256
P001,S1_5,Sucrose,5,1,Fp1,theta,1.9650251972567408e-10,0.153320666231994
P001,S1_5,Sucrose,5,1,Fp1,alpha,1.3273061220311602e-10,0.10356277324470003
P001,S1_5,Sucrose,5,1,Fp1,beta,3.9487093450862176e-10,0.30809719304887795
P001,S1_5,Sucrose,5,1,Fp1,gamma,2.808787362571277e-10,0.21915502678267562
P001,S1_5,Sucrose,5,1,Fp2,delta,1.2950103626809575e-09,0.7611559311842891
P001,S1_5,Sucrose,5,1,Fp2,theta,1.7865412984172462e-10,0.10500583970469596
P001,S1_5,Sucrose,5,1,Fp2,alpha,3.87054882107951e-11,0.022749556891606394
P001,S1_5,Sucrose,5,1,Fp2,beta,9.43617569543657e-11,0.05546211293174074
P001,S1_5,Sucrose,5,1,Fp2,gamma,9.46415415902144e-11,0.05562655928766765
P001,S1_5,Sucrose,5,1,F3,delta,1.659393130626429e-10,0.19440488136642436
P001,S1_5,Sucrose,5,1,F3,theta,8.899214805069722e-11,0.10425804268460508
P001,S1_5,Sucrose,5,1,F3,alpha,7.269459591928363e-11,0.08516477521112506
P001,S1_5,Sucrose,5,1,F3,beta,2.2973537202846508e-10,0.269144646440745
P001,S1_5,Sucrose,5,1,F3,gamma,2.9621442714322106e-10,0.3470276542971009
P001,S1_5,Sucrose,5,1,F4,delta,1.5969494589594765e-10,0.2864658522564251
P001,S1_5,Sucrose,5,1,F4,theta,4.145714620049029e-11,0.07436714200198136
P001,S1_5,Sucrose,5,1,F4,alpha,3.649566391012162e-11,0.06546707791547172
P001,S1_5,Sucrose,5,1,F4,beta,1.45644804016531e-10,0.261262262717447
P001,S1_5,Sucrose,5,1,F4,gamma,1.7417334608078725e-10,0.3124376651086746
P001,S1_5,Sucrose,5,1,C3,delta,3.2088748562127735e-10,0.14975779464373085
P001,S1_5,Sucrose,5,1,C3,theta,1.9978269994984813e-10,0.09323834020679424
P001,S1_5,Sucrose,5,1,C3,alpha,4.0193774283798795e-10,0.18758384994339838
P001,S1_5,Sucrose,5,1,C3,beta,6.18256102535243e-10,0.2885393622049279
P001,S1_5,Sucrose,5,1,C3,gamma,6.018457117081622e-10,0.28088065300114834
P001,S1_5,Sucrose,5,1,C4,delta,2.958181276983365e-10,0.41034959208419225
P001,S1_5,Sucrose,5,1,C4,theta,9.92331906112694e-11,0.13765315738213388
P001,S1_5,Sucrose,5,1,C4,alpha,5.437460935221871e-11,0.07542674595714347
P001,S1_5,Sucrose,5,1,C4,beta,1.286676433530817e-10,0.17848370339972344
P001,S1_5,Sucrose,5,1,C4,gamma,1.4279937832581825e-10,0.19808680117680727
P001,S1_5,Sucrose,5,1,P3,delta,2.131491936887755e-09,0.30310597411433426
P001,S1_5,Sucrose,5,1,P3,theta,7.389881405169293e-10,0.10508682501392914
P001,S1_5,Sucrose,5,1,P3,alpha,5.565729537754498e-10,0.07914671615700505
P001,S1_5,Sucrose,5,1,P3,beta,1.8481171402751932e-09,0.26280903830133007
P001,S1_5,Sucrose,5,1,P3,gamma,1.7569971855751771e-09,0.24985144641340132
P001,S1_5,Sucrose,5,1,P4,delta,1.9931132869757718e-10,0.16452038904914212
P001,S1_5,Sucrose,5,1,P4,theta,1.5423317254090254e-10,0.1273108845168278
P001,S1_5,Sucrose,5,1,P4,alpha,1.6025908974257886e-10,0.13228494318612688
P001,S1_5,Sucrose,5,1,P4,beta,3.259544970072708e-10,0.26905726337975844
P001,S1_5,Sucrose,5,1,P4,gamma,3.717107752298521e-10,0.3068265198681447
P001,S1_5,Sucrose,5,1,O1,delta,2.0267317281111514e-09,0.157354120704544
P001,S1_5,Sucrose,5,1,O1,theta,1.6113478467377322e-09,0.1251039888781327
P001,S1_5,Sucrose,5,1,O1,alpha,1.295705632529283e-09,0.10059773460426567
P001,S1_5,Sucrose,5,1,O1,beta,4.450578488164914e-09,0.3455399917602423
P001,S1_5,Sucrose,5,1,O1,gamma,3.495704008032627e-09,0.27140416405281503
P001,S1_5,Sucrose,5,1,O2,delta,3.6909058135746745e-10,0.25942885835977675
P001,S1_5,Sucrose,5,1,O2,theta,1.2313603835359443e-10,0.08655068285819961
P001,S1_5,Sucrose,5,1,O2,alpha,8.042291586229097e-11,0.05652819741805206
P001,S1_5,Sucrose,5,1,O2,beta,4.49939870306901e-10,0.3162567477472795
P001,S1_5,Sucrose,5,1,O2,gamma,4.0011500599982876e-10,0.28123551361669197
P001,S1_5,Sucrose,5,1,F7,delta,4.736467948496105e-10,0.15475798033114035
P001,S1_5,Sucrose,5,1,F7,theta,2.963412258014842e-10,0.09682567282747828
P001,S1_5,Sucrose,5,1,F7,alpha,3.678638615012855e-10,0.12019477142419872
P001,S1_5,Sucrose,5,1,F7,beta,9.647827014329187e-10,0.3152303023175474
P001,S1_5,Sucrose,5,1,F7,gamma,9.579300078892986e-10,0.3129912730996349
P001,S1_5,Sucrose,5,1,F8,delta,4.6403156396420763e-10,0.5194063643227643
P001,S1_5,Sucrose,5,1,F8,theta,1.2167868020832694e-10,0.13619909896360904
P001,S1_5,Sucrose,5,1,F8,alpha,6.346747125267763e-11,0.07104130635961563
P001,S1_5,Sucrose,5,1,F8,beta,1.4145538816811665e-10,0.15833584305039658
P001,S1_5,Sucrose,5,1,F8,gamma,1.0275518703580526e-10,0.11501738730361455
P001,S1_5,Sucrose,5,1,T7,delta,5.241523308105792e-10,0.10539097888033164
P001,S1_5,Sucrose,5,1,T7,theta,4.937776744598707e-10,0.0992835658673926
P001,S1_5,Sucrose,5,1,T7,alpha,5.292305320794861e-10,0.10641204960962473
P001,S1_5,Sucrose,5,1,T7,beta,1.7991536402114224e-09,0.36175468876531175
P001,S1_5,Sucrose,5,1,T7,gamma,1.627093759049032e-09,0.3271587168773396
P001,S1_5,Sucrose,5,1,T8,delta,3.051986929035039e-10,0.4821351907305577
P001,S1_5,Sucrose,5,1,T8,theta,6.950461308184121e-11,0.10979935584279302
P001,S1_5,Sucrose,5,1,T8,alpha,4.655368362418732e-11,0.07354280884962437
P001,S1_5,Sucrose,5,1,T8,beta,1.1263332566986421e-10,0.177931594129162
P001,S1_5,Sucrose,5,1,T8,gamma,9.912444649530441e-11,0.15659105044786345
P001,S1_5,Sucrose,5,1,P7,delta,9.461825665028775e-10,0.27377919199872747
P001,S1_5,Sucrose,5,1,P7,theta,3.634007781889874e-10,0.10515050154856893
P001,S1_5,Sucrose,5,1,P7,alpha,3.203618853334244e-10,0.09269714029708576
P001,S1_5,Sucrose,5,1,P7,beta,1.0165247885745043e-09,0.29413280810195386
P001,S1_5,Sucrose,5,1,P7,gamma,8.095361139162073e-10,0.23424035805366428
P001,S1_5,Sucrose,5,1,P8,delta,3.269539748655032e-10,0.45290748412332243
P001,S1_5,Sucrose,5,1,P8,theta,8.821652597220119e-11,0.12220045605074825
P001,S1_5,Sucrose,5,1,P8,alpha,6.076708130638928e-11,0.08417657538286734
P001,S1_5,Sucrose,5,1,P8,beta,1.2927491853454238e-10,0.17907590246551425
P001,S1_5,Sucrose,5,1,P8,gamma,1.1668763638440483e-10,0.16163958197754855
P001,S1_7,Sucrose,7,1,Fp1,delta,3.939929196769333e-10,0.21087487255856788
P001,S1_7,Sucrose,7,1,Fp1,theta,1.6230910025278467e-10,0.0868718931775911
P001,S1_7,Sucrose,7,1,Fp1,alpha,1.7218911025351935e-10,0.09215992183427531
P001,S1_7,Sucrose,7,1,Fp1,beta,5.72341802712074e-10,0.3063316589694433
P001,S1_7,Sucrose,7,1,Fp1,gamma,5.675400737914236e-10,0.3037616534601229
P001,S1_7,Sucrose,7,1,Fp2,delta,1.6180067392010263e-09,0.8374510514983594
P001,S1_7,Sucrose,7,1,Fp2,theta,9.015525756929051e-11,0.04666273224967534
P001,S1_7,Sucrose,7,1,Fp2,alpha,3.986247053767095e-11,0.020632094451954762
P001,S1_7,Sucrose,7,1,Fp2,beta,9.317847805466513e-11,0.04822749654456237
P001,S1_7,Sucrose,7,1,Fp2,gamma,9.085832115089967e-11,0.04702662525544832
P001,S1_7,Sucrose,7,1,F3,delta,5.177845133238031e-10,0.3164085666641176
P001,S1_7,Sucrose,7,1,F3,theta,1.239154284647583e-10,0.07572243297973073
P001,S1_7,Sucrose,7,1,F3,alpha,1.3272161771768455e-10,0.08110373282086536
P001,S1_7,Sucrose,7,1,F3,beta,4.346120004860798e-10,0.26558337800811854
P001,S1_7,Sucrose,7,1,F3,gamma,4.2740921645580763e-10,0.2611818895271674
P001,S1_7,Sucrose,7,1,F4,delta,2.8436289241843043e-10,0.29832978834987217
P001,S1_7,Sucrose,7,1,F4,theta,1.4611733032078894e-10,0.15329409494367643
P001,S1_7,Sucrose,7,1,F4,alpha,8.525117623215126e-11,0.08943841141020462
P001,S1_7,Sucrose,7,1,F4,beta,1.5074158742493163e-10,0.15814547914300547
P001,S1_7,Sucrose,7,1,F4,gamma,2.8671004635179927e-10,0.30079222615324114
P001,S1_7,Sucrose,7,1,C3,delta,3.940376686791533e-10,0.1072312795465628
P001,S1_7,Sucrose,7,1,C3,theta,3.10613084086151e-10,0.08452856439363106
P001,S1_7,Sucrose,7,1,C3,alpha,2.858057126199561e-10,0.07777762052213792
P001,S1_7,Sucrose,7,1,C3,beta,1.5470850276488444e-09,0.42101535022834696
P001,S1_7,Sucrose,7,1,C3,gamma,1.1371108131341848e-09,0.3094471853093218
P001,S1_7,Sucrose,7,1,C4,delta,3.909967897792997e-10,0.3884686120516166
P001,S1_7,Sucrose,7,1,C4,theta,1.8091108880928612e-10,0.1797413211861895
P001,S1_7,Sucrose,7,1,C4,alpha,7.34257495349766e-11,0.07295098004973978
P001,S1_7,Sucrose,7,1,C4,beta,1.2877776771051235e-10,0.12794509313962843
P001,S1_7,Sucrose,7,1,C4,gamma,2.3239666594813983e-10,0.23089399357282558
P001,S1_7,Sucrose,7,1,P3,delta,2.6009237888512627e-09,0.2980782423083138
P001,S1_7,Sucrose,7,1,P3,theta,6.323016158695945e-10,0.0724647738911098
P001,S1_7,Sucrose,7,1,P3,alpha,6.586736586526036e-10,0.07548713548145493
P001,S1_7,Sucrose,7,1,P3,beta,2.5248575150551044e-09,0.2893606853813129
P001,S1_7,Sucrose,7,1,P3,gamma,2.3088846113132465e-09,0.2646091629378088
P001,S1_7,Sucrose,7,1,P4,delta,1.7022977805773148e-09,0.5401687599701449
P001,S1_7,Sucrose,7,1,P4,theta,4.861503853026929e-10,0.15426399175525266
P001,S1_7,Sucrose,7,1,P4,alpha,1.1527031034660508e-10,0.036577278847290055
P001,S1_7,Sucrose,7,1,P4,beta,3.704176478372298e-10,0.11753997672219058
P001,S1_7,Sucrose,7,1,P4,gamma,4.772822968596487e-10,0.15144999270512158
P001,S1_7,Sucrose,7,1,O1,delta,3.2445340984535877e-09,0.2721096515703634
P001,S1_7,Sucrose,7,1,O1,theta,9.811675685006691e-10,0.08228767431481407
P001,S1_7,Sucrose,7,1,O1,alpha,1.0607996809898164e-09,0.08896618830964667
P001,S1_7,Sucrose,7,1,O1,beta,3.618767886333141e-09,0.3034955524534202
P001,S1_7,Sucrose,7,1,O1,gamma,3.0183581700767258e-09,0.2531409333517554
P001,S1_7,Sucrose,7,1,O2,delta,6.459848215503476e-10,0.430414959780457
P001,S1_7,Sucrose,7,1,O2,theta,1.155145992894568e-10,0.07696653225984826
P001,S1_7,Sucrose,7,1,O2,alpha,9.886623689874496e-11,0.06587385021878854
P001,S1_7,Sucrose,7,1,O2,beta,3.285295245880366e-10,0.21889681830741203
P001,S1_7,Sucrose,7,1,O2,gamma,3.1194675374331083e-10,0.2078478394334945
P001,S1_7,Sucrose,7,1,F7,delta,4.978630336528759e-10,0.14865619368022165
P001,S1_7,Sucrose,7,1,F7,theta,3.9244972480615156e-10,0.11718098825792576
P001,S1_7,Sucrose,7,1,F7,alpha,2.767819128772124e-10,0.08264390578663611
P001,S1_7,Sucrose,7,1,F7,beta,1.2483481696267377e-09,0.3727424507154118
P001,S1_7,Sucrose,7,1,F7,gamma,9.336475758402571e-10,0.2787764615598047
P001,S1_7,Sucrose,7,1,F8,delta,4.595802064833959e-10,0.4687517028871208
P001,S1_7,Sucrose,7,1,F8,theta,1.4511506746373246e-10,0.14801101968402897
P001,S1_7,Sucrose,7,1,F8,alpha,4.3200637972097476e-11,0.04406276060098843
P001,S1_7,Sucrose,7,1,F8,beta,1.5412003169802135e-10,0.15719568921442365
P001,S1_7,Sucrose,7,1,F8,gamma,1.7841826846723995e-10,0.18197882761343817
P001,S1_7,Sucrose,7,1,T7,delta,7.00094599057778e-10,0.11452447666132824
P001,S1_7,Sucrose,7,1,T7,theta,7.161260209874654e-10,0.11714696540657117
P001,S1_7,Sucrose,7,1,T7,alpha,6.979544406856751e-10,0.11417438037738702
P001,S1_7,Sucrose,7,1,T7,beta,2.0674380118819216e-09,0.3382003755766346
P001,S1_7,Sucrose,7,1,T7,gamma,1.931443450038625e-09,0.315953801978079
P001,S1_7,Sucrose,7,1,T8,delta,6.20410247609472e-10,0.5753602059701246
P001,S1_7,Sucrose,7,1,T8,theta,8.109913659872792e-11,0.07521025985182482
P001,S1_7,Sucrose,7,1,T8,alpha,5.594173162807458e-11,0.05187961732720261
P001,S1_7,Sucrose,7,1,T8,beta,1.2387523654128164e-10,0.11488024558848625
P001,S1_7,Sucrose,7,1,T8,gamma,1.9697249619051279e-10,0.18266967126236225
P001,S1_7,Sucrose,7,1,P7,delta,1.1098722862964044e-09,0.25791113383693476
P001,S1_7,Sucrose,7,1,P7,theta,3.465587630222951e-10,0.08053301683067288
P001,S1_7,Sucrose,7,1,P7,alpha,3.9704759717738094e-10,0.09226556716445566
P001,S1_7,Sucrose,7,1,P7,beta,1.1849503286695583e-09,0.2753577024861373
P001,S1_7,Sucrose,7,1,P7,gamma,1.264883835665263e-09,0.2939325796817997
P001,S1_7,Sucrose,7,1,P8,delta,4.03642581471627e-10,0.4245756448995099
P001,S1_7,Sucrose,7,1,P8,theta,1.3275980317985082e-10,0.1396447789187953
P001,S1_7,Sucrose,7,1,P8,alpha,6.378495247538569e-11,0.06709286526061199
P001,S1_7,Sucrose,7,1,P8,beta,1.1878178396094924e-10,0.1249418541117899
P001,S1_7,Sucrose,7,1,P8,gamma,2.3172738334112714e-10,0.24374485680929275
P001,H2O,Water,0,1,Fp1,delta,4.721764857626216e-10,0.21348361936375226
P001,H2O,Water,0,1,Fp1,theta,1.8447233566883084e-10,0.08340487736796266
P001,H2O,Water,0,1,Fp1,alpha,1.9356014500139502e-10,0.08751371905513392
P001,H2O,Water,0,1,Fp1,beta,7.339004525839298e-10,0.3318160255635414
P001,H2O,Water,0,1,Fp1,gamma,6.276597423355297e-10,0.2837817586496095
P001,H2O,Water,0,1,Fp2,delta,1.5440208422571898e-09,0.8080235066652407
P001,H2O,Water,0,1,Fp2,theta,1.4601964679743925e-10,0.07641561811743565
P001,H2O,Water,0,1,Fp2,alpha,3.658351871911401e-11,0.019145041486848056
P001,H2O,Water,0,1,Fp2,beta,9.237263215491672e-11,0.0483408358948055
P001,H2O,Water,0,1,Fp2,gamma,9.186465249766006e-11,0.048074997835669535
P001,H2O,Water,0,1,F3,delta,2.334734146037282e-10,0.15080424344682636
P001,H2O,Water,0,1,F3,theta,1.9844367907679457e-10,0.12817797238616707
P001,H2O,Water,0,1,F3,alpha,1.269838818606684e-10,0.08202093701521375
P001,H2O,Water,0,1,F3,beta,5.291030874710965e-10,0.3417562164278406
P001,H2O,Water,0,1,F3,gamma,4.601845639612695e-10,0.29724063072395207
P001,H2O,Water,0,1,F4,delta,2.3825360575017073e-10,0.29076297365030523
P001,H2O,Water,0,1,F4,theta,1.3087750190834522e-10,0.15972195475898557
P001,H2O,Water,0,1,F4,alpha,9.750384620483385e-11,0.11899298722298225
P001,H2O,Water,0,1,F4,beta,1.4787509934600203e-10,0.18046569947723465
P001,H2O,Water,0,1,F4,gamma,2.048982874025225e-10,0.25005638489049237
P001,H2O,Water,0,1,C3,delta,8.12437836838333e-10,0.2046744121200666
P001,H2O,Water,0,1,C3,theta,3.7230694216108245e-10,0.09379388927968228
P001,H2O,Water,0,1,C3,alpha,3.372682585124222e-10,0.08496672533916581
P001,H2O,Water,0,1,C3,beta,1.4593355253871632e-09,0.36764491657222287
P001,H2O,Water,0,1,C3,gamma,9.880671956362602e-10,0.24892005668886213
P001,H2O,Water,0,1,C4,delta,4.30799042294284e-10,0.4608405892084481
P001,H2O,Water,0,1,C4,theta,8.783610599837537e-11,0.09396131111734389
P001,H2O,Water,0,1,C4,alpha,5.161584217840698e-11,0.05521524605836607
P001,H2O,Water,0,1,C4,beta,1.5070005522060622e-10,0.16120904510778508
P001,H2O,Water,0,1,C4,gamma,2.1386036715335436e-10,0.22877380850805698
P001,H2O,Water,0,1,P3,delta,2.5306394749127445e-09,0.28461325324893955
P001,H2O,Water,0,1,P3,theta,6.969429813787856e-10,0.07838303765733783
P001,H2O,Water,0,1,P3,alpha,6.718138167717159e-10,0.07555683765486895
P001,H2O,Water,0,1,P3,beta,2.442407194082501e-09,0.2746900394772364
P001,H2O,Water,0,1,P3,gamma,2.549699110562039e-09,0.2867568319616174
P001,H2O,Water,0,1,P4,delta,1.7997892575160137e-09,0.5356270459459799
P001,H2O,Water,0,1,P4,theta,7.303516550585455e-10,0.2173566143186546
P001,H2O,Water,0,1,P4,alpha,2.663455166233829e-10,0.07926587053132753
P001,H2O,Water,0,1,P4,beta,3.169539543693666e-10,0.094327216128664
P001,H2O,Water,0,1,P4,gamma,2.467134233364774e-10,0.07342325307537378
P001,H2O,Water,0,1,O1,delta,1.8898935805307913e-09,0.20810205003302054
P001,H2O,Water,0,1,O1,theta,1.0709366024779576e-09,0.11792415442168329
P001,H2O,Water,0,1,O1,alpha,1.0034151376561909e-09,0.11048915628454177
P001,H2O,Water,0,1,O1,beta,2.7039074968757835e-09,0.29773564977212535
P001,H2O,Water,0,1,O1,gamma,2.4134183646312567e-09,0.26574898948862885
P001,H2O,Water,0,1,O2,delta,3.29665395442697e-10,0.47348605232131796
P001,H2O,Water,0,1,O2,theta,8.111753462621024e-11,0.11650607487214487
P001,H2O,Water,0,1,O2,alpha,3.992628331755849e-11,0.05734462437741447
P001,H2O,Water,0,1,O2,beta,1.4178705740769541e-10,0.2036434366794047
P001,H2O,Water,0,1,O2,gamma,1.0375527415943516e-10,0.14901981174971785
P001,H2O,Water,0,1,F7,delta,4.750269999020899e-10,0.1076649018809865
P001,H2O,Water,0,1,F7,theta,4.421209711341588e-10,0.10020674821956843
P001,H2O,Water,0,1,F7,alpha,3.5386432738437183e-10,0.08020337390268849
P001,H2O,Water,0,1,F7,beta,1.8471319817936826e-09,0.41865258947815454
P001,H2O,Water,0,1,F7,gamma,1.2939435181583506e-09,0.2932723865186013
P001,H2O,Water,0,1,F8,delta,4.110738418926099e-10,0.3115835390651208
P001,H2O,Water,0,1,F8,theta,1.738599069686728e-10,0.1317813969028556
P001,H2O,Water,0,1,F8,alpha,1.920885113929343e-10,0.14559821641289705
P001,H2O,Water,0,1,F8,beta,2.5216563458632166e-10,0.1911351510309288
P001,H2O,Water,0,1,F8,gamma,2.9011749313342495e-10,0.21990169658819764
P001,H2O,Water,0,1,T7,delta,5.235384160892188e-10,0.06843726813393602
P001,H2O,Water,0,1,T7,theta,7.270682605036727e-10,0.09504281627976023
P001,H2O,Water,0,1,T7,alpha,7.48844050611189e-10,0.09788936113801269
P001,H2O,Water,0,1,T7,beta,3.141886516853887e-09,0.41070936418863435
P001,H2O,Water,0,1,T7,gamma,2.508565073267459e-09,0.3279211902596565
P001,H2O,Water,0,1,T8,delta,4.709043296562541e-10,0.5355655947365809
P001,H2O,Water,0,1,T8,theta,9.35605855456954e-11,0.1064076660290219
P001,H2O,Water,0,1,T8,alpha,5.891707209639874e-11,0.06700714937252593
P001,H2O,Water,0,1,T8,beta,1.262060714861819e-10,0.1435358001150771
P001,H2O,Water,0,1,T8,gamma,1.2967740241050712e-10,0.1474837897467945
P001,H2O,Water,0,1,P7,delta,7.521863140696409e-10,0.23163931406089933
P001,H2O,Water,0,1,P7,theta,3.3260109244030085e-10,0.1024260711311533
P001,H2O,Water,0,1,P7,alpha,3.520380786300972e-10,0.10841178246915398
P001,H2O,Water,0,1,P7,beta,8.860625767935663e-10,0.27286713898452014
P001,H2O,Water,0,1,P7,gamma,9.243427335775876e-10,0.28465569335427354
P001,H2O,Water,0,1,P8,delta,3.2160296869711216e-10,0.410026776473053
P001,H2O,Water,0,1,P8,theta,7.546117829436158e-11,0.09620901141007793
P001,H2O,Water,0,1,P8,alpha,6.567557466124384e-11,0.08373288430905874
P001,H2O,Water,0,1,P8,beta,1.2327177813415883e-10,0.15716499764669117
P001,H2O,Water,0,1,P8,gamma,1.983347603853489e-10,0.25286633016111904
P001,S1_12,Sucrose,12,1,Fp1,delta,1.4630209475311073e-09,0.5372691830080993
P001,S1_12,Sucrose,12,1,Fp1,theta,2.434923723133657e-10,0.08941836968381779
P001,S1_12,Sucrose,12,1,Fp1,alpha,2.1152565311016467e-10,0.07767914398186457
P001,S1_12,Sucrose,12,1,Fp1,beta,4.800118752512453e-10,0.176276073480444
P001,S1_12,Sucrose,12,1,Fp1,gamma,3.2501794822097624e-10,0.11935722984577414
P001,S1_12,Sucrose,12,1,Fp2,delta,2.1061785334616546e-09,0.8449554439732863
P001,S1_12,Sucrose,12,1,Fp2,theta,1.3648506283590656e-10,0.054754995852461
P001,S1_12,Sucrose,12,1,Fp2,alpha,5.0619831727683213e-11,0.02030763380776633
P001,S1_12,Sucrose,12,1,Fp2,beta,1.111110908887331e-10,0.04457548096739013
P001,S1_12,Sucrose,12,1,Fp2,gamma,8.825589062435425e-11,0.03540644539909642
P001,S1_12,Sucrose,12,1,F3,delta,6.521212571830989e-10,0.34703543682994686
P001,S1_12,Sucrose,12,1,F3,theta,2.2929031380628684e-10,0.12202004356729414
P001,S1_12,Sucrose,12,1,F3,alpha,1.668671122010601e-10,0.08880066481100361
P001,S1_12,Sucrose,12,1,F3,beta,4.325006709816433e-10,0.23016127388900226
P001,S1_12,Sucrose,12,1,F3,gamma,3.983407239963238e-10,0.21198258090275343
P001,S1_12,Sucrose,12,1,F4,delta,2.8176725102561504e-10,0.33610242449680255
P001,S1_12,Sucrose,12,1,F4,theta,8.329121513056627e-11,0.0993528497111368
P001,S1_12,Sucrose,12,1,F4,alpha,7.77273881538268e-11,0.09271611059558625
P001,S1_12,Sucrose,12,1,F4,beta,1.943289522958754e-10,0.23180277970142657
P001,S1_12,Sucrose,12,1,F4,gamma,2.012226479586421e-10,0.24002583549504802
P001,S1_12,Sucrose,12,1,C3,delta,7.713454285850593e-10,0.20092871923244754
P001,S1_12,Sucrose,12,1,C3,theta,3.4577406971193375e-10,0.09007111262518942
