substance,band,channel,n,F,p_anova,slope,t_slope,p_slope,p_anova_fdr,p_slope_fdr
Sucrose,delta,Fp1,23,,,-0.0012038078330777332,-0.4242504933401342,0.6755029745582251,1.0,0.9994491039361321
Sucrose,delta,Fp2,23,,,-0.0031552241949028654,-1.1348641151504772,0.2686461638828155,1.0,0.9994491039361321
Sucrose,delta,F3,23,,,-0.00033177031850095516,-0.15242837669526085,0.8802383944814532,1.0,0.9994491039361321
Sucrose,delta,F4,23,,,-0.0005353798819208317,-0.24232657011168385,0.8107718965439071,1.0,0.9994491039361321
Sucrose,delta,C3,23,,,0.001585991453584179,0.7608851708559904,0.4548043637655505,1.0,0.9994491039361321
Sucrose,delta,C4,23,,,0.0012692922383182063,0.6874057436149194,0.49901047201913806,1.0,0.9994491039361321
Sucrose,delta,P3,23,,,-4.687452576574846e-06,-0.004105758722918103,0.9967610910411526,1.0,0.9994491039361321
Sucrose,delta,P4,23,,,0.0006701730645333438,0.25548826445055084,0.800719484771612,1.0,0.9994491039361321
Sucrose,delta,O1,23,,,0.001319691041855541,0.8810779880668957,0.38780020519294117,1.0,0.9994491039361321
Sucrose,delta,O2,23,,,-0.0015355058481716915,-0.6234884516112177,0.5393746649888462,1.0,0.9994491039361321
Sucrose,delta,F7,23,,,1.2578810397499289e-06,0.0006983338824876086,0.9994491039361321,1.0,0.9994491039361321
Sucrose,delta,F8,23,,,0.00035826571820553955,0.16564214509933992,0.8699513267522988,1.0,0.9994491039361321
Sucrose,delta,T7,23,,,-0.00012974772200147945,-0.09474455756049545,0.9253753864193835,1.0,0.9994491039361321
Sucrose,delta,T8,23,,,0.00032508038568488464,0.12206203607582243,0.9039580111043475,1.0,0.9994491039361321
Sucrose,delta,P7,23,,,-0.0019391636790527093,-0.9148517508484783,0.37018835766427194,1.0,0.9994491039361321
Sucrose,delta,P8,23,,,-0.00036626348520699207,-0.17196716896402411,0.8650354232808798,1.0,0.9994491039361321
Sucrose,theta,Fp1,23,,,0.0005825218251782118,0.6781143733170215,0.5047697015272453,1.0,0.9795107285217206
Sucrose,theta,Fp2,23,,,0.00036941854283037694,0.3543171843979462,0.726474751313097,1.0,0.9795107285217206
Sucrose,theta,F3,23,,,0.0008631914116794463,1.6011324371473552,0.12361047933577657,1.0,0.9795107285217206
Sucrose,theta,F4,23,,,0.0004845087302937855,0.6290386504469803,0.5358014306048721,1.0,0.9795107285217206
Sucrose,theta,C3,23,,,1.7185220796937183e-05,0.02597592260709161,0.9795107285217206,1.0,0.9795107285217206
Sucrose,theta,C4,23,,,-0.00038946372547533947,-0.47295513838742287,0.6409039193604068,1.0,0.9795107285217206
Sucrose,theta,P3,23,,,-8.070096816762685e-05,-0.10061259184879173,0.9207692896028109,1.0,0.9795107285217206
Sucrose,theta,P4,23,,,0.0007706630533409599,0.6223496975497945,0.5401093736036037,1.0,0.9795107285217206
