band,intensity,n,t,p,mean_sucrose,mean_sucralose,mean_diff,p_fdr
delta,5,23,0.39443006117186685,0.6970611583373988,0.32381612030705575,0.3151094109296502,0.008706709377405523,0.7187542747905101
delta,7,23,-0.3647860980950634,0.7187542747905101,0.312902538286576,0.32050761129812594,-0.007605073011549934,0.7187542747905101
delta,12,23,0.9910649707815226,0.3324297474734023,0.3477187422841603,0.3227631692687776,0.024955573015382686,0.7187542747905101
theta,5,23,-0.42862620681773067,0.6723628866968256,0.2719056321039776,0.27978010503976697,-0.007874472935789358,0.6723628866968256
theta,7,23,-0.8695747171094682,0.3939215652863848,0.28477742541669643,0.30436608695289796,-0.019588661536201625,0.6723628866968256
theta,12,23,-0.4439026848986691,0.6614483645824357,0.2825994588416092,0.29093590506582906,-0.008336446224219864,0.6723628866968256
alpha,5,23,3.1624621154223918,0.004513590457307692,0.29620066165850406,0.24936974684612462,0.04683091481237943,0.013540771371923077
alpha,7,23,0.2293420926933712,0.8207217754411446,0.2851025913749912,0.28148014741637445,0.0036224439586167337,0.8207217754411446
alpha,12,23,0.8643071698118369,0.396745413611462,0.2769995013577617,0.26667727098456223,0.01032223037319943,0.595118120417193
beta,5,23,1.7512427631261316,0.09383622998415718,0.2814029321116652,0.26046305641127626,0.020939875700389056,0.2815086899524716
beta,7,23,-1.1800137706987894,0.2505973120008889,0.27077335508630473,0.2862490538424783,-0.015475698756173568,0.3758959680013334
beta,12,23,-0.4686483021715047,0.6439315094524576,0.2716196864670452,0.2757063969237943,-0.004086710456748993,0.6439315094524576
gamma,5,23,1.0823034863166774,0.2908384502990657,0.2682107312385811,0.2575091582035972,0.010701573034983876,0.43625767544859856
gamma,7,23,-1.6377660730265196,0.11569564234270342,0.272350919290845,0.2912111484440907,-0.01886022915324563,0.3470869270281103
gamma,12,23,-0.7690705959893996,0.45002978718870423,0.2739571831371281,0.28202293679725304,-0.00806575366012491,0.45002978718870423
