eeg_metric,behavior,level,n,r,p
Frontal_theta,liking,within_subject,161,-0.008971700184192074,0.910067520384198
Frontal_theta,sweetness_jar,within_subject,161,-0.0711594507978703,0.36971110051828465
Frontal_theta,aftertaste,within_subject,161,-0.07634919736481323,0.335738165118501
Frontal_alpha,liking,within_subject,161,0.00727377533691325,0.9270349750806353
Frontal_alpha,sweetness_jar,within_subject,161,-0.027889006891086796,0.7254511850133502
Frontal_alpha,aftertaste,within_subject,161,-0.002770418295810979,0.9721763624580136
Gustatory_gamma,liking,within_subject,161,0.13999973905908375,0.07651247584324192
Gustatory_gamma,sweetness_jar,within_subject,161,-0.0495328936714487,0.5326354895445562
Gustatory_gamma,aftertaste,within_subject,161,-0.031334622673595644,0.6931449502806123
Frontal_theta,liking,group_condition,7,-0.6255720633640193,0.1329540860515268
Frontal_theta,sweetness_jar,group_condition,7,-0.5943623911901761,0.15931624431762284
Frontal_theta,aftertaste,group_condition,7,-0.5732479837327362,0.1784988526427344
Frontal_alpha,liking,group_condition,7,0.24590591570238945,0.5950437566709499
Frontal_alpha,sweetness_jar,group_condition,7,0.5437899085647264,0.20703872560221354
Frontal_alpha,aftertaste,group_condition,7,0.44171277805662845,0.32108543483440927
Gustatory_gamma,liking,group_condition,7,0.8253212925709397,0.022241001589652497
Gustatory_gamma,sweetness_jar,group_condition,7,0.6695218539468581,0.0999426707436489
Gustatory_gamma,aftertaste,group_condition,7,0.6376426341696266,0.12340499236053017
