subject,roi,band,substance,slope,mean_power
P001,Frontal,theta,Sucrose,9.315677134168273e-05,0.10899137151638331
P002,Frontal,theta,Sucrose,0.0007679440249231854,0.10704385572589453
P003,Frontal,theta,Sucrose,0.0010016915569538666,0.08065772962560246
P004,Frontal,theta,Sucrose,0.0004562707274867515,0.08680643953840733
P005,Frontal,theta,Sucrose,0.00013212390381266026,0.0790623657922367
P006,Frontal,theta,Sucrose,0.0012384816774050995,0.09778440279784917
P007,Frontal,theta,Sucrose,0.000273093758215781,0.08056073889859026
P008,Frontal,theta,Sucrose,0.00042666339779306995,0.0870717366404849
P009,Frontal,theta,Sucrose,-0.002080079389838882,0.09936628319344704
P010,Frontal,theta,Sucrose,0.005348498136041833,0.105123838081989
P011,Frontal,theta,Sucrose,0.005767983943366871,0.15227603175585547
P012,Frontal,theta,Sucrose,-0.00020404382063214673,0.08847063615156359
P014,Frontal,theta,Sucrose,-0.007623469253369038,0.12826657562909066
P015,Frontal,theta,Sucrose,0.00322629299671143,0.10831074021213298
P016,Frontal,theta,Sucrose,-0.0008835751781006904,0.0845696901053794
P017,Frontal,theta,Sucrose,0.0025556768589046507,0.10327208405935118
P019,Frontal,theta,Sucrose,0.0009319665356003221,0.0889784356167852
P020,Frontal,theta,Sucrose,0.00234560675939152,0.10812349541232523
P021,Frontal,theta,Sucrose,0.00014211602602990918,0.12442537919684797
P022,Frontal,theta,Sucrose,0.00021365310772866535,0.12039500896485222
P023,Frontal,theta,Sucrose,-0.0024028521243754644,0.08478666485552905
P024,Frontal,theta,Sucrose,0.0009144884256097514,0.12969847720571262
P025,Frontal,theta,Sucrose,-0.0010604663200957484,0.11756790667850044
P001,Frontal,theta,Sucralose,0.0011412324472999248,0.10942879532715928
P002,Frontal,theta,Sucralose,-0.00028405411268743485,0.10116183961563534
P003,Frontal,theta,Sucralose,-0.0020577883326613707,0.07321719626150879
P004,Frontal,theta,Sucralose,-0.00022754014862217612,0.08737847790978524
P005,Frontal,theta,Sucralose,-3.436289716928407e-05,0.07532667792771168
P006,Frontal,theta,Sucralose,-0.0015478421279946839,0.1008738293834315
P007,Frontal,theta,Sucralose,-0.0016109040239389335,0.09062090332324124
P008,Frontal,theta,Sucralose,-0.0013048065348416483,0.08333957691996313
P009,Frontal,theta,Sucralose,-0.0004202691021465836,0.09726629624646603
P010,Frontal,theta,Sucralose,-0.0006882771061643464,0.10460529516903884
P011,Frontal,theta,Sucralose,-0.0012499903679812278,0.14758205081865994
P012,Frontal,theta,Sucralose,-0.0015763954898791498,0.08861182309670308
P014,Frontal,theta,Sucralose,-0.0007235151720939657,0.1102119325133772
P015,Frontal,theta,Sucralose,0.002714133885133982,0.12320428138520245
P016,Frontal,theta,Sucralose,-0.002406689115609198,0.09484228242023428
P017,Frontal,theta,Sucralose,0.0032709438990186825,0.10557859671242659
P019,Frontal,theta,Sucralose,-0.0009933158297311504,0.09903150453568939
P020,Frontal,theta,Sucralose,-0.002398584694460196,0.10158750410327526
P021,Frontal,theta,Sucralose,-0.0015590749117960748,0.12695818731773648
P022,Frontal,theta,Sucralose,-0.0060863866486608725,0.12755563495709052
P023,Frontal,theta,Sucralose,-0.002348621262398495,0.11100783334707183
P024,Frontal,theta,Sucralose,-0.002449789232419836,0.11497794868941318
P025,Frontal,theta,Sucralose,0.0025962612928558384,0.11990123453021946
P001,Frontal,alpha,Sucrose,0.0014668416343732312,0.07703441892618962
P002,Frontal,alpha,Sucrose,0.0005520418678156887,0.08987416211499544
P003,Frontal,alpha,Sucrose,0.005476727148794636,0.10385098599936954
P004,Frontal,alpha,Sucrose,-0.0010539172573938705,0.062286110287205744
P005,Frontal,alpha,Sucrose,0.0004476165057695358,0.0869029188198659
P006,Frontal,alpha,Sucrose,0.0007116653854379307,0.09326820688110987
P007,Frontal,alpha,Sucrose,0.0005246861802835119,0.08225912502604822
P008,Frontal,alpha,Sucrose,-0.0014365468365087116,0.09602901593996331
P009,Frontal,alpha,Sucrose,0.0008255691817186073,0.08562219891350094
P010,Frontal,alpha,Sucrose,-0.0008907269069035666,0.07561955679074191
P011,Frontal,alpha,Sucrose,-0.003445111887074171,0.11687298656982043
P012,Frontal,alpha,Sucrose,-0.0007032196058955702,0.08107508304908911
P014,Frontal,alpha,Sucrose,-0.0013912639650317399,0.08364313721475407
P015,Frontal,alpha,Sucrose,-5.002890403793573e-05,0.07717104836317772
P016,Frontal,alpha,Sucrose,0.0017224120976340508,0.08047713859719935
P017,Frontal,alpha,Sucrose,0.0005381745774920208,0.07823621750069353
P019,Frontal,alpha,Sucrose,-0.0004719897721385181,0.09584281256692358
P020,Frontal,alpha,Sucrose,0.0011349009375462996,0.07920704936720398
P021,Frontal,alpha,Sucrose,-0.00042981115561810444,0.08082294625026805
P022,Frontal,alpha,Sucrose,0.0029249579193218757,0.09105035380789823
P023,Frontal,alpha,Sucrose,-0.00303086765419272,0.08745998141365861
P024,Frontal,alpha,Sucrose,-0.0044752044017898705,0.07880288648710909
P025,Frontal,alpha,Sucrose,0.003047410088798932,0.10390168559026025
P001,Frontal,alpha,Sucralose,0.00015755110375335508,0.07074372811727485
P002,Frontal,alpha,Sucralose,-0.001283891179596808,0.08745083297566769
P003,Frontal,alpha,Sucralose,-0.0006318696880003201,0.09577985675157469
P004,Frontal,alpha,Sucralose,0.0007513537300223241,0.06584726656632249
P005,Frontal,alpha,Sucralose,-0.0006968345788363856,0.07984217407677836
P006,Frontal,alpha,Sucralose,0.0021895869673729243,0.09733783315125309
P007,Frontal,alpha,Sucralose,0.002541799676460624,0.08053638080196712
P008,Frontal,alpha,Sucralose,0.00041780335139200914,0.09240618758720258
P009,Frontal,alpha,Sucralose,-0.000698839678476395,0.07970604464110888
P010,Frontal,alpha,Sucralose,0.0014557524045694143,0.0737425505698431
P011,Frontal,alpha,Sucralose,0.0035070714252328082,0.12456143241901718
P012,Frontal,alpha,Sucralose,-0.0005590706060831032,0.08754625698260764
P014,Frontal,alpha,Sucralose,0.00035290704926554164,0.0841635489930765
P015,Frontal,alpha,Sucralose,-0.0003680587677404202,0.08102966813462481
P016,Frontal,alpha,Sucralose,0.001080623030321572,0.08777748385594746
P017,Frontal,alpha,Sucralose,0.001505188645925942,0.08944191120891097
P019,Frontal,alpha,Sucralose,-0.004283509695668638,0.09686978088975266
P020,Frontal,alpha,Sucralose,0.0009182674915283248,0.06575813276901266
P021,Frontal,alpha,Sucralose,-0.0012121837459809206,0.08011988086419407
P022,Frontal,alpha,Sucralose,0.0009477949139512892,0.07207193479264756
P023,Frontal,alpha,Sucralose,0.0012835811882850228,0.07729479571182413
P024,Frontal,alpha,Sucralose,-0.0019299139621311806,0.06667968951458174
P025,Frontal,alpha,Sucralose,-0.0013211730781221543,0.09711121501724261
P001,Gustatory,beta,Sucrose,-0.0004093432983737537,0.24527514254054542
P002,Gustatory,beta,Sucrose,-0.0035756640024639324,0.3556890153827399
P003,Gustatory,beta,Sucrose,-0.003177592194492059,0.419867571727549
P004,Gustatory,beta,Sucrose,-0.0042184400574096625,0.3609377666884865
P005,Gustatory,beta,Sucrose,-0.0009149405742992614,0.4221726051009327
P006,Gustatory,beta,Sucrose,0.0012893307311585241,0.3458611069324878
P007,Gustatory,beta,Sucrose,0.004606360627183354,0.34159350055629556
P008,Gustatory,beta,Sucrose,0.00012072856511958821,0.38743409828663394
P009,Gustatory,beta,Sucrose,-0.005984190330333612,0.33249208200765584
P010,Gustatory,beta,Sucrose,0.0020547482888587784,0.3371316572961626
P011,Gustatory,beta,Sucrose,-0.005043719554056596,0.2740707622732806
P012,Gustatory,beta,Sucrose,0.003557107916260503,0.3688805188448125
P014,Gustatory,beta,Sucrose,0.007676422135284332,0.3109015530557124
P015,Gustatory,beta,Sucrose,-0.006152536742218198,0.30139183691609395
P016,Gustatory,beta,Sucrose,-0.002785531719593525,0.3532296111537045
P017,Gustatory,beta,Sucrose,-0.007644407767322519,0.31708063556893046
P019,Gustatory,beta,Sucrose,0.0011166064543897839,0.37566784191232316
P020,Gustatory,beta,Sucrose,-0.00022720449522264376,0.21024618375232915
P021,Gustatory,beta,Sucrose,-0.002029937543926819,0.22785010799933816
P022,Gustatory,beta,Sucrose,0.005784588812191138,0.25941547342986815
P023,Gustatory,beta,Sucrose,0.004774533361807544,0.2889918332155004
P024,Gustatory,beta,Sucrose,3.7038900791279696e-05,0.1640187195172148
P025,Gustatory,beta,Sucrose,0.0005653576410476313,0.20213559832522032
P001,Gustatory,beta,Sucralose,-0.004653422393012648,0.2623480199868311
P002,Gustatory,beta,Sucralose,0.003794688261298966,0.3706561243685811
P003,Gustatory,beta,Sucralose,0.0056324928968489495,0.43119352048114257
P004,Gustatory,beta,Sucralose,-0.0016154883573195906,0.32890260411097516
P005,Gustatory,beta,Sucralose,-0.0009372962601596566,0.41819296663916333
P006,Gustatory,beta,Sucralose,-0.002721088106393612,0.33318022378909967
P007,Gustatory,beta,Sucralose,0.0001510206971736907,0.32943431750685903
P008,Gustatory,beta,Sucralose,-0.0009072711878299739,0.393923568919843
P009,Gustatory,beta,Sucralose,-0.005307097160543329,0.3304145416007094
P010,Gustatory,beta,Sucralose,0.0021969648296768325,0.3396915419323965
P011,Gustatory,beta,Sucralose,-0.0021100325415018242,0.2870089882852766
P012,Gustatory,beta,Sucralose,0.004911170384513079,0.37618533904722845
P014,Gustatory,beta,Sucralose,-0.0044645579475295965,0.3178189949293677
P015,Gustatory,beta,Sucralose,0.005905971579584598,0.2730303893539308
P016,Gustatory,beta,Sucralose,0.002898057906196305,0.34447310409109394
P017,Gustatory,beta,Sucralose,-0.004203961240964522,0.3178430555545883
P019,Gustatory,beta,Sucralose,-0.004083756921344206,0.37244377321056016
P020,Gustatory,beta,Sucralose,-0.0020702318063923115,0.17467194681223516
P021,Gustatory,beta,Sucralose,0.00571814064994957,0.22900322515971616
P022,Gustatory,beta,Sucralose,0.010794035387585955,0.25620510817740355
P023,Gustatory,beta,Sucralose,0.004740669204004656,0.24110053094107764
P024,Gustatory,beta,Sucralose,-0.006252088682836246,0.17005979747059455
P025,Gustatory,beta,Sucralose,0.00035798621775585433,0.22893125980186987
P001,Gustatory,gamma,Sucrose,0.0008394782393853178,0.24182855054641053
P002,Gustatory,gamma,Sucrose,-0.000787129323612675,0.3202654883586121
P003,Gustatory,gamma,Sucrose,-0.0030713024520654685,0.33779994562563176
P004,Gustatory,gamma,Sucrose,-0.001005464873958451,0.3050788770020602
P005,Gustatory,gamma,Sucrose,0.0008688882734676301,0.3317784513314648
P006,Gustatory,gamma,Sucrose,-0.0036111824796474846,0.3487396107960943
P007,Gustatory,gamma,Sucrose,-0.0027652835238503306,0.299546777742977
P008,Gustatory,gamma,Sucrose,-0.0020650089414530016,0.3278309671271343
P009,Gustatory,gamma,Sucrose,-0.0007182134869640788,0.271568323564955
P010,Gustatory,gamma,Sucrose,-0.002654099771073837,0.27356956065488175
P011,Gustatory,gamma,Sucrose,-0.006197685083132539,0.21824409242009282
P012,Gustatory,gamma,Sucrose,0.004500490475461212,0.31946360900989484
P014,Gustatory,gamma,Sucrose,0.00697703551226658,0.252667369961818
P015,Gustatory,gamma,Sucrose,-0.00015196238415573116,0.27735270022367525
P016,Gustatory,gamma,Sucrose,0.003388434302189241,0.2856524325615251
P017,Gustatory,gamma,Sucrose,-0.004529250414139788,0.2770813270300611
P019,Gustatory,gamma,Sucrose,-0.001191681646949919,0.3044146885334862
P020,Gustatory,gamma,Sucrose,0.00831291365222085,0.23508326322024398
P021,Gustatory,gamma,Sucrose,-0.0010329376117339507,0.23038656083471865
P022,Gustatory,gamma,Sucrose,0.00558239147774768,0.279895943782648
P023,Gustatory,gamma,Sucrose,0.00012135542578392454,0.2768271837028627
P024,Gustatory,gamma,Sucrose,-0.007706720429342616,0.23847171190242208
P025,Gustatory,gamma,Sucrose,0.001013746392111202,0.28669681534943187
P001,Gustatory,gamma,Sucralose,0.0015885194683549991,0.2442535526266326
P002,Gustatory,gamma,Sucralose,-0.0035425531802341054,0.3382147523003356
P003,Gustatory,gamma,Sucralose,0.002999602298547425,0.3454540472195365
P004,Gustatory,gamma,Sucralose,-0.0013101774373808382,0.2917672145490157
P005,Gustatory,gamma,Sucralose,0.004095165483238474,0.32231569309299585
P006,Gustatory,gamma,Sucralose,-0.0009342367930009332,0.3390858579618404
P007,Gustatory,gamma,Sucralose,0.00239398493948029,0.27008248266165436
P008,Gustatory,gamma,Sucralose,0.004454664652177362,0.33841165807458556
P009,Gustatory,gamma,Sucralose,-0.0007404024244404755,0.2858701761005426
P010,Gustatory,gamma,Sucralose,-6.21530125116272e-05,0.2678663405108312
P011,Gustatory,gamma,Sucralose,-0.004606359863611289,0.22129249013924487
P012,Gustatory,gamma,Sucralose,0.0022683449895707845,0.30212488261832154
P014,Gustatory,gamma,Sucralose,0.0020030158507027165,0.26677935381335566
P015,Gustatory,gamma,Sucralose,0.0019465905493363,0.24885724381594607
P016,Gustatory,gamma,Sucralose,-0.0012420995375774116,0.2987713148700017
P017,Gustatory,gamma,Sucralose,-0.0008950224767231664,0.2938815219864582
P019,Gustatory,gamma,Sucralose,-0.003659609019065948,0.31818187425096034
P020,Gustatory,gamma,Sucralose,-0.006871301126744165,0.20161012779236406
P021,Gustatory,gamma,Sucralose,0.002166324648140742,0.23251130718621962
P022,Gustatory,gamma,Sucralose,0.004735230520044521,0.28072940729977186
P023,Gustatory,gamma,Sucralose,0.002055154345269668,0.2957250672757625
P024,Gustatory,gamma,Sucralose,-0.002057692995036183,0.24454739945497184
P025,Gustatory,gamma,Sucralose,-0.0003245237879469325,0.2831199776266085
