subject,frontal_theta_slope,liking,sweetness_jar,aftertaste,frontal_theta_pref
P001,0.0006171946093208037,5.666666666666667,2.9166666666666665,2.4166666666666665,-0.0004374238107759665
P002,0.00024194495611787526,4.583333333333333,3.8333333333333335,3.5,0.0058820161102591945
P003,-0.0005280483878537521,6.583333333333333,2.8333333333333335,2.6666666666666665,0.007440533364093657
P004,0.00011436528943228769,7.083333333333333,4.333333333333333,4.25,-0.0005720383713779253
P005,4.88805033216881e-05,4.833333333333333,2.1666666666666665,2.9166666666666665,0.0037356878645250363
P006,-0.00015468022529479218,5.583333333333333,2.1666666666666665,1.75,-0.003089426585582325
P007,-0.0006689051328615763,4.916666666666667,3.4166666666666665,3.5833333333333335,-0.010060164424650977
P008,-0.0004390715685242892,6.0,3.3333333333333335,3.0,0.003732159720521766
P009,-0.0012501742459927329,4.333333333333333,2.75,2.75,0.0020999869469810056
P010,0.0023301105149387434,6.333333333333333,2.4166666666666665,2.1666666666666665,0.0005185429129501706
P011,0.0022589967876928217,5.0,3.25,3.6666666666666665,0.00469398093719553
P012,-0.0008902196552556483,6.333333333333333,2.8333333333333335,2.6666666666666665,-0.00014118694513949592
P014,-0.004173492212731502,5.083333333333333,3.3333333333333335,3.3333333333333335,0.018054643115713462
P015,0.0029702134409227057,6.75,3.9166666666666665,3.0,-0.014893541173069472
P016,-0.0016451321468549441,5.083333333333333,3.3333333333333335,2.6666666666666665,-0.010272592314854875
P017,0.0029133103789616664,6.166666666666667,2.5,2.8333333333333335,-0.002306512653075396
P019,-3.067464706541412e-05,4.833333333333333,3.4166666666666665,3.6666666666666665,-0.010053068918904187
P020,-2.6488967534338097e-05,4.416666666666667,3.75,3.3333333333333335,0.006535991309049971
P021,-0.0007084794428830828,3.25,3.5833333333333335,3.5833333333333335,-0.002532808120888505
P022,-0.0029363667704661034,4.75,3.0,2.75,-0.007160625992238295
P023,-0.0023757366933869796,4.5,3.75,3.3333333333333335,-0.02622116849154278
P024,-0.0007676504034050423,6.25,2.75,2.25,0.014720528516299444
P025,0.000767897486380045,6.833333333333333,2.5833333333333335,2.0833333333333335,-0.002333327851719025
