subject,ma_mau,substance,intensity,roi,band,abs_power,rel_power
P001,H2O,Water,0,Central,alpha,2.437585731430679e-10,0.07407615893042299
P001,H2O,Water,0,Central,beta,8.834401034587854e-10,0.26058723285405744
P001,H2O,Water,0,Central,delta,5.913516763003309e-10,0.31675354796172694
P001,H2O,Water,0,Central,gamma,6.779524553217511e-10,0.23036492008192772
P001,H2O,Water,0,Central,theta,3.2902673727236904e-10,0.11821814017186474
P001,H2O,Water,0,Frontal,alpha,1.4063902198521803e-10,0.07706353324567214
P001,H2O,Water,0,Frontal,beta,5.510561938808488e-10,0.2504461192990279
P001,H2O,Water,0,Frontal,delta,5.140705000518488e-10,0.33646132858650607
P001,H2O,Water,0,Frontal,gamma,4.5949077804856554e-10,0.22278399682537975
P001,H2O,Water,0,Frontal,theta,1.923322515280902e-10,0.11324502204341401
P001,H2O,Water,0,Gustatory,alpha,3.1383275059968406e-10,0.07982597103865179
P001,H2O,Water,0,Gustatory,beta,1.169211144432303e-09,0.2698077056453019
P001,H2O,Water,0,Gustatory,delta,5.532005655047012e-10,0.3008455786265035
P001,H2O,Water,0,Gustatory,gamma,9.368216394000576e-10,0.23749919675550157
P001,H2O,Water,0,Gustatory,theta,3.6317990688258886e-10,0.11202154793404125
P001,H2O,Water,0,Occipital,alpha,5.012885528530164e-10,0.08403314379012329
P001,H2O,Water,0,Occipital,beta,1.6574414768956178e-09,0.28022956019163736
P001,H2O,Water,0,Occipital,delta,9.110429259116043e-10,0.2774802479924455
P001,H2O,Water,0,Occipital,gamma,1.4001918616854613e-09,0.23587203705386744
P001,H2O,Water,0,Occipital,theta,5.574307432038886e-10,0.12238501097192618
P001,H2O,Water,0,Parietal,alpha,5.625690132468576e-10,0.0957249130515648
P001,H2O,Water,0,Parietal,beta,1.315165886749821e-09,0.20437418915507435
P001,H2O,Water,0,Parietal,delta,1.9667763064066935e-09,0.3460002547662485
P001,H2O,Water,0,Parietal,gamma,1.1880546858738799e-09,0.17996480293287198
P001,H2O,Water,0,Parietal,theta,9.77904133536562e-10,0.17393584009424037
P001,H2O,Water,0,Temporal,alpha,3.0930498294768615e-10,0.0867955382513535
P001,H2O,Water,0,Temporal,beta,1.0405432782929184e-09,0.24425793309481997
P001,H2O,Water,0,Temporal,delta,6.124340719461235e-10,0.31043536367622404
P001,H2O,Water,0,Temporal,gamma,9.700749710803485e-10,0.257000163403307
P001,H2O,Water,0,Temporal,theta,3.20465736166172e-10,0.10151100157429552
P001,S1_12,Sucrose,12,Central,alpha,2.4416877080799147e-10,0.08297602554916904
P001,S1_12,Sucrose,12,Central,beta,6.817329253893192e-10,0.2323289300112011
P001,S1_12,Sucrose,12,Central,delta,6.128015880729329e-10,0.31921819514604866
P001,S1_12,Sucrose,12,Central,gamma,6.916499710811333e-10,0.23950487923152056
P001,S1_12,Sucrose,12,Central,theta,2.752399965140008e-10,0.1259719700620604
P001,S1_12,Sucrose,12,Frontal,alpha,1.7437838130984977e-10,0.08391148578255982
P001,S1_12,Sucrose,12,Frontal,beta,4.595085415900753e-10,0.21251708294166152
P001,S1_12,Sucrose,12,Frontal,delta,7.592471732920227e-10,0.3832010775689747
P001,S1_12,Sucrose,12,Frontal,gamma,4.408920172894657e-10,0.21307211680110671
P001,S1_12,Sucrose,12,Frontal,theta,2.0455124494351067e-10,0.10729823690569729
P001,S1_12,Sucrose,12,Gustatory,alpha,3.0689310793276735e-10,0.08839021828097603
P001,S1_12,Sucrose,12,Gustatory,beta,9.377992703286457e-10,0.24318444972616884
P001,S1_12,Sucrose,12,Gustatory,delta,6.256408580478285e-10,0.30101809906895266
P001,S1_12,Sucrose,12,Gustatory,gamma,9.29343038583947e-10,0.24362292130390859
P001,S1_12,Sucrose,12,Gustatory,theta,3.3128762876200157e-10,0.1237843116199937
P001,S1_12,Sucrose,12,Occipital,alpha,6.726843072342328e-10,0.08142921384182804
P001,S1_12,Sucrose,12,Occipital,beta,2.226341969323062e-09,0.2626697655125292
P001,S1_12,Sucrose,12,Occipital,delta,1.608806063770032e-09,0.3065823955146001
P001,S1_12,Sucrose,12,Occipital,gamma,1.855203937164039e-09,0.22767383842240957
P001,S1_12,Sucrose,12,Occipital,theta,7.535420030052865e-10,0.12164478670863298
P001,S1_12,Sucrose,12,Parietal,alpha,5.793810577922515e-10,0.09981762778138897
P001,S1_12,Sucrose,12,Parietal,beta,1.387447814868585e-09,0.20879037583358795
P001,S1_12,Sucrose,12,Parietal,delta,1.6424141633298917e-09,0.30645568125070605
P001,S1_12,Sucrose,12,Parietal,gamma,1.2558044975855036e-09,0.18625937566953593
P001,S1_12,Sucrose,12,Parietal,theta,1.0167303837702323e-09,0.19867693946478115
P001,S1_12,Sucrose,12,Temporal,alpha,3.2587011259753976e-10,0.08700932738957079
P001,S1_12,Sucrose,12,Temporal,beta,1.0436442344432312e-09,0.233642222172721
P001,S1_12,Sucrose,12,Temporal,delta,7.441873311881703e-10,0.27888319159131925
P001,S1_12,Sucrose,12,Temporal,gamma,1.1261816966631247e-09,0.2711345881550255
P001,S1_12,Sucrose,12,Temporal,theta,3.880110230879753e-10,0.12933067069136334
P001,S1_5,Sucrose,5,Central,alpha,2.513027725634902e-10,0.10847438270543958
P001,S1_5,Sucrose,5,Central,beta,5.740261022850244e-10,0.2275862659713992
P001,S1_5,Sucrose,5,Central,delta,4.944342471069595e-10,0.3014370887012385
P001,S1_5,Sucrose,5,Central,gamma,6.012756046591203e-10,0.23420844998565157
P001,S1_5,Sucrose,5,Central,theta,2.586726667582225e-10,0.1282938126362711
P001,S1_5,Sucrose,5,Frontal,alpha,1.3331366427015212e-10,0.0751581448202631
P001,S1_5,Sucrose,5,Frontal,beta,4.011420786618771e-10,0.2285365781674891
P001,S1_5,Sucrose,5,Frontal,delta,5.655422617221379e-10,0.37779001894103287
P001,S1_5,Sucrose,5,Frontal,gamma,3.724684746900432e-10,0.21496776110898852
P001,S1_5,Sucrose,5,Frontal,theta,1.604642526691863e-10,0.10354749696222637
P001,S1_5,Sucrose,5,Gustatory,alpha,2.8742699336239524e-10,0.10064402156274035
P001,S1_5,Sucrose,5,Gustatory,beta,8.066526507816304e-10,0.2453698733834628
P001,S1_5,Sucrose,5,Gustatory,delta,5.038173759306887e-10,0.30398707816262527
P001,S1_5,Sucrose,5,Gustatory,gamma,7.779839920287873e-10,0.23540126032814643
P001,S1_5,Sucrose,5,Gustatory,theta,2.767458797865118e-10,0.1145977665630252
P001,S1_5,Sucrose,5,Occipital,alpha,6.361574530685209e-10,0.08391225044433173
P001,S1_5,Sucrose,5,Occipital,beta,2.231976938088035e-09,0.2961006502162151
P001,S1_5,Sucrose,5,Occipital,delta,1.2445791131982029e-09,0.2491701680819671
P001,S1_5,Sucrose,5,Occipital,gamma,1.9259010605568496e-09,0.26783122342955434
P001,S1_5,Sucrose,5,Occipital,theta,6.911702850408645e-10,0.10298570782793165
P001,S1_5,Sucrose,5,Parietal,alpha,4.4082505904473986e-10,0.09151262524481989
P001,S1_5,Sucrose,5,Parietal,beta,1.216342921058548e-09,0.22875438574756418
P001,S1_5,Sucrose,5,Parietal,delta,1.9518916663203885e-09,0.33297483135756206
P001,S1_5,Sucrose,5,Parietal,gamma,1.1229837460139268e-09,0.22199584701055922
P001,S1_5,Sucrose,5,Parietal,theta,6.726437623588905e-10,0.1247623106394947
P001,S1_5,Sucrose,5,Temporal,alpha,2.852331963013876e-10,0.09256536067003178
P001,S1_5,Sucrose,5,Temporal,beta,8.684470694292366e-10,0.24889747331578121
P001,S1_5,Sucrose,5,Temporal,delta,6.035470876744134e-10,0.32616580691541935
P001,S1_5,Sucrose,5,Temporal,gamma,7.760256856511819e-10,0.2230629513690403
P001,S1_5,Sucrose,5,Temporal,theta,2.6364875692656367e-10,0.10930840772972764
P001,S1_7,Sucrose,7,Central,alpha,2.4622097363969084e-10,0.07966184754088296
P001,S1_7,Sucrose,7,Central,beta,8.211994942815385e-10,0.2574316669382989
P001,S1_7,Sucrose,7,Central,delta,5.802616479200451e-10,0.2684838420860075
P001,S1_7,Sucrose,7,Central,gamma,7.498096647728199e-10,0.2544370530834314
P001,S1_7,Sucrose,7,Central,theta,3.0904689517405943e-10,0.13998559035137945
P001,S1_7,Sucrose,7,Frontal,alpha,1.3297574949150277e-10,0.07203362617574594
P001,S1_7,Sucrose,7,Frontal,beta,4.0809787640192913e-10,0.21318305921912883
