roi,band,substance,rel_power_mean,rel_power_sem
Frontal,delta,Sucrose,0.2558469232090445,0.021383475692390866
Frontal,delta,Sucralose,0.26841165757031815,0.023288117297467978
Frontal,delta,Water,0.2666922577547252,0.02339652244975746
Frontal,theta,Sucrose,0.10311347337629613,0.0039948951386507975
Frontal,theta,Sucralose,0.10409868271787133,0.003695291298416969
Frontal,theta,Water,0.10677835227574853,0.004088528557391836
Frontal,alpha,Sucrose,0.08640478375987158,0.0024227818896012995
Frontal,alpha,Sucralose,0.08407906897358405,0.002790584924957511
Frontal,alpha,Water,0.0840556254093001,0.0029629432500278686
Frontal,beta,Sucrose,0.29050532144956587,0.01509087589872497
Frontal,beta,Sucralose,0.28076384621911116,0.015585626929159494
Frontal,beta,Water,0.2808439330477631,0.015231533090193266
Frontal,gamma,Sucrose,0.2641294982052219,0.009675156982248532
Frontal,gamma,Sucralose,0.2626467445191152,0.009932756090544625
Frontal,gamma,Water,0.2616298315124631,0.009884834113436675
Gustatory,delta,Sucrose,0.2061843315417002,0.01900118800363562
Gustatory,delta,Sucralose,0.20954126472306078,0.020253891733395202
Gustatory,delta,Water,0.2198491300615666,0.02290697136679722
Gustatory,theta,Sucrose,0.10136037658944823,0.00409608289454285
Gustatory,theta,Sucralose,0.10561493361819654,0.004347574573873382
Gustatory,theta,Water,0.10523935819668905,0.004227814859704618
Gustatory,alpha,Sucrose,0.09495183648768117,0.002888155392194811
Gustatory,alpha,Sucralose,0.09101046751098182,0.0024103351119839716
Gustatory,alpha,Water,0.09342334704066675,0.003085197295403126
Gustatory,beta,Sucrose,0.3131450096732095,0.014509675654522965
Gustatory,beta,Sucralose,0.30985708444219756,0.014885167844342082
Gustatory,beta,Water,0.3047088130322063,0.015684339045227057
Gustatory,gamma,Sucrose,0.284358445707961,0.007676774793446435
Gustatory,gamma,Sucralose,0.28397624970556334,0.008280862140801024
Gustatory,gamma,Water,0.2767793516688712,0.00832800105365239
