roi,band,p_substance,p_intensity,p_substance*intensity
Frontal,delta,,,
Frontal,theta,,,
Frontal,alpha,,,
Frontal,beta,,,
Frontal,gamma,,,
Gustatory,delta,,,
Gustatory,theta,,,
Gustatory,alpha,,,
Gustatory,beta,,,
Gustatory,gamma,,,
Central,delta,,,
Central,theta,,,
Central,alpha,,,
Central,beta,,,
Central,gamma,,,
Temporal,delta,,,
Temporal,theta,,,
Temporal,alpha,,,
Temporal,beta,,,
Temporal,gamma,,,
Parietal,delta,,,
Parietal,theta,,,
Parietal,alpha,,,
Parietal,beta,,,
Parietal,gamma,,,
Occipital,delta,,,
Occipital,theta,,,
Occipital,alpha,,,
Occipital,beta,,,
Occipital,gamma,,,
