roi,band,condition,n,t,p,mean_diff,p_fdr
Frontal,theta,S1_5,23,-1.582576169040113,0.1277890824752839,-0.006167826599215186,0.3197762654677052
Frontal,theta,S1_7,23,-0.6996476605606581,0.4914796832373326,-0.002779115472336989,0.5855894271971988
Frontal,theta,S1_12,23,-0.5533715243738744,0.5855894271971988,-0.0020476946268050676,0.5855894271971988
Frontal,theta,S2_5,23,0.6188113099585661,0.5423957053540271,0.0019915683988460013,0.5855894271971988
Frontal,theta,S2_7,23,-1.4546433428743153,0.1598881327338526,-0.004642128564588344,0.3197762654677052
Frontal,theta,S2_12,23,-1.9175625039137976,0.06824134131680833,-0.005388448507889244,0.3197762654677052
Frontal,alpha,S1_5,23,0.9985778752659399,0.32885661629353785,0.002866096632181801,0.9350296913506898
Frontal,alpha,S1_7,23,0.37024027721163993,0.714744066668508,0.001174556107287188,0.9350296913506898
Frontal,alpha,S1_12,23,1.0379795859615446,0.31055407432975185,0.0030068223122455503,0.9350296913506898
Frontal,alpha,S2_5,23,-0.08245605333147253,0.9350296913506898,-0.00016938083055476665,0.9350296913506898
Frontal,alpha,S2_7,23,-0.2762966327497081,0.7848992482453452,-0.0006389704214945717,0.9350296913506898
Frontal,alpha,S2_12,23,0.35532929055040935,0.7257270421446874,0.0008786819449012166,0.9350296913506898
Gustatory,theta,S1_5,23,-0.7865441853529188,0.4399395989913168,-0.003632488058372732,0.5279275187895801
Gustatory,theta,S1_7,23,-0.8359409845727287,0.4121756891745298,-0.003885661339489437,0.5279275187895801
Gustatory,theta,S1_12,23,-0.8398699002159147,0.4100160366921078,-0.004118795423860316,0.5279275187895801
Gustatory,theta,S2_5,23,1.6987020796485321,0.1034752961938215,0.005664550324602792,0.5279275187895801
Gustatory,theta,S2_7,23,-1.2847670329043628,0.21223694242109029,-0.00444095083150067,0.5279275187895801
Gustatory,theta,S2_12,23,-0.026091099959236967,0.9794199005063647,-9.687322857961512e-05,0.9794199005063647
Gustatory,alpha,S1_5,23,0.7546153354313362,0.4584821313613883,0.0023977625822367444,0.7760468796306285
Gustatory,alpha,S1_7,23,0.06298312060105556,0.9503486932810342,0.00021663002776552324,0.9946271759885911
Gustatory,alpha,S1_12,23,0.6580005099830138,0.5173645864204189,0.0019710757310408846,0.7760468796306285
Gustatory,alpha,S2_5,23,-1.4395287046246823,0.1640790141617349,-0.00336201850072156,0.4922370424852047
Gustatory,alpha,S2_7,23,-1.8290310175693199,0.08098386077376643,-0.003855521236625277,0.4859031646425986
Gustatory,alpha,S2_12,23,-0.006810822050346974,0.9946271759885911,-2.109885170804486e-05,0.9946271759885911
