roi,band,intensity,n,t,p,mean_sucrose,mean_sucralose,mean_diff,p_fdr
Frontal,theta,5,23,-2.139168750945714,0.04377061616468351,0.10061052567653336,0.10876992067459451,-0.008159394998061186,0.13131184849405053
Frontal,theta,7,23,0.7000808747973362,0.4912143854681312,0.10399923680341154,0.1021362237111602,0.0018630130922513547,0.4912143854681312
Frontal,theta,12,23,1.0063477346077994,0.325189372519601,0.10473065764894349,0.1013899037678593,0.0033407538810841754,0.4877840587794015
Frontal,alpha,5,23,1.0509788689621733,0.3046763460589662,0.08692172204148188,0.0838862445787453,0.0030354774627365678,0.5059877508857002
Frontal,alpha,7,23,0.736644264493648,0.469121922940543,0.08523018151658725,0.0834166549878055,0.0018135265287817597,0.5059877508857002
Frontal,alpha,12,23,0.6761569763384359,0.5059877508857002,0.08706244772154563,0.0849343073542013,0.0021281403673443335,0.5059877508857002
Frontal,gamma,5,23,0.5442818096350146,0.5917219557889722,0.2628493007522535,0.2599455363540993,0.0029037643981542614,0.8187657569997638
Frontal,gamma,7,23,-0.23189142013122743,0.8187657569997638,0.2641603695766901,0.2653009132634299,-0.0011405436867397737,0.8187657569997638
Frontal,gamma,12,23,0.5595009178465806,0.5814720164669257,0.265378824286722,0.2626937839398166,0.0026850403469053747,0.8187657569997638
Gustatory,theta,5,23,-2.2530867448965823,0.03455906640240945,0.10160687013831632,0.11090390852129184,-0.009297038382975522,0.10367719920722836
Gustatory,theta,7,23,0.16081423912242315,0.8737072793166833,0.10135369685719962,0.10079840736518837,0.0005552894920112342,0.8737072793166833
Gustatory,theta,12,23,-1.2332192619999707,0.23050881551839175,0.10112056277282874,0.10514248496810942,-0.004021922195280701,0.34576322327758763
Gustatory,alpha,5,23,2.1783660428818963,0.040376233426431464,0.0958211096229035,0.09006132853994522,0.0057597810829583046,0.1211287002792944
Gustatory,alpha,7,23,1.3083839026463278,0.20424827852438518,0.0936399770684323,0.0895678258040415,0.0040721512643908,0.3063724177865778
Gustatory,alpha,12,23,0.8219329328864119,0.41993419196450227,0.09539442277170766,0.09340224818895872,0.001992174582748929,0.41993419196450227
Gustatory,gamma,5,23,1.0302128704323863,0.31410382043239876,0.28663575665574376,0.28200500007624074,0.004630756579503067,0.9094369846420026
Gustatory,gamma,7,23,-0.5228697765155198,0.6062913230946684,0.28250032260243557,0.2857275459835251,-0.0032272233810895752,0.9094369846420026
Gustatory,gamma,12,23,-0.047041484932764284,0.9629045887939653,0.2839392578657036,0.2841962030569242,-0.00025694519122060696,0.9629045887939653
