subject,ma_mau,substance,intensity,band,power,win
P001,S1_5,Sucrose,5,delta,9.58093616432997e-10,early
P001,S1_7,Sucrose,7,delta,9.878473478449875e-10,early
P001,H2O,Water,0,delta,8.741159802727479e-10,early
P001,S1_12,Sucrose,12,delta,8.470962406224552e-10,early
P001,S2_12,Sucralose,12,delta,1.724183093956776e-09,early
P001,S2_5,Sucralose,5,delta,1.3089246360988314e-09,early
P001,S2_7,Sucralose,7,delta,1.3685464370309161e-09,early
P001,S2_5,Sucralose,5,delta,8.216463241609508e-10,early
P001,S2_7,Sucralose,7,delta,9.440389512704002e-10,early
P001,H2O,Water,0,delta,7.994645201810642e-10,early
P001,S2_12,Sucralose,12,delta,1.0104022745433798e-09,early
P001,S1_12,Sucrose,12,delta,9.223392323818027e-10,early
P001,S1_5,Sucrose,5,delta,1.3017500310895794e-09,early
P001,S1_7,Sucrose,7,delta,1.6860911250599626e-09,early
P001,S1_5,Sucrose,5,theta,2.800052399363281e-10,early
P001,S1_7,Sucrose,7,theta,3.829921977029761e-10,early
P001,H2O,Water,0,theta,3.9448604133652885e-10,early
P001,S1_12,Sucrose,12,theta,4.2577042171716194e-10,early
P001,S2_12,Sucralose,12,theta,5.591111885908312e-10,early
P001,S2_5,Sucralose,5,theta,5.344581834692058e-10,early
P001,S2_7,Sucralose,7,theta,5.412171407088255e-10,early
P001,S2_5,Sucralose,5,theta,2.8102020700530445e-10,early
P001,S2_7,Sucralose,7,theta,2.7454405371261144e-10,early
P001,H2O,Water,0,theta,6.323502018371821e-10,early
P001,S2_12,Sucralose,12,theta,4.0031903765613357e-10,early
P001,S1_12,Sucrose,12,theta,6.437932503862151e-10,early
P001,S1_5,Sucrose,5,theta,6.102021561294252e-10,early
P001,S1_7,Sucrose,7,theta,6.558190537292213e-10,early
P001,S1_5,Sucrose,5,alpha,3.863290332192741e-10,early
P001,S1_7,Sucrose,7,alpha,2.180719074982454e-10,early
P001,H2O,Water,0,alpha,2.492579117811009e-10,early
P001,S1_12,Sucrose,12,alpha,3.300862571962118e-10,early
P001,S2_12,Sucralose,12,alpha,4.1278750032453233e-10,early
P001,S2_5,Sucralose,5,alpha,4.40505150854511e-10,early
P001,S2_7,Sucralose,7,alpha,3.7319362744467197e-10,early
P001,S2_5,Sucralose,5,alpha,2.35472899527384e-10,early
P001,S2_7,Sucralose,7,alpha,3.0496128052720637e-10,early
P001,H2O,Water,0,alpha,3.903135616684142e-10,early
P001,S2_12,Sucralose,12,alpha,2.6302363464609894e-10,early
P001,S1_12,Sucrose,12,alpha,2.894886737838028e-10,early
P001,S1_5,Sucrose,5,alpha,3.4026713505444044e-10,early
P001,S1_7,Sucrose,7,alpha,4.098541701286555e-10,early
P001,S1_5,Sucrose,5,beta,5.110544206991362e-10,early
P001,S1_7,Sucrose,7,beta,1.2814029744796954e-09,early
P001,H2O,Water,0,beta,8.214845147595236e-10,early
P001,S1_12,Sucrose,12,beta,1.0293145324040896e-09,early
P001,S2_12,Sucralose,12,beta,8.189058121661275e-10,early
P001,S2_5,Sucralose,5,beta,1.349526556329911e-09,early
P001,S2_7,Sucralose,7,beta,9.156789247291088e-10,early
P001,S2_5,Sucralose,5,beta,6.462421076302793e-10,early
P001,S2_7,Sucralose,7,beta,9.092961170327846e-10,early
P001,H2O,Water,0,beta,1.48735939793538e-09,early
P001,S2_12,Sucralose,12,beta,7.915305844515034e-10,early
P001,S1_12,Sucrose,12,beta,7.101755139025958e-10,early
P001,S1_5,Sucrose,5,beta,1.0157095410363457e-09,early
P001,S1_7,Sucrose,7,beta,1.0149378143343788e-09,early
P001,S1_5,Sucrose,5,gamma,4.801173899854124e-10,early
P001,S1_7,Sucrose,7,gamma,1.1448871450481748e-09,early
P001,H2O,Water,0,gamma,7.843310322394905e-10,early
P001,S1_12,Sucrose,12,gamma,1.165203652908395e-09,early
P001,S2_12,Sucralose,12,gamma,9.221424812338227e-10,early
P001,S2_5,Sucralose,5,gamma,1.320456759744296e-09,early
P001,S2_7,Sucralose,7,gamma,9.477704910564025e-10,early
P001,S2_5,Sucralose,5,gamma,6.736083071499449e-10,early
P001,S2_7,Sucralose,7,gamma,8.77347316383017e-10,early
P001,H2O,Water,0,gamma,1.3839112362119617e-09,early
P001,S2_12,Sucralose,12,gamma,7.098646842827133e-10,early
P001,S1_12,Sucrose,12,gamma,7.845171340076488e-10,early
P001,S1_5,Sucrose,5,gamma,9.314667234882965e-10,early
P001,S1_7,Sucrose,7,gamma,1.0689669394027929e-09,early
P002,S1_7,Sucrose,7,delta,3.182615904849525e-10,early
P002,S1_12,Sucrose,12,delta,2.489850872971139e-10,early
P002,S1_5,Sucrose,5,delta,4.312914251241874e-10,early
P002,S2_5,Sucralose,5,delta,4.870255326340134e-10,early
P002,H2O,Water,0,delta,3.3527343008582547e-10,early
P002,S2_7,Sucralose,7,delta,4.016584036580091e-10,early
P002,S2_12,Sucralose,12,delta,3.852793154461588e-10,early
P002,S2_7,Sucralose,7,delta,4.785990620694325e-10,early
P002,S2_12,Sucralose,12,delta,2.411248994389256e-10,early
P002,S2_5,Sucralose,5,delta,7.342583156635613e-10,early
P002,S1_5,Sucrose,5,delta,5.78168073797839e-10,early
P002,H2O,Water,0,delta,2.0556146644452802e-10,early
P002,S1_7,Sucrose,7,delta,2.888843051689161e-10,early
P002,S1_12,Sucrose,12,delta,5.778630483101036e-10,early
P002,S1_7,Sucrose,7,theta,2.8365956661879143e-10,early
P002,S1_12,Sucrose,12,theta,3.970186918383645e-10,early
P002,S1_5,Sucrose,5,theta,3.782602694796345e-10,early
P002,S2_5,Sucralose,5,theta,2.718745446698252e-10,early
P002,H2O,Water,0,theta,5.053833316965167e-10,early
P002,S2_7,Sucralose,7,theta,1.7170658413542662e-10,early
P002,S2_12,Sucralose,12,theta,3.1095456513656376e-10,early
P002,S2_7,Sucralose,7,theta,2.3730583180737383e-10,early
P002,S2_12,Sucralose,12,theta,3.5481583949289873e-10,early
P002,S2_5,Sucralose,5,theta,3.9520624248225686e-10,early
P002,S1_5,Sucrose,5,theta,2.583112224662923e-10,early
P002,H2O,Water,0,theta,2.3046639275122058e-10,early
P002,S1_7,Sucrose,7,theta,3.5604672133599724e-10,early
P002,S1_12,Sucrose,12,theta,3.561711014306804e-10,early
P002,S1_7,Sucrose,7,alpha,3.1303055512570115e-10,early
P002,S1_12,Sucrose,12,alpha,4.091157810117642e-10,early
P002,S1_5,Sucrose,5,alpha,4.253287391347583e-10,early
P002,S2_5,Sucralose,5,alpha,4.794471396957175e-10,early
P002,H2O,Water,0,alpha,4.575791555000493e-10,early
P002,S2_7,Sucralose,7,alpha,1.8113958329966327e-10,early
P002,S2_12,Sucralose,12,alpha,3.2775472525008047e-10,early
P002,S2_7,Sucralose,7,alpha,2.722708907775817e-10,early
P002,S2_12,Sucralose,12,alpha,3.918115161772397e-10,early
P002,S2_5,Sucralose,5,alpha,4.80067826356188e-10,early
P002,S1_5,Sucrose,5,alpha,3.6960359779027106e-10,early
P002,H2O,Water,0,alpha,2.4536407879943915e-10,early
P002,S1_7,Sucrose,7,alpha,4.0442662148326114e-10,early
P002,S1_12,Sucrose,12,alpha,4.3064654409646195e-10,early
P002,S1_7,Sucrose,7,beta,1.3121691139598604e-09,early
P002,S1_12,Sucrose,12,beta,1.469628266080392e-09,early
P002,S1_5,Sucrose,5,beta,1.2328767139095118e-09,early
P002,S2_5,Sucralose,5,beta,1.986325989065494e-09,early
P002,H2O,Water,0,beta,1.2826033500376406e-09,early
P002,S2_7,Sucralose,7,beta,1.008371875755591e-09,early
P002,S2_12,Sucralose,12,beta,1.1377795579871342e-09,early
P002,S2_7,Sucralose,7,beta,1.024573473515711e-09,early
P002,S2_12,Sucralose,12,beta,1.7830725234358301e-09,early
P002,S2_5,Sucralose,5,beta,1.3566521946047812e-09,early
P002,S1_5,Sucrose,5,beta,1.622987831358139e-09,early
P002,H2O,Water,0,beta,1.0423588857687682e-09,early
P002,S1_7,Sucrose,7,beta,1.1950148777948893e-09,early
P002,S1_12,Sucrose,12,beta,9.83244423761591e-10,early
